180.235.0.0,180.235.63.255,isp,JP,AS4685 
180.235.64.0,180.235.95.255,business,CN,AS4812 
180.235.96.0,180.235.103.255,business,JP, 
180.235.104.0,180.235.107.255,isp,NZ,AS135069 
180.235.108.0,180.235.111.255,hosting,AU,AS56087 
180.235.112.0,180.235.115.255,business,CN, 
180.235.116.0,180.235.119.255,isp,MM,AS134840 
180.235.120.0,180.235.123.255,isp,IN,AS56272 
180.235.124.0,180.235.127.255,business,JP,AS24295 
180.235.128.0,180.235.131.255,hosting,AU,AS24446 
180.235.132.0,180.235.135.255,hosting,HK,AS55639 
180.235.136.0,180.235.137.255,business,HK, 
180.235.138.0,180.235.138.255,business,JP, 
180.235.139.0,180.235.139.255,business,HK, 
180.235.140.0,180.235.143.255,isp,JP,AS23775 
180.235.144.0,180.235.147.255,isp,JP,AS10013 
180.235.148.0,180.235.151.255,hosting,ID,AS45731 
180.235.152.0,180.235.152.255,business,SG,AS133125 
180.235.153.0,180.235.153.255,hosting,IN,AS133125 
180.235.154.0,180.235.155.255,business,HK,AS133125 
180.235.156.0,180.235.159.255,hosting,AU,AS4749 
180.235.160.0,180.235.191.255,hosting,TR,AS203020 
180.235.192.0,180.235.223.255,isp,AU,AS4739 
180.235.224.0,180.235.255.255,hosting,JP,AS9597 
