180.188.32.0,180.188.47.255,hosting,CN 
180.188.48.0,180.188.127.255,business,CN 
180.188.128.0,180.188.191.255,business,HK 
180.188.192.0,180.188.198.255,hosting,HK 
180.188.199.0,180.188.199.255,business,HK 
180.188.200.0,180.188.200.255,hosting,HK 
180.188.201.0,180.188.203.255,business,HK 
180.188.204.0,180.188.207.255,business,AU 
180.188.208.0,180.188.223.255,business,JP 
180.188.224.0,180.188.225.255,isp,IN 
180.188.226.0,180.188.227.255,hosting,IN 
180.188.228.0,180.188.231.255,business,IN 
180.188.232.0,180.188.232.255,isp,IN 
180.188.233.0,180.188.233.255,business,IN 
180.188.234.0,180.188.237.255,isp,IN 
180.188.238.0,180.188.239.255,business,IN 
180.188.240.0,180.188.243.255,isp,IN 
180.188.244.0,180.188.245.255,business,IN 
180.188.246.0,180.188.255.255,isp,IN 
