196.220.0.0,196.220.29.255,isp,NG 
196.220.30.0,196.220.30.7,business,NG 
196.220.30.8,196.220.31.255,isp,NG 
196.220.32.0,196.220.63.255,hosting,ZA 
196.220.64.0,196.220.95.255,education,NG 
196.220.96.0,196.220.127.255,education,ZW 
196.220.128.0,196.220.159.255,education,NG 
196.220.160.0,196.220.160.95,isp,ZA 
196.220.160.96,196.220.160.159,business,ZA 
196.220.160.160,196.220.161.159,isp,ZA 
196.220.161.160,196.220.161.255,business,ZA 
196.220.162.0,196.220.162.255,isp,ZA 
196.220.163.0,196.220.163.31,business,ZA 
196.220.163.32,196.220.163.95,isp,ZA 
196.220.163.96,196.220.163.111,business,ZA 
196.220.163.112,196.220.163.191,isp,ZA 
196.220.163.192,196.220.163.223,business,ZA 
196.220.163.224,196.220.163.255,isp,ZA 
196.220.164.0,196.220.164.31,business,ZA 
196.220.164.32,196.220.164.255,isp,ZA 
196.220.165.0,196.220.165.31,business,ZA 
196.220.165.32,196.220.165.95,isp,ZA 
196.220.165.96,196.220.165.111,business,ZA 
196.220.165.112,196.220.170.127,isp,ZA 
196.220.170.128,196.220.170.159,business,ZA 
196.220.170.160,196.220.172.223,isp,ZA 
196.220.172.224,196.220.172.255,business,ZA 
196.220.173.0,196.220.176.159,isp,ZA 
196.220.176.160,196.220.176.223,business,ZA 
196.220.176.224,196.220.177.159,isp,ZA 
196.220.177.160,196.220.177.191,business,ZA 
196.220.177.192,196.220.179.191,isp,ZA 
196.220.179.192,196.220.179.255,business,ZA 
196.220.180.0,196.220.182.31,isp,ZA 
196.220.182.32,196.220.182.95,business,ZA 
196.220.182.96,196.220.182.159,isp,ZA 
196.220.182.160,196.220.182.191,business,ZA 
196.220.182.192,196.220.183.31,isp,ZA 
196.220.183.32,196.220.183.95,business,ZA 
196.220.183.96,196.220.183.143,isp,ZA 
196.220.183.144,196.220.183.175,business,ZA 
196.220.183.176,196.220.184.159,isp,ZA 
196.220.184.160,196.220.184.191,business,ZA 
196.220.184.192,196.220.187.223,isp,ZA 
196.220.187.224,196.220.187.255,business,ZA 
196.220.188.0,196.220.190.95,isp,ZA 
196.220.190.96,196.220.190.127,business,ZA 
196.220.190.128,196.220.190.159,isp,ZA 
196.220.190.160,196.220.190.191,business,ZA 
196.220.190.192,196.220.191.31,isp,ZA 
196.220.191.32,196.220.191.159,business,ZA 
196.220.191.160,196.220.191.223,isp,ZA 
196.220.191.224,196.220.191.255,business,ZA 
196.220.192.0,196.220.207.255,education,NG 
196.220.208.0,196.220.223.255,isp,MU 
196.220.224.0,196.220.255.255,education,NG 
