174.139.0.0,174.139.35.255,hosting,US,AS35908 
174.139.36.0,174.139.36.255,business,US, 
174.139.37.0,174.139.125.255,hosting,US,AS35908 
174.139.126.0,174.139.126.255,hosting,US,AS4213 
174.139.127.0,174.139.161.255,hosting,US,AS35908 
174.139.162.0,174.139.168.255,business,US, 
174.139.169.0,174.139.169.255,hosting,US,AS35908 
174.139.170.0,174.139.170.255,business,US, 
174.139.171.0,174.139.171.255,hosting,US,AS35908 
174.139.172.0,174.139.175.255,business,US, 
174.139.176.0,174.139.255.255,hosting,US,AS35908 
