90.150.0.0,90.150.15.255,business,RU 
90.150.16.0,90.150.63.255,isp,RU 
90.150.64.0,90.150.79.255,business,RU 
90.150.80.0,90.150.80.255,isp,RU 
90.150.81.0,90.150.85.67,business,RU 
90.150.85.68,90.150.143.255,isp,RU 
90.150.144.0,90.150.145.255,business,RU 
90.150.146.0,90.150.147.255,isp,RU 
90.150.148.0,90.150.148.255,business,RU 
90.150.149.0,90.150.151.255,isp,RU 
90.150.152.0,90.150.152.255,business,RU 
90.150.153.0,90.150.176.7,isp,RU 
90.150.176.8,90.150.176.19,business,RU 
90.150.176.20,90.150.176.51,isp,RU 
90.150.176.52,90.150.176.55,business,RU 
90.150.176.56,90.150.176.63,isp,RU 
90.150.176.64,90.150.176.67,business,RU 
90.150.176.68,90.150.176.71,isp,RU 
90.150.176.72,90.150.176.79,business,RU 
90.150.176.80,90.150.176.87,isp,RU 
90.150.176.88,90.150.176.91,business,RU 
90.150.176.92,90.150.176.131,isp,RU 
90.150.176.132,90.150.176.135,business,RU 
90.150.176.136,90.150.176.159,isp,RU 
90.150.176.160,90.150.176.163,business,RU 
90.150.176.164,90.150.176.199,isp,RU 
90.150.176.200,90.150.176.203,business,RU 
90.150.176.204,90.150.176.223,isp,RU 
90.150.176.224,90.150.176.227,business,RU 
90.150.176.228,90.150.186.255,isp,RU 
90.150.187.0,90.150.188.7,business,RU 
90.150.188.8,90.150.188.23,isp,RU 
90.150.188.24,90.150.188.31,business,RU 
90.150.188.32,90.150.188.47,isp,RU 
90.150.188.48,90.150.188.87,business,RU 
90.150.188.88,90.150.188.95,isp,RU 
90.150.188.96,90.150.188.119,business,RU 
90.150.188.120,90.150.188.127,isp,RU 
90.150.188.128,90.150.188.175,business,RU 
90.150.188.176,90.150.188.199,isp,RU 
90.150.188.200,90.150.188.207,business,RU 
90.150.188.208,90.150.188.223,isp,RU 
90.150.188.224,90.150.188.239,business,RU 
90.150.188.240,90.150.188.247,isp,RU 
90.150.188.248,90.150.189.7,business,RU 
90.150.189.8,90.150.189.39,isp,RU 
90.150.189.40,90.150.189.55,business,RU 
90.150.189.56,90.150.189.95,isp,RU 
90.150.189.96,90.150.189.111,business,RU 
90.150.189.112,90.150.189.127,isp,RU 
90.150.189.128,90.150.189.239,business,RU 
90.150.189.240,90.150.189.247,isp,RU 
90.150.189.248,90.150.189.255,business,RU 
90.150.190.0,90.150.191.63,isp,RU 
90.150.191.64,90.150.191.71,business,RU 
90.150.191.72,90.151.255.255,isp,RU 
