181.189.0.0,181.189.15.255,isp,BR 
181.189.16.0,181.189.19.255,business,CO 
181.189.20.0,181.189.23.255,isp,CL 
181.189.24.0,181.189.26.255,isp,CO 
181.189.27.0,181.189.27.255,isp,GT 
181.189.28.0,181.189.38.255,isp,BR 
181.189.39.0,181.189.43.255,business,BR 
181.189.44.0,181.189.47.255,hosting,BR 
181.189.48.0,181.189.55.255,isp,BR 
181.189.56.0,181.189.56.255,business,VE 
181.189.57.0,181.189.59.255,isp,VE 
181.189.60.0,181.189.75.255,isp,BR 
181.189.76.0,181.189.79.255,isp,VE 
181.189.80.0,181.189.124.223,isp,BR 
181.189.124.224,181.189.124.255,business,BR 
181.189.125.0,181.189.127.255,isp,BR 
181.189.128.0,181.189.128.15,isp,GT 
181.189.128.16,181.189.128.67,business,GT 
181.189.128.68,181.189.128.71,isp,GT 
181.189.128.72,181.189.128.115,business,GT 
181.189.128.116,181.189.128.119,isp,GT 
181.189.128.120,181.189.128.167,business,GT 
181.189.128.168,181.189.128.171,isp,GT 
181.189.128.172,181.189.128.183,business,GT 
181.189.128.184,181.189.128.191,education,GT 
181.189.128.192,181.189.128.223,business,GT 
181.189.128.224,181.189.128.227,isp,GT 
181.189.128.228,181.189.129.19,business,GT 
181.189.129.20,181.189.129.23,isp,GT 
181.189.129.24,181.189.129.31,business,GT 
181.189.129.32,181.189.129.63,isp,GT 
181.189.129.64,181.189.129.79,business,GT 
181.189.129.80,181.189.129.83,isp,GT 
181.189.129.84,181.189.129.91,business,GT 
181.189.129.92,181.189.129.95,isp,GT 
181.189.129.96,181.189.129.111,business,GT 
181.189.129.112,181.189.129.119,isp,GT 
181.189.129.120,181.189.129.143,business,GT 
181.189.129.144,181.189.129.151,isp,GT 
181.189.129.152,181.189.129.155,business,GT 
181.189.129.156,181.189.129.159,isp,GT 
181.189.129.160,181.189.129.179,business,GT 
181.189.129.180,181.189.129.183,isp,GT 
181.189.129.184,181.189.129.207,business,GT 
181.189.129.208,181.189.129.215,isp,GT 
181.189.129.216,181.189.129.223,business,GT 
181.189.129.224,181.189.129.227,education,GT 
181.189.129.228,181.189.130.31,business,GT 
181.189.130.32,181.189.130.39,isp,GT 
181.189.130.40,181.189.130.55,business,GT 
181.189.130.56,181.189.130.63,isp,GT 
181.189.130.64,181.189.130.91,business,GT 
181.189.130.92,181.189.130.95,isp,GT 
181.189.130.96,181.189.130.107,business,GT 
181.189.130.108,181.189.130.111,isp,GT 
181.189.130.112,181.189.130.143,business,GT 
181.189.130.144,181.189.130.151,education,GT 
181.189.130.152,181.189.130.159,business,GT 
181.189.130.160,181.189.130.163,isp,GT 
181.189.130.164,181.189.130.191,business,GT 
181.189.130.192,181.189.130.255,isp,GT 
181.189.131.0,181.189.131.31,business,GT 
181.189.131.32,181.189.131.35,isp,GT 
181.189.131.36,181.189.131.63,business,GT 
181.189.131.64,181.189.131.91,isp,GT 
181.189.131.92,181.189.131.95,education,GT 
181.189.131.96,181.189.131.103,business,GT 
181.189.131.104,181.189.131.111,isp,GT 
181.189.131.112,181.189.131.123,business,GT 
181.189.131.124,181.189.131.127,isp,GT 
181.189.131.128,181.189.131.139,business,GT 
181.189.131.140,181.189.131.143,isp,GT 
181.189.131.144,181.189.131.151,business,GT 
181.189.131.152,181.189.131.159,education,GT 
181.189.131.160,181.189.131.167,business,GT 
181.189.131.168,181.189.131.175,isp,GT 
181.189.131.176,181.189.131.179,business,GT 
181.189.131.180,181.189.132.71,isp,GT 
181.189.132.72,181.189.132.79,business,GT 
181.189.132.80,181.189.132.87,isp,GT 
181.189.132.88,181.189.132.103,business,GT 
181.189.132.104,181.189.132.175,isp,GT 
181.189.132.176,181.189.132.199,business,GT 
181.189.132.200,181.189.132.207,isp,GT 
181.189.132.208,181.189.132.211,business,GT 
181.189.132.212,181.189.133.103,isp,GT 
181.189.133.104,181.189.133.111,business,GT 
181.189.133.112,181.189.133.171,isp,GT 
181.189.133.172,181.189.133.175,business,GT 
181.189.133.176,181.189.133.223,isp,GT 
181.189.133.224,181.189.133.231,business,GT 
181.189.133.232,181.189.135.59,isp,GT 
181.189.135.60,181.189.135.63,business,GT 
181.189.135.64,181.189.135.67,isp,GT 
181.189.135.68,181.189.135.71,education,GT 
181.189.135.72,181.189.135.235,isp,GT 
181.189.135.236,181.189.135.239,business,GT 
181.189.135.240,181.189.136.75,isp,GT 
181.189.136.76,181.189.136.79,education,GT 
181.189.136.80,181.189.136.87,business,GT 
181.189.136.88,181.189.136.91,isp,GT 
181.189.136.92,181.189.136.99,business,GT 
181.189.136.100,181.189.136.111,isp,GT 
181.189.136.112,181.189.136.119,business,GT 
181.189.136.120,181.189.136.147,isp,GT 
181.189.136.148,181.189.136.151,business,GT 
181.189.136.152,181.189.136.207,isp,GT 
181.189.136.208,181.189.136.211,education,GT 
181.189.136.212,181.189.136.223,isp,GT 
181.189.136.224,181.189.136.231,business,GT 
181.189.136.232,181.189.140.87,isp,GT 
181.189.140.88,181.189.140.91,business,GT 
181.189.140.92,181.189.140.199,isp,GT 
181.189.140.200,181.189.140.207,business,GT 
181.189.140.208,181.189.141.15,isp,GT 
181.189.141.16,181.189.141.23,business,GT 
181.189.141.24,181.189.141.35,isp,GT 
181.189.141.36,181.189.141.39,business,GT 
181.189.141.40,181.189.141.115,isp,GT 
181.189.141.116,181.189.141.127,business,GT 
181.189.141.128,181.189.141.203,isp,GT 
181.189.141.204,181.189.141.207,business,GT 
181.189.141.208,181.189.142.39,isp,GT 
181.189.142.40,181.189.142.51,business,GT 
181.189.142.52,181.189.142.63,isp,GT 
181.189.142.64,181.189.142.67,business,GT 
181.189.142.68,181.189.142.87,isp,GT 
181.189.142.88,181.189.142.91,business,GT 
181.189.142.92,181.189.142.199,isp,GT 
181.189.142.200,181.189.142.215,business,GT 
181.189.142.216,181.189.143.111,isp,GT 
181.189.143.112,181.189.143.115,business,GT 
181.189.143.116,181.189.143.143,isp,GT 
181.189.143.144,181.189.143.147,isp,GY 
181.189.143.148,181.189.143.167,isp,GT 
181.189.143.168,181.189.143.175,business,GT 
181.189.143.176,181.189.143.179,isp,GT 
181.189.143.180,181.189.143.183,business,GT 
181.189.143.184,181.189.144.31,isp,GT 
181.189.144.32,181.189.144.39,business,GT 
181.189.144.40,181.189.144.91,isp,GT 
181.189.144.92,181.189.144.95,business,GT 
181.189.144.96,181.189.144.159,isp,GT 
181.189.144.160,181.189.144.167,business,GT 
181.189.144.168,181.189.144.183,isp,GT 
181.189.144.184,181.189.144.187,education,GT 
181.189.144.188,181.189.144.251,isp,GT 
181.189.144.252,181.189.144.255,education,GT 
181.189.145.0,181.189.146.95,isp,GT 
181.189.146.96,181.189.146.107,business,GT 
181.189.146.108,181.189.146.115,isp,GT 
181.189.146.116,181.189.146.119,business,GT 
181.189.146.120,181.189.146.159,isp,GT 
181.189.146.160,181.189.146.163,business,GT 
181.189.146.164,181.189.146.255,isp,GT 
181.189.147.0,181.189.147.15,education,GT 
181.189.147.16,181.189.147.71,isp,GT 
181.189.147.72,181.189.147.79,education,GT 
181.189.147.80,181.189.147.199,isp,GT 
181.189.147.200,181.189.147.203,business,GT 
181.189.147.204,181.189.147.223,isp,GT 
181.189.147.224,181.189.147.239,business,GT 
181.189.147.240,181.189.147.247,isp,GT 
181.189.147.248,181.189.147.255,business,GT 
181.189.148.0,181.189.148.111,isp,GT 
181.189.148.112,181.189.148.115,business,GT 
181.189.148.116,181.189.148.155,isp,GT 
181.189.148.156,181.189.148.159,education,GT 
181.189.148.160,181.189.148.199,isp,GT 
