181.118.0.0,181.118.31.255,isp,AR,AS28114 
181.118.32.0,181.118.63.255,isp,TT,AS27800 
181.118.64.0,181.118.127.255,isp,AR,AS28075 
181.118.128.0,181.118.143.255,isp,AR,AS52492 
181.118.144.0,181.118.144.17,isp,CO,AS27951 
181.118.144.18,181.118.144.19,business,CO,AS27951 
181.118.144.20,181.118.144.23,isp,CO,AS27951 
181.118.144.24,181.118.144.27,business,CO,AS27951 
181.118.144.28,181.118.144.63,isp,CO,AS27951 
181.118.144.64,181.118.144.67,business,CO,AS27951 
181.118.144.68,181.118.144.111,isp,CO,AS27951 
181.118.144.112,181.118.144.115,business,CO,AS27951 
181.118.144.116,181.118.144.127,isp,CO,AS27951 
181.118.144.128,181.118.144.135,business,CO,AS27951 
181.118.144.136,181.118.144.165,isp,CO,AS27951 
181.118.144.166,181.118.144.167,business,CO,AS27951 
181.118.144.168,181.118.144.171,isp,CO,AS27951 
181.118.144.172,181.118.144.173,business,CO,AS27951 
181.118.144.174,181.118.144.217,isp,CO,AS27951 
181.118.144.218,181.118.144.219,business,CO,AS27951 
181.118.144.220,181.118.145.5,isp,CO,AS27951 
181.118.145.6,181.118.145.23,business,CO,AS27951 
181.118.145.24,181.118.145.25,isp,CO,AS27951 
181.118.145.26,181.118.145.27,business,CO,AS27951 
181.118.145.28,181.118.145.47,isp,CO,AS27951 
181.118.145.48,181.118.145.51,business,CO,AS27951 
181.118.145.52,181.118.145.55,isp,CO,AS27951 
181.118.145.56,181.118.145.63,business,CO,AS27951 
181.118.145.64,181.118.145.71,isp,CO,AS27951 
181.118.145.72,181.118.145.79,business,CO,AS27951 
181.118.145.80,181.118.145.81,isp,CO,AS27951 
181.118.145.82,181.118.145.83,business,CO,AS27951 
181.118.145.84,181.118.145.85,isp,CO,AS27951 
181.118.145.86,181.118.145.89,business,CO,AS27951 
181.118.145.90,181.118.145.117,isp,CO,AS27951 
181.118.145.118,181.118.145.119,business,CO,AS27951 
181.118.145.120,181.118.145.135,isp,CO,AS27951 
181.118.145.136,181.118.145.137,business,CO,AS27951 
181.118.145.138,181.118.145.141,isp,CO,AS27951 
181.118.145.142,181.118.145.143,business,CO,AS27951 
181.118.145.144,181.118.145.183,isp,CO,AS27951 
181.118.145.184,181.118.145.191,business,CO,AS27951 
181.118.145.192,181.118.145.221,isp,CO,AS27951 
181.118.145.222,181.118.145.223,business,CO,AS27951 
181.118.145.224,181.118.145.241,isp,CO,AS27951 
181.118.145.242,181.118.145.243,education,CO,AS27951 
181.118.145.244,181.118.146.31,isp,CO,AS27951 
181.118.146.32,181.118.146.43,business,CO,AS27951 
181.118.146.44,181.118.146.61,isp,CO,AS27951 
181.118.146.62,181.118.146.63,business,CO,AS27951 
181.118.146.64,181.118.146.87,isp,CO,AS27951 
181.118.146.88,181.118.146.89,business,CO,AS27951 
181.118.146.90,181.118.146.93,isp,CO,AS27951 
181.118.146.94,181.118.146.105,business,CO,AS27951 
181.118.146.106,181.118.146.169,isp,CO,AS27951 
181.118.146.170,181.118.146.173,business,CO,AS27951 
181.118.146.174,181.118.146.175,isp,CO,AS27951 
181.118.146.176,181.118.146.176,business,CO,AS27951 
181.118.146.177,181.118.147.23,isp,CO,AS27951 
181.118.147.24,181.118.147.35,business,CO,AS27951 
181.118.147.36,181.118.147.47,isp,CO,AS27951 
181.118.147.48,181.118.147.51,business,CO,AS27951 
181.118.147.52,181.118.147.55,isp,CO,AS27951 
181.118.147.56,181.118.147.57,business,CO,AS27951 
181.118.147.58,181.118.147.59,isp,CO,AS27951 
181.118.147.60,181.118.147.61,business,CO,AS27951 
181.118.147.62,181.118.147.63,isp,CO,AS27951 
181.118.147.64,181.118.147.95,business,CO,AS27951 
181.118.147.96,181.118.148.23,isp,CO,AS27951 
181.118.148.24,181.118.148.31,business,CO,AS27951 
181.118.148.32,181.118.148.55,isp,CO,AS27951 
181.118.148.56,181.118.148.63,business,CO,AS27951 
181.118.148.64,181.118.148.67,isp,CO,AS27951 
181.118.148.68,181.118.148.71,business,CO,AS27951 
181.118.148.72,181.118.148.73,isp,CO,AS27951 
181.118.148.74,181.118.148.79,business,CO,AS27951 
181.118.148.80,181.118.148.83,isp,CO,AS27951 
181.118.148.84,181.118.148.85,business,CO,AS27951 
181.118.148.86,181.118.148.111,isp,CO,AS27951 
181.118.148.112,181.118.148.119,business,CO,AS27951 
181.118.148.120,181.118.148.121,isp,CO,AS27951 
181.118.148.122,181.118.148.123,business,CO,AS27951 
181.118.148.124,181.118.148.135,isp,CO,AS27951 
181.118.148.136,181.118.148.139,business,CO,AS27951 
181.118.148.140,181.118.148.159,isp,CO,AS27951 
181.118.148.160,181.118.148.167,business,CO,AS27951 
181.118.148.168,181.118.148.169,isp,CO,AS27951 
181.118.148.170,181.118.148.171,education,CO,AS27951 
