199.187.0.0,199.187.7.255,business,US, 
199.187.8.0,199.187.14.255,business,US,AS32667 
199.187.15.0,199.187.15.255,business,US,AS54666 
199.187.16.0,199.187.27.255,hosting,US,AS55933 
199.187.28.0,199.187.31.255,isp,US,AS22485 
199.187.32.0,199.187.63.255,business,US, 
199.187.64.0,199.187.113.255,business,US,AS399776 
199.187.114.0,199.187.115.255,isp,US,AS15108 
199.187.116.0,199.187.119.255,business,US,AS396982 
199.187.120.0,199.187.127.255,isp,US,AS30041 
199.187.128.0,199.187.131.255,hosting,US,AS53834 
199.187.132.0,199.187.135.255,hosting,US,AS30076 
199.187.136.0,199.187.139.255,isp,US,AS13760 
199.187.140.0,199.187.140.127,business,US,AS13760 
199.187.140.128,199.187.143.255,isp,US,AS13760 
199.187.144.0,199.187.147.255,business,US,AS53897 
199.187.148.0,199.187.148.79,isp,US,AS21817 
199.187.148.80,199.187.148.95,business,US,AS21817 
199.187.148.96,199.187.148.103,isp,US,AS21817 
199.187.148.104,199.187.148.119,business,US,AS21817 
199.187.148.120,199.187.148.159,isp,US,AS21817 
199.187.148.160,199.187.148.167,business,US,AS21817 
199.187.148.168,199.187.148.191,isp,US,AS21817 
199.187.148.192,199.187.148.199,business,US,AS21817 
199.187.148.200,199.187.148.223,isp,US,AS21817 
199.187.148.224,199.187.148.231,business,US,AS21817 
199.187.148.232,199.187.149.39,isp,US,AS21817 
199.187.149.40,199.187.149.55,business,US,AS21817 
199.187.149.56,199.187.149.159,isp,US,AS21817 
199.187.149.160,199.187.149.167,business,US,AS21817 
199.187.149.168,199.187.149.183,isp,US,AS21817 
199.187.149.184,199.187.149.191,business,US,AS21817 
199.187.149.192,199.187.149.199,isp,US,AS21817 
199.187.149.200,199.187.149.215,business,US,AS21817 
199.187.149.216,199.187.149.239,isp,US,AS21817 
199.187.149.240,199.187.149.255,business,US,AS21817 
199.187.150.0,199.187.150.39,isp,US,AS21817 
199.187.150.40,199.187.150.47,business,US,AS21817 
199.187.150.48,199.187.150.79,isp,US,AS21817 
199.187.150.80,199.187.150.95,business,US,AS21817 
199.187.150.96,199.187.150.111,isp,US,AS21817 
199.187.150.112,199.187.150.119,business,US,AS21817 
199.187.150.120,199.187.150.135,isp,US,AS21817 
199.187.150.136,199.187.150.151,business,US,AS21817 
199.187.150.152,199.187.150.159,isp,US,AS21817 
199.187.150.160,199.187.150.175,business,US,AS21817 
199.187.150.176,199.187.150.207,isp,US,AS21817 
199.187.150.208,199.187.150.215,business,US,AS21817 
199.187.150.216,199.187.150.255,isp,US,AS21817 
199.187.151.0,199.187.151.7,business,US,AS21817 
199.187.151.8,199.187.151.79,isp,US,AS21817 
199.187.151.80,199.187.151.87,business,US,AS21817 
199.187.151.88,199.187.151.255,isp,US,AS21817 
199.187.152.0,199.187.159.255,business,US, 
199.187.160.0,199.187.163.255,isp,US,AS4581 
199.187.164.0,199.187.167.255,business,US, 
199.187.168.0,199.187.171.255,hosting,US,AS16509 
199.187.172.0,199.187.175.255,hosting,US,AS36351 
199.187.176.0,199.187.183.255,isp,US,AS13377 
199.187.184.0,199.187.187.255,hosting,US,AS33398 
199.187.188.0,199.187.191.255,business,US,AS7018 
199.187.192.0,199.187.195.255,business,CA, 
199.187.196.0,199.187.199.255,isp,US,AS394708 
199.187.200.0,199.187.207.255,isp,US,AS19331 
199.187.208.0,199.187.211.255,hosting,US,AS46562 
199.187.212.0,199.187.215.255,isp,US,AS11492 
199.187.216.0,199.187.223.255,business,US, 
199.187.224.0,199.187.227.255,business,CA, 
199.187.228.0,199.187.231.255,isp,CA,AS35911 
199.187.232.0,199.187.235.255,isp,US,AS25649 
199.187.236.0,199.187.239.255,business,US,AS53838 
199.187.240.0,199.187.247.255,hosting,US,AS33695 
199.187.248.0,199.187.255.255,isp,US,AS19201 
