199.164.0.0,199.164.7.255,business,US, 
199.164.8.0,199.164.15.255,business,US,AS20048 
199.164.16.0,199.164.31.255,business,US,AS174 
199.164.32.0,199.164.63.255,government,US,AS25753 
199.164.64.0,199.164.127.255,education,US,AS6461 
199.164.128.0,199.164.128.255,business,US, 
199.164.129.0,199.164.129.255,business,CA, 
199.164.130.0,199.164.133.255,business,US, 
199.164.134.0,199.164.134.255,education,US, 
199.164.135.0,199.164.135.255,education,US,AS17378 
199.164.136.0,199.164.136.255,isp,US, 
199.164.137.0,199.164.137.255,business,US, 
199.164.138.0,199.164.138.255,education,US,AS16989 
199.164.139.0,199.164.139.255,business,US, 
199.164.140.0,199.164.140.255,isp,US, 
199.164.141.0,199.164.142.255,business,US,AS25992 
199.164.143.0,199.164.143.255,hosting,US,AS17378 
199.164.144.0,199.164.145.255,business,US, 
199.164.146.0,199.164.146.255,education,US, 
199.164.147.0,199.164.147.255,business,US,AS27277 
199.164.148.0,199.164.148.255,business,US, 
199.164.149.0,199.164.149.255,business,US,AS1747 
199.164.150.0,199.164.151.255,business,US, 
199.164.152.0,199.164.156.255,education,US, 
199.164.157.0,199.164.158.255,business,US, 
199.164.159.0,199.164.161.255,business,US,AS23095 
199.164.162.0,199.164.162.255,isp,US, 
199.164.163.0,199.164.164.255,business,US, 
199.164.165.0,199.164.165.255,business,US,AS25648 
199.164.166.0,199.164.166.255,hosting,US,AS393507 
199.164.167.0,199.164.167.255,business,US,AS20271 
199.164.168.0,199.164.173.255,business,US, 
199.164.175.0,199.164.175.255,business,US, 
199.164.176.0,199.164.178.255,government,US,AS2939 
199.164.179.0,199.164.185.255,business,US, 
199.164.186.0,199.164.186.255,business,US,AS36587 
199.164.187.0,199.164.191.255,business,US, 
199.164.192.0,199.164.192.255,hosting,CA,AS54807 
199.164.193.0,199.164.201.255,business,US, 
199.164.202.0,199.164.202.255,education,US, 
199.164.203.0,199.164.209.255,business,US, 
199.164.210.0,199.164.210.255,isp,US,AS2914 
199.164.211.0,199.164.211.255,business,US, 
199.164.212.0,199.164.212.255,business,US,AS395719 
199.164.213.0,199.164.216.255,business,US, 
199.164.217.0,199.164.217.255,business,US,AS4373 
199.164.218.0,199.164.219.255,business,US, 
199.164.220.0,199.164.220.255,education,US, 
199.164.221.0,199.164.225.255,business,US, 
199.164.226.0,199.164.226.255,education,US, 
199.164.227.0,199.164.227.255,business,US,AS398777 
199.164.228.0,199.164.228.255,isp,US, 
199.164.229.0,199.164.235.255,business,US, 
199.164.236.0,199.164.237.255,education,US, 
199.164.238.0,199.164.244.255,business,US, 
199.164.245.0,199.164.246.255,isp,US, 
199.164.248.0,199.164.252.255,business,US, 
199.164.253.0,199.164.253.255,business,US,AS5078 
199.164.254.0,199.164.254.255,business,US, 
199.164.255.0,199.164.255.255,business,CA,AS14933 
