128.204.0.0,128.204.63.255,isp,RU,AS12714 
128.204.64.0,128.204.67.255,isp,RU,AS31133 
128.204.68.0,128.204.69.255,isp,RU,AS31224 
128.204.70.0,128.204.73.255,isp,RU,AS31133 
128.204.74.0,128.204.75.255,isp,RU,AS31213 
128.204.76.0,128.204.79.255,isp,RU,AS25159 
128.204.80.0,128.204.127.255,isp,RU,AS12714 
128.204.128.0,128.204.143.31,hosting,AT,AS44453 
128.204.143.32,128.204.143.63,business,AT,AS44453 
128.204.143.64,128.204.143.127,hosting,AT,AS44453 
128.204.143.128,128.204.143.159,hosting,DE,AS44453 
128.204.143.160,128.204.144.63,hosting,AT,AS44453 
128.204.144.64,128.204.144.95,business,AT,AS44453 
128.204.144.96,128.204.144.127,hosting,AT,AS44453 
128.204.144.128,128.204.144.159,isp,AT,AS44453 
128.204.144.160,128.204.144.191,hosting,AT,AS44453 
128.204.144.192,128.204.144.223,education,AT,AS44453 
128.204.144.224,128.204.144.255,hosting,AT,AS44453 
128.204.145.0,128.204.145.127,business,AT,AS44453 
128.204.145.128,128.204.145.207,hosting,AT,AS44453 
128.204.145.208,128.204.145.223,business,AT,AS44453 
128.204.145.224,128.204.145.239,hosting,TW,AS44453 
128.204.145.240,128.204.146.15,hosting,AT,AS44453 
128.204.146.16,128.204.146.31,hosting,GB,AS44453 
128.204.146.32,128.204.146.47,business,AT,AS44453 
128.204.146.48,128.204.146.63,hosting,DE,AS44453 
128.204.146.64,128.204.146.79,hosting,AT,AS44453 
128.204.146.80,128.204.146.111,education,AT,AS44453 
128.204.146.112,128.204.146.127,business,AT,AS44453 
128.204.146.128,128.204.146.143,hosting,FR,AS44453 
128.204.146.144,128.204.146.231,hosting,AT,AS44453 
128.204.146.232,128.204.146.239,hosting,GB,AS44453 
128.204.146.240,128.204.146.247,hosting,DE,AS44453 
128.204.146.248,128.204.146.255,hosting,AT,AS44453 
128.204.147.0,128.204.147.127,hosting,DE,AS44453 
128.204.147.128,128.204.148.127,hosting,AT,AS44453 
128.204.148.128,128.204.148.255,business,AT,AS44453 
128.204.149.0,128.204.149.255,hosting,AT,AS44453 
128.204.150.0,128.204.150.255,business,AT,AS44453 
128.204.151.0,128.204.153.31,hosting,AT,AS44453 
128.204.153.32,128.204.153.39,education,AT,AS44453 
128.204.153.40,128.204.153.55,hosting,AT,AS44453 
128.204.153.56,128.204.153.63,business,DE,AS44453 
128.204.153.64,128.204.153.71,business,IT,AS44453 
128.204.153.72,128.204.153.95,hosting,AT,AS44453 
128.204.153.96,128.204.153.103,hosting,BE,AS44453 
128.204.153.104,128.204.153.119,hosting,DE,AS44453 
128.204.153.120,128.204.153.135,hosting,AT,AS44453 
128.204.153.136,128.204.153.143,isp,DE,AS44453 
128.204.153.144,128.204.153.151,business,GB,AS44453 
128.204.153.152,128.204.153.159,hosting,HR,AS44453 
128.204.153.160,128.204.153.167,hosting,AT,AS44453 
128.204.153.168,128.204.153.175,business,DE,AS44453 
128.204.153.176,128.204.153.183,business,US,AS44453 
128.204.153.184,128.204.153.239,hosting,AT,AS44453 
128.204.153.240,128.204.153.247,education,IE,AS44453 
128.204.153.248,128.204.154.7,hosting,AT,AS44453 
128.204.154.8,128.204.154.15,business,AT,AS44453 
128.204.154.16,128.204.154.39,hosting,AT,AS44453 
128.204.154.40,128.204.154.47,hosting,DE,AS44453 
128.204.154.48,128.204.154.55,hosting,AT,AS44453 
128.204.154.56,128.204.154.63,business,GB,AS44453 
128.204.154.64,128.204.154.79,hosting,AT,AS44453 
128.204.154.80,128.204.154.87,hosting,DE,AS44453 
128.204.154.88,128.204.154.135,hosting,AT,AS44453 
128.204.154.136,128.204.154.143,hosting,IN,AS44453 
128.204.154.144,128.204.154.151,hosting,GR,AS44453 
128.204.154.152,128.204.154.167,hosting,AT,AS44453 
128.204.154.168,128.204.154.175,business,AT,AS44453 
128.204.154.176,128.204.156.127,hosting,AT,AS44453 
128.204.156.128,128.204.156.191,hosting,DE,AS44453 
128.204.156.192,128.204.158.127,hosting,AT,AS44453 
128.204.158.128,128.204.159.127,business,AT,AS44453 
128.204.159.128,128.204.159.255,hosting,AT,AS44453 
128.204.160.0,128.204.191.255,isp,RU,AS42514 
128.204.192.0,128.204.193.63,hosting,NL,AS62370 
128.204.193.64,128.204.193.64,business,IN,AS62370 
128.204.193.65,128.204.194.14,hosting,NL,AS62370 
128.204.194.15,128.204.194.15,business,NL,AS62370 
128.204.194.16,128.204.194.32,hosting,NL,AS62370 
128.204.194.33,128.204.194.33,business,NL,AS62370 
128.204.194.34,128.204.195.32,hosting,NL,AS62370 
128.204.195.33,128.204.195.33,business,NL,AS62370 
128.204.195.34,128.204.196.4,hosting,NL,AS62370 
128.204.196.5,128.204.196.8,business,NL,AS62370 
