128.242.96.64,128.242.96.159,isp,GB,AS2914 
128.242.96.160,128.242.105.11,isp,US,AS2914 
128.242.105.12,128.242.105.15,business,US,AS2914 
128.242.105.16,128.242.105.31,isp,US,AS2914 
128.242.105.32,128.242.105.35,business,US,AS2914 
128.242.105.36,128.242.105.63,isp,US,AS2914 
128.242.105.64,128.242.105.67,business,US,AS2914 
128.242.105.68,128.242.105.71,isp,US,AS2914 
128.242.105.72,128.242.105.75,business,US,AS2914 
128.242.105.76,128.242.106.55,isp,US,AS2914 
128.242.106.56,128.242.106.63,business,US,AS2914 
128.242.106.64,128.242.106.143,isp,US,AS2914 
128.242.106.144,128.242.106.151,isp,JP,AS2914 
128.242.106.152,128.242.106.159,business,US,AS2914 
128.242.106.160,128.242.106.191,isp,US,AS2914 
128.242.106.192,128.242.106.199,business,US,AS2914 
128.242.106.200,128.242.106.239,isp,US,AS2914 
128.242.106.240,128.242.106.247,business,US,AS2914 
128.242.106.248,128.242.109.55,isp,US,AS2914 
128.242.109.56,128.242.109.63,business,US,AS2914 
128.242.109.64,128.242.109.127,isp,US,AS2914 
128.242.109.128,128.242.109.143,isp,GB,AS2914 
128.242.109.144,128.242.109.159,business,US,AS2914 
128.242.109.160,128.242.109.239,isp,US,AS2914 
128.242.109.240,128.242.109.255,business,US,AS2914 
128.242.110.0,128.242.110.47,isp,US,AS2914 
128.242.110.48,128.242.110.63,business,US,AS2914 
128.242.110.64,128.242.110.159,isp,US,AS2914 
128.242.110.160,128.242.110.175,business,US,AS2914 
128.242.110.176,128.242.112.155,isp,US,AS2914 
128.242.112.156,128.242.112.159,business,US,AS2914 
128.242.112.160,128.242.112.255,isp,US,AS2914 
128.242.113.0,128.242.113.31,business,US,AS2914 
128.242.113.32,128.242.114.31,isp,US,AS2914 
128.242.114.32,128.242.114.63,business,US,AS2914 
128.242.114.64,128.242.115.255,isp,US,AS2914 
128.242.116.0,128.242.116.63,business,US,AS2914 
128.242.116.64,128.242.118.159,isp,US,AS2914 
128.242.118.160,128.242.118.175,business,US,AS2914 
128.242.118.176,128.242.147.255,isp,US,AS2914 
128.242.148.0,128.242.148.255,business,,AS2914 
128.242.149.0,128.242.178.255,isp,US,AS2914 
128.242.179.0,128.242.179.15,business,DE,AS2914 
128.242.179.16,128.242.179.79,isp,US,AS2914 
128.242.179.80,128.242.179.95,business,DE,AS2914 
128.242.179.96,128.242.179.223,isp,US,AS2914 
128.242.179.224,128.242.179.239,business,DE,AS2914 
128.242.179.240,128.242.255.255,isp,US,AS2914 
