186.115.5.248,186.115.5.255,business,CO,AS3816 
186.115.6.0,186.115.99.47,isp,CO,AS3816 
186.115.99.48,186.115.99.55,business,CO,AS3816 
186.115.99.56,186.115.114.55,isp,CO,AS3816 
186.115.114.56,186.115.114.63,business,CO,AS3816 
186.115.114.64,186.115.114.191,isp,CO,AS3816 
186.115.114.192,186.115.114.199,business,CO,AS3816 
186.115.114.200,186.115.117.175,isp,CO,AS3816 
186.115.117.176,186.115.117.183,business,CO,AS3816 
186.115.117.184,186.115.119.143,isp,CO,AS3816 
186.115.119.144,186.115.119.151,business,CO,AS3816 
186.115.119.152,186.115.121.175,isp,CO,AS3816 
186.115.121.176,186.115.121.183,business,CO,AS3816 
186.115.121.184,186.115.127.55,isp,CO,AS3816 
186.115.127.56,186.115.127.63,business,CO,AS3816 
186.115.127.64,186.115.129.55,isp,CO,AS3816 
186.115.129.56,186.115.129.71,business,CO,AS3816 
186.115.129.72,186.115.130.31,isp,CO,AS3816 
186.115.130.32,186.115.130.39,business,CO,AS3816 
186.115.130.40,186.115.131.47,isp,CO,AS3816 
186.115.131.48,186.115.131.55,business,CO,AS3816 
186.115.131.56,186.115.146.159,isp,CO,AS3816 
186.115.146.160,186.115.146.167,business,CO,AS3816 
186.115.146.168,186.115.154.135,isp,CO,AS3816 
186.115.154.136,186.115.154.143,business,CO,AS3816 
186.115.154.144,186.115.160.231,isp,CO,AS3816 
186.115.160.232,186.115.160.239,business,CO,AS3816 
186.115.160.240,186.115.161.23,isp,CO,AS3816 
186.115.161.24,186.115.161.31,business,CO,AS3816 
186.115.161.32,186.115.162.111,isp,CO,AS3816 
186.115.162.112,186.115.162.119,business,CO,AS3816 
186.115.162.120,186.115.165.15,isp,CO,AS3816 
186.115.165.16,186.115.165.23,business,CO,AS3816 
186.115.165.24,186.115.215.183,isp,CO,AS3816 
186.115.215.184,186.115.215.191,business,CO,AS3816 
186.115.215.192,186.115.220.111,isp,CO,AS3816 
186.115.220.112,186.115.220.119,business,CO,AS3816 
186.115.220.120,186.116.1.191,isp,CO,AS3816 
