186.112.0.0,186.112.82.167,isp,CO 
186.112.82.168,186.112.82.175,business,CO 
186.112.82.176,186.112.95.191,isp,CO 
186.112.95.192,186.112.95.199,business,CO 
186.112.95.200,186.112.127.255,isp,CO 
186.112.128.0,186.112.128.255,business,CO 
186.112.129.0,186.112.137.63,isp,CO 
186.112.137.64,186.112.137.71,business,CO 
186.112.137.72,186.112.140.151,isp,CO 
186.112.140.152,186.112.140.159,business,CO 
186.112.140.160,186.112.143.7,isp,CO 
186.112.143.8,186.112.143.15,business,CO 
186.112.143.16,186.112.145.239,isp,CO 
186.112.145.240,186.112.145.247,business,CO 
186.112.145.248,186.112.146.23,isp,CO 
186.112.146.24,186.112.146.31,business,CO 
186.112.146.32,186.112.147.55,isp,CO 
186.112.147.56,186.112.147.63,business,CO 
186.112.147.64,186.112.148.95,isp,CO 
186.112.148.96,186.112.148.103,business,CO 
186.112.148.104,186.112.159.127,isp,CO 
186.112.159.128,186.112.159.135,business,CO 
186.112.159.136,186.112.162.103,isp,CO 
186.112.162.104,186.112.162.111,business,CO 
186.112.162.112,186.112.165.7,isp,CO 
186.112.165.8,186.112.165.15,business,CO 
186.112.165.16,186.112.165.207,isp,CO 
186.112.165.208,186.112.165.215,business,CO 
186.112.165.216,186.112.166.127,isp,CO 
186.112.166.128,186.112.166.135,business,CO 
186.112.166.136,186.112.166.159,isp,CO 
186.112.166.160,186.112.166.167,business,CO 
186.112.166.168,186.112.166.239,isp,CO 
186.112.166.240,186.112.166.247,business,CO 
186.112.166.248,186.112.170.167,isp,CO 
186.112.170.168,186.112.170.175,business,CO 
186.112.170.176,186.112.171.103,isp,CO 
186.112.171.104,186.112.171.111,business,CO 
186.112.171.112,186.112.172.15,isp,CO 
186.112.172.16,186.112.172.23,business,CO 
186.112.172.24,186.112.172.119,isp,CO 
186.112.172.120,186.112.172.127,business,CO 
186.112.172.128,186.112.181.255,isp,CO 
186.112.182.0,186.112.182.15,business,CO 
186.112.182.16,186.112.182.111,isp,CO 
186.112.182.112,186.112.182.119,business,CO 
186.112.182.120,186.112.224.255,isp,CO 
186.112.225.0,186.112.225.7,business,CO 
186.112.225.8,186.112.228.111,isp,CO 
186.112.228.112,186.112.228.119,business,CO 
186.112.228.120,186.113.8.255,isp,CO 
