70.182.63.0,70.182.63.255,business,US,AS22773 
70.182.64.0,70.182.107.255,isp,US,AS22773 
70.182.108.0,70.182.109.255,business,US,AS22773 
70.182.110.0,70.182.116.255,isp,US,AS22773 
70.182.117.0,70.182.117.255,business,US,AS22773 
70.182.118.0,70.182.211.255,isp,US,AS22773 
70.182.212.0,70.182.212.255,isp,US,AS22898 
70.182.213.0,70.182.223.255,isp,US,AS22773 
70.182.224.0,70.182.224.255,isp,US,AS33270 
70.182.225.0,70.182.231.255,isp,US,AS22773 
70.182.232.0,70.182.239.255,isp,US,AS30174 
70.182.240.0,70.183.17.255,isp,US,AS22773 
