70.132.156.144,70.132.156.151,business,US,AS7018 
70.132.156.152,70.132.156.167,isp,US,AS7018 
70.132.156.168,70.132.156.175,business,US,AS7018 
70.132.156.176,70.132.156.199,isp,US,AS7018 
70.132.156.200,70.132.156.215,business,US,AS7018 
70.132.156.216,70.132.157.7,isp,US,AS7018 
70.132.157.8,70.132.157.15,business,US,AS7018 
70.132.157.16,70.132.157.47,isp,US,AS7018 
70.132.157.48,70.132.157.55,business,US,AS7018 
70.132.157.56,70.132.157.175,isp,US,AS7018 
70.132.157.176,70.132.157.183,business,US,AS7018 
70.132.157.184,70.132.157.239,isp,US,AS7018 
70.132.157.240,70.132.157.247,business,US,AS7018 
70.132.157.248,70.132.158.167,isp,US,AS7018 
70.132.158.168,70.132.158.175,business,US,AS7018 
70.132.158.176,70.132.159.7,isp,US,AS7018 
70.132.159.8,70.132.159.15,business,US,AS7018 
70.132.159.16,70.132.159.23,isp,US,AS7018 
70.132.159.24,70.132.159.31,business,US,AS7018 
70.132.159.32,70.132.159.119,isp,US,AS7018 
70.132.159.120,70.132.159.127,business,US,AS7018 
70.132.159.128,70.132.159.143,isp,US,AS7018 
70.132.159.144,70.132.159.151,business,US,AS7018 
70.132.159.152,70.132.164.79,isp,US,AS7018 
70.132.164.80,70.132.164.95,business,US,AS7018 
70.132.164.96,70.132.164.143,isp,US,AS7018 
70.132.164.144,70.132.164.151,business,US,AS7018 
70.132.164.152,70.132.164.183,isp,US,AS7018 
70.132.164.184,70.132.164.207,business,US,AS7018 
70.132.164.208,70.132.165.207,isp,US,AS7018 
70.132.165.208,70.132.165.215,business,US,AS7018 
70.132.165.216,70.132.165.255,isp,US,AS7018 
70.132.166.0,70.132.166.7,business,US,AS7018 
70.132.166.8,70.132.166.223,isp,US,AS7018 
70.132.166.224,70.132.166.231,business,US,AS7018 
70.132.166.232,70.132.166.247,isp,US,AS7018 
70.132.166.248,70.132.166.255,business,US,AS7018 
70.132.167.0,70.132.167.15,isp,US,AS7018 
70.132.167.16,70.132.167.31,business,US,AS7018 
70.132.167.32,70.132.167.79,isp,US,AS7018 
70.132.167.80,70.132.167.87,business,US,AS7018 
70.132.167.88,70.132.167.103,isp,US,AS7018 
70.132.167.104,70.132.167.111,business,US,AS7018 
70.132.167.112,70.132.168.23,isp,US,AS7018 
70.132.168.24,70.132.168.31,business,US,AS7018 
70.132.168.32,70.132.168.39,isp,US,AS7018 
70.132.168.40,70.132.168.55,business,US,AS7018 
70.132.168.56,70.132.168.79,isp,US,AS7018 
70.132.168.80,70.132.168.87,business,US,AS7018 
70.132.168.88,70.132.168.127,isp,US,AS7018 
70.132.168.128,70.132.168.135,business,US,AS7018 
70.132.168.136,70.132.169.71,isp,US,AS7018 
70.132.169.72,70.132.169.79,business,US,AS7018 
70.132.169.80,70.132.169.111,isp,US,AS7018 
70.132.169.112,70.132.169.119,business,US,AS7018 
70.132.169.120,70.132.169.175,isp,US,AS7018 
70.132.169.176,70.132.169.183,business,US,AS7018 
70.132.169.184,70.132.169.247,isp,US,AS7018 
70.132.169.248,70.132.170.7,business,US,AS7018 
70.132.170.8,70.132.170.63,isp,US,AS7018 
70.132.170.64,70.132.170.71,business,US,AS7018 
70.132.170.72,70.132.170.103,isp,US,AS7018 
70.132.170.104,70.132.170.111,business,US,AS7018 
70.132.170.112,70.132.170.215,isp,US,AS7018 
70.132.170.216,70.132.170.223,business,US,AS7018 
70.132.170.224,70.132.170.255,isp,US,AS7018 
70.132.171.0,70.132.171.15,business,US,AS7018 
70.132.171.16,70.132.171.31,isp,US,AS7018 
70.132.171.32,70.132.171.47,business,US,AS7018 
70.132.171.48,70.132.171.95,isp,US,AS7018 
70.132.171.96,70.132.171.103,business,US,AS7018 
70.132.171.104,70.132.171.215,isp,US,AS7018 
70.132.171.216,70.132.171.223,business,US,AS7018 
70.132.171.224,70.132.172.7,isp,US,AS7018 
70.132.172.8,70.132.172.15,business,US,AS7018 
70.132.172.16,70.132.172.79,isp,US,AS7018 
70.132.172.80,70.132.172.87,business,US,AS7018 
70.132.172.88,70.132.172.191,isp,US,AS7018 
70.132.172.192,70.132.172.199,business,US,AS7018 
70.132.172.200,70.132.173.15,isp,US,AS7018 
70.132.173.16,70.132.173.31,business,US,AS7018 
70.132.173.32,70.132.174.15,isp,US,AS7018 
70.132.174.16,70.132.174.23,business,US,AS7018 
70.132.174.24,70.132.174.63,isp,US,AS7018 
