70.169.47.0,70.169.47.255,business,US,AS22773 
70.169.48.0,70.169.171.255,isp,US,AS22773 
70.169.172.0,70.169.173.255,business,US,AS22773 
70.169.174.0,70.169.187.255,isp,US,AS22773 
70.169.188.0,70.169.188.255,isp,US,AS394468 
70.169.189.0,70.169.205.255,isp,US,AS22773 
70.169.206.0,70.169.206.255,hosting,US,AS36446 
70.169.207.0,70.169.238.255,isp,US,AS22773 
70.169.239.0,70.169.239.255,business,US,AS22773 
70.169.240.0,70.169.241.255,isp,US,AS22773 
70.169.242.0,70.169.242.255,business,US,AS22773 
70.169.243.0,70.169.244.255,isp,US,AS22773 
70.169.245.0,70.169.245.255,business,US,AS22773 
70.169.246.0,70.171.147.255,isp,US,AS22773 
