221.121.0.0,221.121.63.255,isp,VN 
221.121.64.0,221.121.95.255,government,AU 
221.121.96.0,221.121.127.255,isp,PH 
221.121.128.0,221.121.135.255,hosting,AU 
221.121.136.0,221.121.136.255,isp,AU 
221.121.137.0,221.121.137.255,hosting,AU 
221.121.138.0,221.121.143.255,isp,AU 
221.121.144.0,221.121.146.255,hosting,AU 
221.121.147.0,221.121.154.247,isp,AU 
221.121.154.248,221.121.154.255,hosting,AU 
221.121.155.0,221.121.155.255,isp,AU 
221.121.156.0,221.121.159.255,hosting,AU 
221.121.160.0,221.121.175.255,isp,JP 
221.121.176.0,221.121.183.15,business,JP 
221.121.183.16,221.121.183.23,education,JP 
221.121.183.24,221.121.183.255,business,JP 
221.121.184.0,221.121.191.255,business,PH 
221.121.192.0,221.121.255.255,business,JP 
