210.131.0.0,210.131.1.255,business,JP,AS2510 
210.131.2.0,210.131.2.255,hosting,JP,AS2510 
210.131.3.0,210.131.127.255,business,JP,AS2510 
210.131.128.0,210.131.149.255,isp,JP,AS2519 
210.131.150.0,210.131.150.255,business,JP,AS2519 
210.131.151.0,210.131.158.255,isp,JP,AS2519 
210.131.159.0,210.131.159.255,business,JP,AS2519 
210.131.160.0,210.131.176.255,isp,JP,AS2519 
210.131.177.0,210.131.177.127,business,JP,AS2519 
210.131.177.128,210.131.177.207,isp,JP,AS2519 
210.131.177.208,210.131.177.223,business,JP,AS2519 
210.131.177.224,210.131.207.255,isp,JP,AS2519 
210.131.208.0,210.131.223.255,hosting,JP,AS131965 
210.131.224.0,210.131.235.255,isp,JP,AS17534 
210.131.236.0,210.131.239.255,business,JP, 
210.131.240.0,210.131.240.191,isp,JP,AS2519 
210.131.240.192,210.131.241.255,business,JP,AS2519 
210.131.242.0,210.131.248.255,isp,JP,AS2519 
210.131.249.0,210.131.249.143,business,JP,AS2519 
210.131.249.144,210.131.249.159,isp,JP,AS2519 
210.131.249.160,210.131.249.191,business,JP,AS2519 
210.131.249.192,210.131.249.255,isp,JP,AS2519 
210.131.250.0,210.131.250.255,business,JP,AS2519 
210.131.251.0,210.131.251.191,isp,JP,AS2519 
210.131.251.192,210.131.251.255,business,JP,AS2519 
210.131.252.0,210.131.252.127,isp,JP,AS2519 
210.131.252.128,210.131.252.191,business,JP,AS2519 
210.131.252.192,210.131.253.255,isp,JP,AS2519 
210.131.254.0,210.131.254.31,business,JP,AS2519 
210.131.254.32,210.131.254.63,isp,JP,AS2519 
210.131.254.64,210.131.254.191,business,JP,AS2519 
210.131.254.192,210.131.255.35,isp,JP,AS2519 
210.131.255.36,210.131.255.39,business,JP,AS2519 
210.131.255.40,210.131.255.47,isp,JP,AS2519 
210.131.255.48,210.131.255.95,business,JP,AS2519 
210.131.255.96,210.131.255.127,isp,JP,AS2519 
210.131.255.128,210.131.255.255,business,JP,AS2519 
