210.185.0.0,210.185.63.255,business,NZ,AS4770 
210.185.64.0,210.185.111.255,isp,AU,AS7545 
210.185.112.0,210.185.112.127,business,AU,AS7545 
210.185.112.128,210.185.112.135,isp,AU,AS7545 
210.185.112.136,210.185.112.143,business,AU,AS7545 
210.185.112.144,210.185.112.151,isp,AU,AS7545 
210.185.112.152,210.185.112.183,business,AU,AS7545 
210.185.112.184,210.185.112.191,isp,AU,AS7545 
210.185.112.192,210.185.112.223,business,AU,AS7545 
210.185.112.224,210.185.127.255,isp,AU,AS7545 
210.185.128.0,210.185.159.255,business,JP,AS10004 
210.185.160.0,210.185.167.255,isp,PH,AS132199 
210.185.168.0,210.185.175.255,isp,PH,AS4775 
210.185.176.0,210.185.191.255,isp,PH,AS9299 
210.185.192.0,210.185.255.255,business,CN,AS134773 
