210.230.0.0,210.230.28.255,isp,JP,AS2516 
210.230.29.0,210.230.29.255,business,JP,AS2516 
210.230.30.0,210.230.34.63,isp,JP,AS2516 
210.230.34.64,210.230.34.79,business,JP,AS2516 
210.230.34.80,210.230.34.127,isp,JP,AS2516 
210.230.34.128,210.230.34.143,business,JP,AS2516 
210.230.34.144,210.230.68.239,isp,JP,AS2516 
210.230.68.240,210.230.68.247,business,JP,AS2516 
210.230.68.248,210.230.163.255,isp,JP,AS2516 
210.230.164.0,210.230.164.63,business,JP,AS2516 
210.230.164.64,210.230.175.23,isp,JP,AS2516 
210.230.175.24,210.230.175.31,business,JP,AS2516 
210.230.175.32,210.230.175.95,isp,JP,AS2516 
210.230.175.96,210.230.175.111,business,JP,AS2516 
210.230.175.112,210.230.175.183,isp,JP,AS2516 
210.230.175.184,210.230.175.191,business,JP,AS2516 
210.230.175.192,210.230.183.15,isp,JP,AS2516 
210.230.183.16,210.230.183.47,business,JP,AS2516 
210.230.183.48,210.230.183.119,isp,JP,AS2516 
210.230.183.120,210.230.183.127,business,JP,AS2516 
210.230.183.128,210.230.186.95,isp,JP,AS2516 
210.230.186.96,210.230.186.103,business,JP,AS2516 
210.230.186.104,210.230.186.143,isp,JP,AS2516 
210.230.186.144,210.230.186.159,business,JP,AS2516 
210.230.186.160,210.230.186.215,isp,JP,AS2516 
210.230.186.216,210.230.186.223,business,JP,AS2516 
210.230.186.224,210.230.187.95,isp,JP,AS2516 
210.230.187.96,210.230.187.119,business,JP,AS2516 
210.230.187.120,210.230.187.167,isp,JP,AS2516 
210.230.187.168,210.230.187.175,business,JP,AS2516 
210.230.187.176,210.230.187.239,isp,JP,AS2516 
210.230.187.240,210.230.187.255,business,JP,AS2516 
210.230.188.0,210.230.188.79,isp,JP,AS2516 
210.230.188.80,210.230.188.87,business,JP,AS2516 
210.230.188.88,210.230.188.239,isp,JP,AS2516 
210.230.188.240,210.230.188.255,business,JP,AS2516 
210.230.189.0,210.230.189.143,isp,JP,AS2516 
