210.244.1.0,210.244.1.255,hosting,TW,AS9919 
210.244.2.0,210.244.83.255,isp,TW,AS4780 
210.244.84.0,210.244.91.255,isp,TW,AS18419 
210.244.92.0,210.244.96.255,isp,TW,AS4780 
210.244.97.0,210.244.97.255,isp,TW,AS18419 
210.244.98.0,210.244.127.255,isp,TW,AS4780 
210.244.128.0,210.244.191.255,isp,TW, 
210.244.192.0,210.244.223.255,business,TW,AS7478 
210.244.224.0,210.244.255.255,business,TW, 
