210.130.0.0,210.130.96.191,isp,JP 
210.130.96.192,210.130.96.255,business,JP 
210.130.97.0,210.130.104.191,isp,JP 
210.130.104.192,210.130.104.255,business,JP 
210.130.105.0,210.130.164.63,isp,JP 
210.130.164.64,210.130.164.87,business,JP 
210.130.164.88,210.130.164.95,isp,JP 
210.130.164.96,210.130.164.255,business,JP 
210.130.165.0,210.130.174.255,isp,JP 
210.130.175.0,210.130.175.63,business,JP 
210.130.175.64,210.130.175.143,isp,JP 
210.130.175.144,210.130.178.255,business,JP 
210.130.179.0,210.130.179.255,education,JP 
210.130.180.0,210.130.186.255,isp,JP 
210.130.187.0,210.130.187.255,business,JP 
210.130.188.0,210.130.191.255,isp,JP 
210.130.192.0,210.130.192.255,business,JP 
210.130.193.0,210.130.195.255,isp,JP 
210.130.196.0,210.130.196.255,education,JP 
210.130.197.0,210.130.199.255,isp,JP 
210.130.200.0,210.130.200.255,business,JP 
210.130.201.0,210.130.202.255,isp,JP 
210.130.203.0,210.130.203.255,business,JP 
210.130.204.0,210.130.208.255,isp,JP 
210.130.209.0,210.130.210.255,business,JP 
210.130.211.0,210.130.211.255,isp,JP 
210.130.212.0,210.130.212.255,business,JP 
210.130.213.0,210.130.213.71,isp,JP 
210.130.213.72,210.130.213.95,business,JP 
210.130.213.96,210.130.213.103,isp,JP 
210.130.213.104,210.130.213.119,business,JP 
210.130.213.120,210.130.213.199,isp,JP 
210.130.213.200,210.130.213.215,business,JP 
210.130.213.216,210.130.216.255,isp,JP 
210.130.217.0,210.130.218.255,business,JP 
210.130.219.0,210.130.221.255,isp,JP 
210.130.222.0,210.130.224.255,business,JP 
210.130.225.0,210.130.227.159,isp,JP 
210.130.227.160,210.130.227.191,business,JP 
210.130.227.192,210.130.232.255,isp,JP 
210.130.233.0,210.130.234.255,business,JP 
210.130.235.0,210.130.238.63,isp,JP 
210.130.238.64,210.130.238.95,business,JP 
210.130.238.96,210.130.249.191,isp,JP 
210.130.249.192,210.130.249.223,business,JP 
210.130.249.224,210.130.251.255,isp,JP 
210.130.252.0,210.130.252.31,business,JP 
210.130.252.32,210.130.252.47,isp,JP 
210.130.252.48,210.130.252.127,business,JP 
210.130.252.128,210.130.252.191,isp,JP 
210.130.252.192,210.130.252.255,education,JP 
210.130.253.0,210.130.253.255,business,JP 
210.130.254.0,210.130.254.255,isp,JP 
210.130.255.0,210.131.1.255,business,JP 
