210.124.0.0,210.124.37.255,business,KR,AS3786 
210.124.38.0,210.124.38.255,hosting,KR,AS9857 
210.124.39.0,210.124.123.255,business,KR,AS3786 
210.124.124.0,210.124.124.255,hosting,KR,AS3786 
210.124.125.0,210.124.133.255,business,KR,AS3786 
210.124.134.0,210.124.134.255,business,KR,AS3608 
210.124.135.0,210.124.207.255,business,KR,AS3786 
210.124.208.0,210.124.208.255,education,KR,AS3786 
210.124.209.0,210.124.211.255,business,KR,AS9857 
210.124.212.0,210.124.254.255,business,KR,AS3786 
210.124.255.0,210.124.255.255,education,KR,AS3786 
