92.240.0.0,92.240.31.255,business,GB,AS62112 
92.240.32.0,92.240.63.255,isp,BA,AS20875 
92.240.64.0,92.240.71.255,education,LV,AS5538 
92.240.72.0,92.240.72.23,business,LV,AS5538 
92.240.72.24,92.240.79.255,education,LV,AS5538 
92.240.80.0,92.240.80.255,business,LV,AS5538 
92.240.81.0,92.240.95.255,education,LV,AS5538 
92.240.96.0,92.240.127.255,isp,CH,AS15547 
92.240.128.0,92.240.143.255,isp,RU,AS8439 
92.240.144.0,92.240.147.255,hosting,NL,AS39855 
92.240.148.0,92.240.148.255,hosting,US,AS214307 
92.240.149.0,92.240.149.255,hosting,PL,AS39855 
92.240.150.0,92.240.150.255,hosting,NL,AS211043 
92.240.151.0,92.240.151.255,hosting,PL,AS39855 
92.240.152.0,92.240.152.31,business,FI,AS59650 
92.240.152.32,92.240.152.255,isp,FI,AS59650 
92.240.153.0,92.240.153.255,business,FI,AS59650 
92.240.154.0,92.240.159.255,isp,FI,AS59650 
92.240.160.0,92.240.191.255,isp,CZ,AS16246 
92.240.192.0,92.240.195.255,business,RU,AS39735 
92.240.196.0,92.240.199.255,isp,US,AS209372 
92.240.200.0,92.240.200.255,isp,ZA,AS209372 
92.240.201.0,92.240.201.255,isp,JP,AS44477 
92.240.202.0,92.240.203.255,business,RU,AS57842 
92.240.204.0,92.240.204.255,isp,MA,AS9009 
92.240.205.0,92.240.205.255,isp,JP,AS44477 
92.240.206.0,92.240.206.255,isp,PA,AS9009 
92.240.207.0,92.240.207.255,isp,PL,AS9009 
92.240.208.0,92.240.211.255,business,RU,AS39735 
92.240.212.0,92.240.213.255,isp,RU,AS39735 
92.240.214.0,92.240.214.255,isp,JP,AS44477 
92.240.215.0,92.240.215.255,isp,AE,AS9009 
92.240.216.0,92.240.216.255,isp,JP,AS44477 
92.240.217.0,92.240.217.255,isp,US,AS209372 
92.240.218.0,92.240.219.255,business,RU,AS39735 
92.240.220.0,92.240.223.255,isp,RU,AS39735 
92.240.224.0,92.240.227.255,hosting,SK,AS42005 
92.240.228.0,92.240.231.255,isp,SK,AS29405 
92.240.232.0,92.240.233.255,hosting,SK,AS42005 
92.240.234.0,92.240.235.151,isp,SK,AS29405 
92.240.235.152,92.240.235.159,business,SK,AS29405 
92.240.235.160,92.240.235.175,isp,SK,AS29405 
92.240.235.176,92.240.235.207,business,SK,AS29405 
92.240.235.208,92.240.235.223,isp,SK,AS29405 
92.240.235.224,92.240.235.255,business,SK,AS29405 
92.240.236.0,92.240.237.255,isp,SK,AS29405 
92.240.238.0,92.240.240.255,hosting,SK,AS42005 
92.240.241.0,92.240.242.255,isp,SK,AS29405 
92.240.243.0,92.240.243.255,isp,KZ,AS58289 
92.240.244.0,92.240.245.255,isp,SK,AS29405 
92.240.246.0,92.240.247.255,hosting,SK,AS42005 
92.240.248.0,92.240.248.255,business,SK,AS42005 
92.240.249.0,92.240.249.255,isp,SK,AS29405 
92.240.250.0,92.240.250.255,hosting,SK,AS42005 
92.240.251.0,92.240.251.255,hosting,SK,AS58014 
92.240.252.0,92.240.252.255,business,SK,AS42005 
92.240.253.0,92.240.254.255,isp,SK,AS29405 
92.240.255.0,92.240.255.255,business,SK, 
