92.123.0.0,92.123.31.255,hosting,FR 
92.123.32.0,92.123.147.255,hosting,NL 
92.123.148.0,92.123.151.255,hosting,US 
92.123.152.0,92.123.154.255,hosting,NL 
92.123.155.0,92.123.155.255,hosting,SE 
92.123.156.0,92.123.159.255,hosting,US 
92.123.160.0,92.123.171.255,hosting,NL 
92.123.172.0,92.123.179.255,hosting,US 
92.123.180.0,92.123.195.255,hosting,NL 
92.123.196.0,92.123.207.255,hosting,US 
92.123.208.0,92.123.211.255,hosting,IT 
92.123.212.0,92.123.239.255,hosting,NL 
92.123.240.0,92.123.243.255,hosting,US 
92.123.244.0,92.123.251.255,hosting,NL 
92.123.252.0,92.123.255.255,hosting,US 
