212.246.0.0,212.246.96.143,isp,FI,AS719 
212.246.96.144,212.246.96.151,business,FI,AS719 
212.246.96.152,212.246.116.255,isp,FI,AS719 
212.246.117.0,212.246.117.63,business,FI,AS719 
212.246.117.64,212.246.129.255,isp,FI,AS719 
212.246.130.0,212.246.130.63,business,FI,AS719 
212.246.130.64,212.246.143.255,isp,FI,AS719 
212.246.144.0,212.246.144.127,business,FI,AS719 
212.246.144.128,212.246.150.255,isp,FI,AS719 
212.246.151.0,212.246.153.191,business,FI,AS719 
212.246.153.192,212.246.216.255,isp,FI,AS719 
212.246.217.0,212.246.217.255,business,FI,AS719 
212.246.218.0,212.246.221.255,isp,FI,AS719 
212.246.222.0,212.246.222.63,business,FI,AS719 
212.246.222.64,212.246.222.127,isp,FI,AS719 
212.246.222.128,212.246.222.191,business,FI,AS719 
212.246.222.192,212.246.223.127,isp,FI,AS719 
212.246.223.128,212.246.223.255,business,FI,AS719 
212.246.224.0,212.246.226.255,isp,FI,AS719 
212.246.227.0,212.246.227.255,business,FI,AS719 
212.246.228.0,212.246.229.255,isp,FI,AS719 
212.246.230.0,212.246.230.255,business,FI,AS719 
212.246.231.0,212.246.248.175,isp,FI,AS719 
212.246.248.176,212.246.248.191,business,FI,AS719 
212.246.248.192,212.246.249.255,isp,FI,AS719 
212.246.250.0,212.246.250.15,business,FI,AS719 
212.246.250.16,212.246.255.255,isp,FI,AS719 
