212.237.0.0,212.237.63.255,hosting,IT 
212.237.64.0,212.237.95.255,isp,GB 
212.237.96.0,212.237.111.255,business,DK 
212.237.112.0,212.237.127.255,isp,IQ 
212.237.128.0,212.237.143.255,hosting,DK 
212.237.144.0,212.237.151.255,hosting,SE 
212.237.152.0,212.237.159.255,business,JP 
212.237.160.0,212.237.167.255,hosting,DE 
212.237.168.0,212.237.175.255,isp,DE 
212.237.176.0,212.237.183.255,isp,DK 
212.237.184.0,212.237.191.255,isp,RS 
212.237.192.0,212.237.199.255,business,SE 
212.237.200.0,212.237.207.255,isp,SE 
212.237.208.0,212.237.211.255,hosting,CH 
212.237.212.0,212.237.215.255,business,GB 
212.237.216.0,212.237.219.255,hosting,FI 
212.237.220.0,212.237.227.255,isp,GB 
212.237.228.0,212.237.228.255,hosting,DE 
212.237.229.0,212.237.229.255,hosting,CZ 
212.237.230.0,212.237.231.255,hosting,ES 
212.237.232.0,212.237.235.255,hosting,LT 
212.237.236.0,212.237.236.255,business,ES 
212.237.237.0,212.237.239.255,isp,ES 
212.237.240.0,212.237.243.255,business,RS 
212.237.244.0,212.237.247.255,hosting,DE 
212.237.248.0,212.237.249.255,business,DK 
212.237.250.0,212.237.251.255,hosting,DK 
212.237.252.0,212.237.252.255,isp,IT 
212.237.253.0,212.237.253.255,isp,NL 
212.237.254.0,212.237.254.255,isp,DE 
212.237.255.0,212.237.255.255,isp,ES 
