212.8.98.176,212.8.98.183,business,ES,AS12338 
212.8.98.184,212.8.98.195,isp,ES,AS12338 
212.8.98.196,212.8.98.199,business,ES,AS12338 
212.8.98.200,212.8.98.223,isp,ES,AS12338 
212.8.98.224,212.8.98.239,business,ES,AS12338 
212.8.98.240,212.8.98.255,isp,ES,AS12338 
212.8.99.0,212.8.99.255,business,ES,AS12338 
212.8.100.0,212.8.100.47,isp,ES,AS12338 
212.8.100.48,212.8.100.63,business,ES,AS12338 
212.8.100.64,212.8.100.139,isp,ES,AS12338 
212.8.100.140,212.8.100.143,business,ES,AS12338 
212.8.100.144,212.8.100.239,isp,ES,AS12338 
212.8.100.240,212.8.100.243,business,ES,AS12338 
212.8.100.244,212.8.100.247,isp,ES,AS12338 
212.8.100.248,212.8.100.255,business,ES,AS12338 
212.8.101.0,212.8.104.60,isp,ES,AS12338 
212.8.104.61,212.8.104.61,education,ES,AS12338 
212.8.104.62,212.8.104.115,isp,ES,AS12338 
212.8.104.116,212.8.104.123,education,ES,AS12338 
212.8.104.124,212.8.104.131,isp,ES,AS12338 
212.8.104.132,212.8.104.135,business,ES,AS12338 
212.8.104.136,212.8.104.163,isp,ES,AS12338 
212.8.104.164,212.8.104.167,business,ES,AS12338 
212.8.104.168,212.8.104.175,isp,ES,AS12338 
212.8.104.176,212.8.104.179,business,ES,AS12338 
212.8.104.180,212.8.104.191,isp,ES,AS12338 
212.8.104.192,212.8.104.195,education,ES,AS12338 
212.8.104.196,212.8.104.210,isp,ES,AS12338 
212.8.104.211,212.8.104.211,business,ES,AS12338 
212.8.104.212,212.8.104.219,isp,ES,AS12338 
212.8.104.220,212.8.104.220,business,ES,AS12338 
212.8.104.221,212.8.104.223,isp,ES,AS12338 
212.8.104.224,212.8.104.225,business,ES,AS12338 
212.8.104.226,212.8.104.226,isp,ES,AS12338 
212.8.104.227,212.8.104.227,business,ES,AS12338 
212.8.104.228,212.8.104.228,isp,ES,AS12338 
212.8.104.229,212.8.104.231,business,ES,AS12338 
212.8.104.232,212.8.104.232,isp,ES,AS12338 
212.8.104.233,212.8.104.235,business,ES,AS12338 
212.8.104.236,212.8.104.242,isp,ES,AS12338 
212.8.104.243,212.8.104.243,business,ES,AS12338 
212.8.104.244,212.8.104.246,isp,ES,AS12338 
212.8.104.247,212.8.104.247,business,ES,AS12338 
212.8.104.248,212.8.104.249,isp,ES,AS12338 
212.8.104.250,212.8.104.250,business,ES,AS12338 
212.8.104.251,212.8.104.251,isp,ES,AS12338 
212.8.104.252,212.8.104.252,business,ES,AS12338 
212.8.104.253,212.8.105.7,isp,ES,AS12338 
212.8.105.8,212.8.105.15,business,ES,AS12338 
212.8.105.16,212.8.105.23,isp,ES,AS12338 
212.8.105.24,212.8.105.31,business,ES,AS12338 
212.8.105.32,212.8.105.87,isp,ES,AS12338 
212.8.105.88,212.8.105.95,business,ES,AS12338 
212.8.105.96,212.8.105.98,isp,ES,AS12338 
212.8.105.99,212.8.105.100,business,ES,AS12338 
212.8.105.101,212.8.105.105,isp,ES,AS12338 
212.8.105.106,212.8.105.107,business,ES,AS12338 
212.8.105.108,212.8.105.109,isp,ES,AS12338 
212.8.105.110,212.8.105.110,business,ES,AS12338 
212.8.105.111,212.8.105.114,isp,ES,AS12338 
212.8.105.115,212.8.105.115,business,ES,AS12338 
212.8.105.116,212.8.105.116,isp,ES,AS12338 
212.8.105.117,212.8.105.117,business,ES,AS12338 
212.8.105.118,212.8.105.119,isp,ES,AS12338 
212.8.105.120,212.8.105.122,business,ES,AS12338 
212.8.105.123,212.8.105.123,isp,ES,AS12338 
212.8.105.124,212.8.105.124,business,ES,AS12338 
212.8.105.125,212.8.105.127,isp,ES,AS12338 
212.8.105.128,212.8.105.128,business,ES,AS12338 
212.8.105.129,212.8.105.129,isp,ES,AS12338 
212.8.105.130,212.8.105.130,business,ES,AS12338 
212.8.105.131,212.8.105.131,isp,ES,AS12338 
212.8.105.132,212.8.105.132,business,ES,AS12338 
212.8.105.133,212.8.105.135,isp,ES,AS12338 
212.8.105.136,212.8.105.136,business,ES,AS12338 
212.8.105.137,212.8.105.139,isp,ES,AS12338 
212.8.105.140,212.8.105.140,business,ES,AS12338 
212.8.105.141,212.8.105.144,isp,ES,AS12338 
212.8.105.145,212.8.105.145,business,ES,AS12338 
212.8.105.146,212.8.105.149,isp,ES,AS12338 
212.8.105.150,212.8.105.150,business,ES,AS12338 
212.8.105.151,212.8.105.152,isp,ES,AS12338 
212.8.105.153,212.8.105.153,education,ES,AS12338 
212.8.105.154,212.8.105.157,isp,ES,AS12338 
212.8.105.158,212.8.105.158,business,ES,AS12338 
212.8.105.159,212.8.105.159,isp,ES,AS12338 
212.8.105.160,212.8.105.160,business,ES,AS12338 
212.8.105.161,212.8.105.167,isp,ES,AS12338 
212.8.105.168,212.8.105.169,business,ES,AS12338 
212.8.105.170,212.8.106.127,isp,ES,AS12338 
212.8.106.128,212.8.106.159,business,ES,AS12338 
212.8.106.160,212.8.106.191,education,ES,AS12338 
212.8.106.192,212.8.106.224,isp,ES,AS12338 
212.8.106.225,212.8.106.225,business,ES,AS12338 
212.8.106.226,212.8.106.227,isp,ES,AS12338 
212.8.106.228,212.8.106.228,business,ES,AS12338 
212.8.106.229,212.8.106.239,isp,ES,AS12338 
212.8.106.240,212.8.106.240,business,ES,AS12338 
212.8.106.241,212.8.106.243,isp,ES,AS12338 
212.8.106.244,212.8.106.250,business,ES,AS12338 
212.8.106.251,212.8.106.251,isp,ES,AS12338 
212.8.106.252,212.8.106.255,business,ES,AS12338 
212.8.107.0,212.8.107.1,isp,ES,AS12338 
212.8.107.2,212.8.107.5,business,ES,AS12338 
212.8.107.6,212.8.107.8,isp,ES,AS12338 
212.8.107.9,212.8.107.11,business,ES,AS12338 
212.8.107.12,212.8.107.12,isp,ES,AS12338 
212.8.107.13,212.8.107.13,business,ES,AS12338 
212.8.107.14,212.8.107.14,isp,ES,AS12338 
212.8.107.15,212.8.107.15,business,ES,AS12338 
212.8.107.16,212.8.107.16,isp,ES,AS12338 
212.8.107.17,212.8.107.21,business,ES,AS12338 
212.8.107.22,212.8.107.22,isp,ES,AS12338 
212.8.107.23,212.8.107.23,business,ES,AS12338 
212.8.107.24,212.8.107.24,isp,ES,AS12338 
212.8.107.25,212.8.107.27,business,ES,AS12338 
212.8.107.28,212.8.107.31,isp,ES,AS12338 
212.8.107.32,212.8.107.35,business,ES,AS12338 
212.8.107.36,212.8.107.43,isp,ES,AS12338 
212.8.107.44,212.8.107.47,business,ES,AS12338 
212.8.107.48,212.8.107.124,isp,ES,AS12338 
212.8.107.125,212.8.107.125,business,ES,AS12338 
212.8.107.126,212.8.107.128,isp,ES,AS12338 
212.8.107.129,212.8.107.129,business,ES,AS12338 
212.8.107.130,212.8.107.137,isp,ES,AS12338 
212.8.107.138,212.8.107.138,business,ES,AS12338 
212.8.107.139,212.8.107.148,isp,ES,AS12338 
212.8.107.149,212.8.107.149,business,ES,AS12338 
212.8.107.150,212.8.107.182,isp,ES,AS12338 
212.8.107.183,212.8.107.183,business,ES,AS12338 
212.8.107.184,212.8.107.223,isp,ES,AS12338 
212.8.107.224,212.8.107.231,business,ES,AS12338 
212.8.107.232,212.8.107.237,isp,ES,AS12338 
212.8.107.238,212.8.107.238,business,ES,AS12338 
212.8.107.239,212.8.107.241,isp,ES,AS12338 
212.8.107.242,212.8.107.242,business,ES,AS12338 
212.8.107.243,212.8.107.243,isp,ES,AS12338 
