212.120.0.0,212.120.31.255,business,MK 
212.120.32.0,212.120.63.255,hosting,CH 
212.120.64.0,212.120.127.255,isp,NL 
212.120.128.0,212.120.136.31,isp,IE 
212.120.136.32,212.120.136.63,isp,GB 
212.120.136.64,212.120.136.71,business,IE 
212.120.136.72,212.120.136.75,isp,IE 
212.120.136.76,212.120.136.95,business,IE 
212.120.136.96,212.120.136.175,isp,IE 
212.120.136.176,212.120.136.191,isp,GB 
212.120.136.192,212.120.136.255,business,IE 
212.120.137.0,212.120.137.127,isp,IE 
212.120.137.128,212.120.137.143,business,IE 
212.120.137.144,212.120.137.191,isp,IE 
212.120.137.192,212.120.137.223,business,IE 
212.120.137.224,212.120.137.255,business,GB 
212.120.138.0,212.120.139.255,business,IE 
212.120.140.0,212.120.140.7,isp,IE 
212.120.140.8,212.120.140.15,business,IE 
212.120.140.16,212.120.140.63,isp,IE 
212.120.140.64,212.120.140.127,business,IE 
212.120.140.128,212.120.140.255,isp,IE 
212.120.141.0,212.120.141.15,business,IE 
212.120.141.16,212.120.141.31,isp,IE 
212.120.141.32,212.120.141.47,business,IE 
212.120.141.48,212.120.141.51,isp,IE 
212.120.141.52,212.120.141.95,business,IE 
212.120.141.96,212.120.141.127,isp,IE 
212.120.141.128,212.120.141.255,business,IE 
212.120.142.0,212.120.142.63,isp,IE 
212.120.142.64,212.120.142.71,business,IE 
212.120.142.72,212.120.142.127,isp,IE 
212.120.142.128,212.120.142.143,business,IE 
212.120.142.144,212.120.142.151,isp,IE 
212.120.142.152,212.120.142.171,business,IE 
212.120.142.172,212.120.142.191,isp,IE 
212.120.142.192,212.120.142.207,business,IE 
212.120.142.208,212.120.142.255,isp,IE 
212.120.143.0,212.120.143.255,business,IE 
212.120.144.0,212.120.146.63,isp,IE 
212.120.146.64,212.120.146.87,business,IE 
212.120.146.88,212.120.146.89,isp,GB 
212.120.146.90,212.120.146.91,isp,IE 
212.120.146.92,212.120.146.95,isp,GB 
212.120.146.96,212.120.146.103,isp,IE 
212.120.146.104,212.120.146.111,business,IR 
212.120.146.112,212.120.146.127,business,IE 
212.120.146.128,212.120.146.135,business,IR 
212.120.146.136,212.120.146.143,isp,IE 
212.120.146.144,212.120.146.239,business,IE 
212.120.146.240,212.120.146.255,isp,IE 
212.120.147.0,212.120.150.15,business,IE 
212.120.150.16,212.120.150.39,isp,IE 
212.120.150.40,212.120.150.63,business,IE 
212.120.150.64,212.120.150.255,isp,IE 
212.120.151.0,212.120.151.255,business,IE 
212.120.152.0,212.120.152.31,business,GB 
212.120.152.32,212.120.152.35,business,IE 
212.120.152.36,212.120.152.47,isp,IE 
212.120.152.48,212.120.152.87,business,IE 
212.120.152.88,212.120.152.111,isp,IE 
212.120.152.112,212.120.152.127,isp,GB 
212.120.152.128,212.120.152.191,business,GB 
212.120.152.192,212.120.153.255,isp,IE 
212.120.154.0,212.120.154.127,business,GB 
212.120.154.128,212.120.154.255,isp,IE 
212.120.155.0,212.120.155.15,isp,GB 
212.120.155.16,212.120.155.255,isp,IE 
212.120.156.0,212.120.157.127,business,GB 
212.120.157.128,212.120.159.255,isp,IE 
212.120.160.0,212.120.162.23,business,RU 
212.120.162.24,212.120.162.31,isp,RU 
212.120.162.32,212.120.162.167,business,RU 
212.120.162.168,212.120.162.175,isp,RU 
212.120.162.176,212.120.162.183,business,RU 
212.120.162.184,212.120.162.191,education,RU 
212.120.162.192,212.120.162.207,isp,RU 
212.120.162.208,212.120.162.247,business,RU 
212.120.162.248,212.120.162.255,isp,RU 
212.120.163.0,212.120.164.23,business,RU 
212.120.164.24,212.120.164.39,isp,RU 
212.120.164.40,212.120.164.47,education,RU 
212.120.164.48,212.120.164.63,isp,RU 
212.120.164.64,212.120.164.159,business,RU 
212.120.164.160,212.120.164.167,isp,RU 
212.120.164.168,212.120.164.215,business,RU 
212.120.164.216,212.120.164.223,isp,RU 
212.120.164.224,212.120.164.231,business,RU 
212.120.164.232,212.120.164.247,isp,RU 
212.120.164.248,212.120.164.255,business,RU 
212.120.165.0,212.120.165.15,education,RU 
212.120.165.16,212.120.165.23,business,RU 
212.120.165.24,212.120.165.31,isp,RU 
212.120.165.32,212.120.165.39,business,RU 
212.120.165.40,212.120.165.47,education,RU 
212.120.165.48,212.120.165.55,business,RU 
212.120.165.56,212.120.165.63,isp,RU 
212.120.165.64,212.120.165.111,business,RU 
212.120.165.112,212.120.165.127,isp,RU 
212.120.165.128,212.120.165.151,business,RU 
212.120.165.152,212.120.165.159,isp,RU 
212.120.165.160,212.120.165.167,business,RU 
212.120.165.168,212.120.165.175,isp,RU 
212.120.165.176,212.120.165.231,business,RU 
212.120.165.232,212.120.165.239,isp,RU 
212.120.165.240,212.120.166.47,business,RU 
212.120.166.48,212.120.166.55,isp,RU 
212.120.166.56,212.120.166.63,business,RU 
212.120.166.64,212.120.166.71,isp,RU 
212.120.166.72,212.120.166.95,business,RU 
212.120.166.96,212.120.166.111,isp,RU 
212.120.166.112,212.120.166.167,business,RU 
212.120.166.168,212.120.166.183,isp,RU 
212.120.166.184,212.120.168.183,business,RU 
212.120.168.184,212.120.168.191,isp,RU 
212.120.168.192,212.120.168.231,business,RU 
212.120.168.232,212.120.168.239,isp,RU 
212.120.168.240,212.120.169.47,business,RU 
212.120.169.48,212.120.169.55,isp,RU 
212.120.169.56,212.120.173.255,business,RU 
212.120.174.0,212.120.174.7,isp,RU 
212.120.174.8,212.120.174.23,business,RU 
212.120.174.24,212.120.174.39,isp,RU 
212.120.174.40,212.120.174.55,business,RU 
212.120.174.56,212.120.174.63,isp,RU 
212.120.174.64,212.120.174.87,business,RU 
212.120.174.88,212.120.174.95,isp,RU 
212.120.174.96,212.120.174.111,business,RU 
212.120.174.112,212.120.174.119,isp,RU 
212.120.174.120,212.120.174.191,business,RU 
212.120.174.192,212.120.174.199,isp,RU 
212.120.174.200,212.120.174.247,business,RU 
212.120.174.248,212.120.174.255,isp,RU 
212.120.175.0,212.120.175.127,business,RU 
212.120.175.128,212.120.175.255,isp,RU 
212.120.176.0,212.120.182.31,business,RU 
212.120.182.32,212.120.182.55,isp,RU 
212.120.182.56,212.120.182.127,business,RU 
212.120.182.128,212.120.182.135,isp,RU 
212.120.182.136,212.120.182.199,business,RU 
212.120.182.200,212.120.182.207,isp,RU 
212.120.182.208,212.120.182.211,business,RU 
212.120.182.212,212.120.182.215,isp,RU 
212.120.182.216,212.120.183.119,business,RU 
212.120.183.120,212.120.183.127,isp,RU 
212.120.183.128,212.120.183.159,business,RU 
212.120.183.160,212.120.183.167,education,RU 
212.120.183.168,212.120.183.183,business,RU 
212.120.183.184,212.120.183.199,isp,RU 
212.120.183.200,212.120.184.47,business,RU 
212.120.184.48,212.120.184.55,isp,RU 
212.120.184.56,212.120.184.63,business,RU 
212.120.184.64,212.120.184.71,isp,RU 
212.120.184.72,212.120.184.223,business,RU 
212.120.184.224,212.120.184.231,isp,RU 
212.120.184.232,212.120.184.247,business,RU 
212.120.184.248,212.120.184.255,isp,RU 
212.120.185.0,212.120.187.31,business,RU 
212.120.187.32,212.120.187.35,isp,RU 
212.120.187.36,212.120.187.71,business,RU 
212.120.187.72,212.120.187.75,isp,RU 
212.120.187.76,212.120.187.143,business,RU 
212.120.187.144,212.120.187.151,isp,RU 
212.120.187.152,212.120.187.171,business,RU 
212.120.187.172,212.120.187.175,isp,RU 
212.120.187.176,212.120.187.239,business,RU 
212.120.187.240,212.120.187.247,education,RU 
212.120.187.248,212.120.188.79,business,RU 
212.120.188.80,212.120.188.87,isp,RU 
212.120.188.88,212.120.188.143,business,RU 
212.120.188.144,212.120.188.151,isp,RU 
212.120.188.152,212.120.188.159,business,RU 
212.120.188.160,212.120.188.167,education,RU 
212.120.188.168,212.120.188.247,business,RU 
212.120.188.248,212.120.188.255,isp,RU 
212.120.189.0,212.120.189.103,business,RU 
212.120.189.104,212.120.189.111,education,RU 
212.120.189.112,212.120.189.127,business,RU 
212.120.189.128,212.120.189.135,isp,RU 
212.120.189.136,212.120.189.175,business,RU 
212.120.189.176,212.120.189.183,isp,RU 
212.120.189.184,212.120.189.207,business,RU 
212.120.189.208,212.120.189.215,isp,RU 
212.120.189.216,212.120.190.111,business,RU 
