212.142.0.0,212.142.16.255,isp,NL,AS6830 
212.142.148.84,212.142.148.84,business,ES,AS12338 
212.142.148.85,212.142.148.94,isp,ES,AS12338 
212.142.148.95,212.142.148.96,business,ES,AS12338 
212.142.148.97,212.142.148.99,isp,ES,AS12338 
212.142.148.100,212.142.148.100,business,ES,AS12338 
212.142.148.101,212.142.148.107,isp,ES,AS12338 
212.142.148.108,212.142.148.108,business,ES,AS12338 
212.142.148.109,212.142.148.110,isp,ES,AS12338 
212.142.148.111,212.142.148.111,business,ES,AS12338 
212.142.148.112,212.142.148.119,isp,ES,AS12338 
212.142.148.120,212.142.148.120,business,ES,AS12338 
212.142.148.121,212.142.148.128,isp,ES,AS12338 
212.142.148.129,212.142.148.129,business,ES,AS12338 
212.142.148.130,212.142.148.146,isp,ES,AS12338 
212.142.148.147,212.142.148.147,business,ES,AS12338 
212.142.148.148,212.142.148.148,isp,ES,AS12338 
212.142.148.149,212.142.148.149,business,ES,AS12338 
212.142.148.150,212.142.148.167,isp,ES,AS12338 
212.142.148.168,212.142.148.169,business,ES,AS12338 
212.142.148.170,212.142.148.175,isp,ES,AS12338 
212.142.148.176,212.142.148.179,business,ES,AS12338 
212.142.148.180,212.142.148.180,isp,ES,AS12338 
212.142.148.181,212.142.148.181,education,ES,AS12338 
212.142.148.182,212.142.148.192,isp,ES,AS12338 
212.142.148.193,212.142.148.193,business,ES,AS12338 
212.142.148.194,212.142.148.210,isp,ES,AS12338 
212.142.148.211,212.142.148.211,business,ES,AS12338 
212.142.148.212,212.142.148.232,isp,ES,AS12338 
212.142.148.233,212.142.148.233,business,ES,AS12338 
212.142.148.234,212.142.148.246,isp,ES,AS12338 
212.142.148.247,212.142.148.247,business,ES,AS12338 
212.142.148.248,212.142.154.66,isp,ES,AS12338 
212.142.154.67,212.142.154.67,business,ES,AS12338 
212.142.154.68,212.142.154.69,isp,ES,AS12338 
212.142.154.70,212.142.154.73,business,ES,AS12338 
212.142.154.74,212.142.154.75,isp,ES,AS12338 
212.142.154.76,212.142.154.76,business,ES,AS12338 
212.142.154.77,212.142.154.99,isp,ES,AS12338 
212.142.154.100,212.142.154.107,business,ES,AS12338 
212.142.154.108,212.142.154.111,isp,ES,AS12338 
212.142.154.112,212.142.154.115,business,ES,AS12338 
212.142.154.116,212.142.154.116,isp,ES,AS12338 
212.142.154.117,212.142.154.119,business,ES,AS12338 
212.142.154.120,212.142.154.159,isp,ES,AS12338 
212.142.154.160,212.142.154.160,business,ES,AS12338 
212.142.154.161,212.142.154.177,isp,ES,AS12338 
212.142.154.178,212.142.154.180,business,ES,AS12338 
212.142.154.181,212.142.154.181,isp,ES,AS12338 
212.142.154.182,212.142.154.182,business,ES,AS12338 
212.142.154.183,212.142.154.191,isp,ES,AS12338 
212.142.154.192,212.142.154.192,business,ES,AS12338 
212.142.154.193,212.142.154.194,isp,ES,AS12338 
212.142.154.195,212.142.154.195,business,ES,AS12338 
212.142.154.196,212.142.154.197,isp,ES,AS12338 
212.142.154.198,212.142.154.200,business,ES,AS12338 
212.142.154.201,212.142.154.202,isp,ES,AS12338 
212.142.154.203,212.142.154.203,business,ES,AS12338 
212.142.154.204,212.142.154.206,isp,ES,AS12338 
212.142.154.207,212.142.154.207,business,ES,AS12338 
212.142.154.208,212.142.154.213,isp,ES,AS12338 
212.142.154.214,212.142.154.215,business,ES,AS12338 
212.142.154.216,212.142.154.224,isp,ES,AS12338 
212.142.154.225,212.142.154.225,business,ES,AS12338 
212.142.154.226,212.142.154.235,isp,ES,AS12338 
212.142.154.236,212.142.154.236,business,ES,AS12338 
212.142.154.237,212.142.154.241,isp,ES,AS12338 
212.142.154.242,212.142.154.242,business,ES,AS12338 
212.142.154.243,212.142.154.248,isp,ES,AS12338 
212.142.154.249,212.142.154.249,business,ES,AS12338 
212.142.154.250,212.142.154.251,isp,ES,AS12338 
212.142.154.252,212.142.154.253,education,ES,AS12338 
212.142.154.254,212.142.155.1,isp,ES,AS12338 
212.142.155.2,212.142.155.2,business,ES,AS12338 
212.142.155.3,212.142.155.11,isp,ES,AS12338 
212.142.155.12,212.142.155.12,business,ES,AS12338 
212.142.155.13,212.142.155.16,isp,ES,AS12338 
212.142.155.17,212.142.155.17,business,ES,AS12338 
212.142.155.18,212.142.155.19,isp,ES,AS12338 
212.142.155.20,212.142.155.20,business,ES,AS12338 
212.142.155.21,212.142.155.21,isp,ES,AS12338 
212.142.155.22,212.142.155.22,business,ES,AS12338 
212.142.155.23,212.142.155.37,isp,ES,AS12338 
212.142.155.38,212.142.155.38,business,ES,AS12338 
212.142.155.39,212.142.155.42,isp,ES,AS12338 
212.142.155.43,212.142.155.43,business,ES,AS12338 
212.142.155.44,212.142.155.46,isp,ES,AS12338 
212.142.155.47,212.142.155.48,business,ES,AS12338 
212.142.155.49,212.142.155.53,isp,ES,AS12338 
212.142.155.54,212.142.155.54,business,ES,AS12338 
212.142.155.55,212.142.155.103,isp,ES,AS12338 
212.142.155.104,212.142.155.105,business,ES,AS12338 
212.142.155.106,212.142.155.110,isp,ES,AS12338 
212.142.155.111,212.142.155.113,business,ES,AS12338 
212.142.155.114,212.142.155.119,isp,ES,AS12338 
212.142.155.120,212.142.155.120,business,ES,AS12338 
212.142.155.121,212.142.155.124,isp,ES,AS12338 
212.142.155.125,212.142.155.125,business,ES,AS12338 
212.142.155.126,212.142.155.143,isp,ES,AS12338 
212.142.155.144,212.142.155.144,business,ES,AS12338 
212.142.155.145,212.142.155.148,isp,ES,AS12338 
212.142.155.149,212.142.155.149,business,ES,AS12338 
212.142.155.150,212.142.155.171,isp,ES,AS12338 
212.142.155.172,212.142.155.172,business,ES,AS12338 
212.142.155.173,212.142.155.181,isp,ES,AS12338 
212.142.155.182,212.142.155.183,business,ES,AS12338 
212.142.155.184,212.142.155.207,isp,ES,AS12338 
212.142.155.208,212.142.155.208,business,ES,AS12338 
212.142.155.209,212.142.159.227,isp,ES,AS12338 
212.142.159.228,212.142.159.228,business,ES,AS12338 
212.142.159.229,212.142.159.229,isp,ES,AS12338 
212.142.159.230,212.142.159.230,business,ES,AS12338 
212.142.159.231,212.142.159.232,isp,ES,AS12338 
212.142.159.233,212.142.159.233,business,ES,AS12338 
