212.121.0.0,212.121.31.255,education,GB 
212.121.149.144,212.121.149.151,business,DE 
212.121.149.152,212.121.149.207,isp,DE 
212.121.149.208,212.121.149.239,business,DE 
212.121.149.240,212.121.152.15,isp,DE 
212.121.152.16,212.121.152.79,business,DE 
212.121.152.80,212.121.152.95,business,FR 
212.121.152.96,212.121.152.103,business,DE 
212.121.152.104,212.121.152.111,isp,DE 
212.121.152.112,212.121.152.127,business,DE 
212.121.152.128,212.121.152.255,isp,DE 
212.121.153.0,212.121.153.255,business,DE 
212.121.154.0,212.121.155.15,isp,DE 
212.121.155.16,212.121.155.31,business,DE 
212.121.155.32,212.121.155.55,isp,DE 
212.121.155.56,212.121.155.63,business,DE 
212.121.155.64,212.121.155.79,isp,DE 
212.121.155.80,212.121.155.87,business,DE 
212.121.155.88,212.121.155.103,isp,DE 
212.121.155.104,212.121.155.111,business,DE 
212.121.155.112,212.121.155.127,isp,DE 
212.121.155.128,212.121.155.136,business,DE 
212.121.155.137,212.121.155.139,isp,DE 
212.121.155.140,212.121.155.175,business,DE 
212.121.155.176,212.121.155.183,isp,DE 
212.121.155.184,212.121.155.191,business,DE 
212.121.155.192,212.121.155.199,isp,DE 
212.121.155.200,212.121.155.207,business,DE 
212.121.155.208,212.121.155.215,isp,DE 
212.121.155.216,212.121.155.223,business,DE 
212.121.155.224,212.121.156.223,isp,DE 
212.121.156.224,212.121.156.227,business,DE 
212.121.156.228,212.121.156.255,isp,DE 
212.121.157.0,212.121.158.255,business,DE 
212.121.159.0,212.121.159.31,isp,DE 
212.121.159.32,212.121.159.55,business,DE 
212.121.159.56,212.121.159.95,isp,DE 
212.121.159.96,212.121.159.103,business,DE 
212.121.159.104,212.121.159.111,isp,DE 
212.121.159.112,212.121.159.159,business,DE 
212.121.159.160,212.121.159.167,isp,DE 
212.121.159.168,212.121.159.175,business,DE 
212.121.159.176,212.121.159.191,isp,DE 
212.121.159.192,212.121.159.231,business,DE 
212.121.159.232,212.121.159.239,isp,DE 
212.121.159.240,212.121.159.247,business,DE 
212.121.159.248,212.121.159.255,isp,DE 
212.121.160.0,212.121.174.255,business,FR 
212.121.175.0,212.121.175.255,hosting,FR 
212.121.176.0,212.121.177.255,business,FR 
212.121.178.0,212.121.178.255,isp,FR 
212.121.179.0,212.121.191.255,business,FR 
212.121.192.0,212.121.197.255,education,GB 
212.121.198.0,212.121.198.255,business,GB 
212.121.199.0,212.121.199.255,education,GB 
212.121.200.0,212.121.200.255,business,GB 
212.121.201.0,212.121.201.255,education,GB 
212.121.202.0,212.121.202.255,business,GB 
212.121.203.0,212.121.209.255,education,GB 
212.121.210.0,212.121.210.255,business,GB 
212.121.211.0,212.121.211.255,education,GB 
212.121.212.0,212.121.212.255,business,GB 
212.121.213.0,212.121.213.255,education,GB 
212.121.214.0,212.121.214.255,business,GB 
212.121.215.0,212.121.218.255,education,GB 
212.121.219.0,212.121.221.255,business,GB 
212.121.222.0,212.121.223.255,education,GB 
212.121.224.0,212.121.255.255,isp,ES 
