212.100.0.0,212.100.24.255,business,GB,AS9011 
212.100.25.0,212.100.31.255,government,GB,AS9011 
212.100.32.0,212.100.39.255,hosting,DE,AS12466 
212.100.40.0,212.100.63.255,isp,DE,AS198967 
212.100.64.0,212.100.95.255,business,NG,AS20598 
212.100.96.0,212.100.127.255,isp,SE,AS50821 
212.100.128.0,212.100.159.255,isp,RU,AS8732 
212.100.160.0,212.100.160.159,business,BE,AS3257 
212.100.160.160,212.100.160.255,isp,BE,AS3257 
212.100.161.0,212.100.164.255,business,BE,AS3257 
212.100.165.0,212.100.165.31,isp,BE,AS3257 
212.100.165.32,212.100.165.47,business,BE,AS3257 
212.100.165.48,212.100.165.95,isp,BE,AS3257 
212.100.165.96,212.100.165.111,business,BE,AS3257 
212.100.165.112,212.100.165.255,isp,BE,AS3257 
212.100.166.0,212.100.166.127,business,BE,AS3257 
212.100.166.128,212.100.167.71,isp,BE,AS3257 
212.100.167.72,212.100.167.75,business,BE,AS3257 
212.100.167.76,212.100.167.255,isp,BE,AS3257 
212.100.168.0,212.100.183.255,business,BE,AS3257 
212.100.184.0,212.100.184.127,isp,BE,AS3257 
212.100.184.128,212.100.184.135,business,BE,AS3257 
212.100.184.136,212.100.184.139,isp,BE,AS3257 
212.100.184.140,212.100.184.143,business,BE,AS3257 
212.100.184.144,212.100.184.159,isp,BE,AS3257 
212.100.184.160,212.100.184.191,business,BE,AS3257 
212.100.184.192,212.100.184.239,isp,BE,AS3257 
212.100.184.240,212.100.184.247,business,BE,AS3257 
212.100.184.248,212.100.185.255,isp,BE,AS3257 
212.100.186.0,212.100.187.255,business,BE,AS3257 
212.100.188.0,212.100.188.7,isp,BE,AS3257 
212.100.188.8,212.100.188.11,education,BE,AS3257 
212.100.188.12,212.100.188.15,business,BE,AS3257 
212.100.188.16,212.100.188.23,isp,BE,AS3257 
212.100.188.24,212.100.188.31,education,BE,AS3257 
212.100.188.32,212.100.188.35,business,BE,AS3257 
212.100.188.36,212.100.188.39,isp,BE,AS3257 
212.100.188.40,212.100.188.63,business,BE,AS3257 
212.100.188.64,212.100.188.103,isp,BE,AS3257 
212.100.188.104,212.100.188.111,business,BE,AS3257 
212.100.188.112,212.100.188.119,isp,BE,AS3257 
212.100.188.120,212.100.188.127,business,BE,AS3257 
212.100.188.128,212.100.188.143,isp,BE,AS3257 
212.100.188.144,212.100.188.159,business,BE,AS3257 
