212.152.32.0,212.152.54.255,business,RU 
212.152.55.0,212.152.57.255,isp,RU 
212.152.58.0,212.152.59.255,business,RU 
212.152.60.0,212.152.63.255,isp,RU 
212.152.64.0,212.152.127.255,isp,GR 
212.152.128.0,212.152.152.255,isp,AT 
212.152.153.0,212.152.153.7,business,AT 
212.152.153.8,212.152.153.23,isp,AT 
212.152.153.24,212.152.153.31,business,AT 
212.152.153.32,212.152.153.39,isp,AT 
212.152.153.40,212.152.153.47,business,AT 
212.152.153.48,212.152.153.55,isp,AT 
212.152.153.56,212.152.153.71,business,AT 
212.152.153.72,212.152.153.79,isp,AT 
212.152.153.80,212.152.153.95,business,AT 
212.152.153.96,212.152.153.207,isp,AT 
212.152.153.208,212.152.153.231,business,AT 
212.152.153.232,212.152.153.239,isp,AT 
212.152.153.240,212.152.153.255,business,AT 
212.152.154.0,212.152.154.127,isp,AT 
212.152.154.128,212.152.154.135,business,AT 
212.152.154.136,212.152.154.143,isp,AT 
212.152.154.144,212.152.154.159,business,AT 
212.152.154.160,212.152.154.167,isp,AT 
212.152.154.168,212.152.154.175,business,AT 
212.152.154.176,212.152.154.223,isp,AT 
212.152.154.224,212.152.154.231,business,AT 
212.152.154.232,212.152.154.255,isp,AT 
212.152.155.0,212.152.155.255,business,AT 
212.152.156.0,212.152.156.95,isp,AT 
212.152.156.96,212.152.156.151,business,AT 
212.152.156.152,212.152.156.159,isp,AT 
212.152.156.160,212.152.156.183,business,AT 
212.152.156.184,212.152.156.199,isp,AT 
212.152.156.200,212.152.156.207,business,AT 
212.152.156.208,212.152.156.215,isp,AT 
212.152.156.216,212.152.156.223,business,AT 
212.152.156.224,212.152.157.31,isp,AT 
212.152.157.32,212.152.157.63,business,AT 
212.152.157.64,212.152.157.79,isp,AT 
212.152.157.80,212.152.157.95,business,AT 
212.152.157.96,212.152.157.135,isp,AT 
212.152.157.136,212.152.157.143,business,AT 
212.152.157.144,212.152.157.167,isp,AT 
212.152.157.168,212.152.157.175,business,AT 
