212.166.0.0,212.166.63.255,hosting,BE 
212.166.64.0,212.166.95.255,isp,ES 
212.166.96.0,212.166.99.35,business,AT 
212.166.99.36,212.166.99.37,business,DE 
212.166.99.38,212.166.99.59,business,AT 
212.166.99.60,212.166.99.63,business,DE 
212.166.99.64,212.166.127.255,business,AT 
212.166.128.0,212.166.179.207,isp,ES 
212.166.179.208,212.166.179.219,business,ES 
212.166.179.220,212.166.180.23,isp,ES 
212.166.180.24,212.166.180.31,business,ES 
212.166.180.32,212.166.180.79,isp,ES 
212.166.180.80,212.166.180.87,business,ES 
212.166.180.88,212.166.180.119,isp,ES 
212.166.180.120,212.166.180.127,business,ES 
212.166.180.128,212.166.192.63,isp,ES 
212.166.192.64,212.166.192.71,business,ES 
212.166.192.72,212.166.195.7,isp,ES 
212.166.195.8,212.166.195.15,business,ES 
212.166.195.16,212.166.255.255,isp,ES 
