212.123.0.0,212.123.31.255,isp,BE,AS6848 
212.123.32.0,212.123.45.255,business,DE,AS12915 
212.123.46.0,212.123.47.255,business,CA,AS16509 
212.123.48.0,212.123.63.255,business,DE,AS12915 
212.123.64.0,212.123.94.255,isp,IT,AS8612 
212.123.95.0,212.123.95.255,business,IT,AS8612 
212.123.96.0,212.123.96.255,business,DE,AS15598 
212.123.97.0,212.123.97.87,hosting,DE,AS15598 
212.123.97.88,212.123.97.95,business,DE,AS15598 
212.123.97.96,212.123.97.255,hosting,DE,AS15598 
212.123.98.0,212.123.101.255,business,DE,AS15598 
212.123.102.0,212.123.102.255,hosting,DE,AS15598 
212.123.103.0,212.123.103.255,business,DE,AS15598 
212.123.104.0,212.123.104.255,hosting,DE,AS15598 
212.123.105.0,212.123.105.15,business,DE,AS15598 
212.123.105.16,212.123.105.111,hosting,DE,AS15598 
212.123.105.112,212.123.105.127,business,DE,AS15598 
212.123.105.128,212.123.105.143,hosting,DE,AS15598 
212.123.105.144,212.123.105.159,business,DE,AS15598 
212.123.105.160,212.123.108.31,hosting,DE,AS15598 
212.123.108.32,212.123.108.255,business,DE,AS15598 
212.123.109.0,212.123.111.39,hosting,DE,AS15598 
212.123.111.40,212.123.111.43,business,DE,AS15598 
212.123.111.44,212.123.111.151,hosting,DE,AS15598 
212.123.111.152,212.123.111.171,business,DE,AS15598 
212.123.111.172,212.123.111.183,hosting,DE,AS15598 
212.123.111.184,212.123.111.207,business,DE,AS15598 
212.123.111.208,212.123.111.227,hosting,DE,AS15598 
212.123.111.228,212.123.111.235,business,DE,AS15598 
212.123.111.236,212.123.111.239,hosting,DE,AS15598 
212.123.111.240,212.123.111.243,business,DE,AS15598 
212.123.111.244,212.123.111.255,hosting,DE,AS15598 
212.123.112.0,212.123.112.255,business,DE,AS15598 
212.123.113.0,212.123.121.255,hosting,DE,AS15598 
212.123.122.0,212.123.124.7,business,DE,AS15598 
212.123.124.8,212.123.126.255,hosting,DE,AS15598 
212.123.127.0,212.123.127.255,business,DE,AS15598 
212.123.128.0,212.123.191.255,isp,NL,AS1136 
212.123.192.0,212.123.192.63,business,NL,AS8220 
212.123.192.64,212.123.192.147,isp,NL,AS8220 
212.123.192.148,212.123.192.151,business,NL,AS8220 
212.123.192.152,212.123.192.255,isp,NL,AS8220 
212.123.193.0,212.123.193.15,business,NL,AS8220 
212.123.193.16,212.123.193.47,isp,NL,AS8220 
212.123.193.48,212.123.193.55,business,NL,AS8220 
212.123.193.56,212.123.193.159,isp,NL,AS8220 
212.123.193.160,212.123.193.191,business,NL,AS8220 
212.123.193.192,212.123.193.223,isp,NL,AS8220 
212.123.193.224,212.123.193.239,business,NL,AS8220 
212.123.193.240,212.123.193.247,isp,NL,AS8220 
212.123.193.248,212.123.193.255,business,NL,AS8220 
212.123.194.0,212.123.194.135,isp,NL,AS8220 
212.123.194.136,212.123.194.139,education,NL,AS8220 
212.123.194.140,212.123.195.255,isp,NL,AS8220 
212.123.196.0,212.123.196.15,business,NL,AS8220 
212.123.196.16,212.123.196.23,business,GB,AS8220 
212.123.196.24,212.123.196.31,business,NL,AS8220 
212.123.196.32,212.123.196.63,isp,NL,AS8220 
212.123.196.64,212.123.196.95,business,NL,AS8220 
212.123.196.96,212.123.196.111,isp,NL,AS8220 
212.123.196.112,212.123.196.127,business,GB,AS8220 
212.123.196.128,212.123.196.151,business,NL,AS8220 
212.123.196.152,212.123.196.159,isp,NL,AS8220 
212.123.196.160,212.123.196.183,business,NL,AS8220 
212.123.196.184,212.123.196.191,isp,NL,AS8220 
212.123.196.192,212.123.196.199,business,NL,AS8220 
212.123.196.200,212.123.196.207,isp,NL,AS8220 
212.123.196.208,212.123.196.215,business,NL,AS8220 
212.123.196.216,212.123.196.223,isp,NL,AS8220 
212.123.196.224,212.123.196.231,business,NL,AS8220 
212.123.196.232,212.123.196.255,isp,NL,AS8220 
212.123.197.0,212.123.197.7,business,NL,AS8220 
212.123.197.8,212.123.197.15,isp,GB,AS8220 
212.123.197.16,212.123.197.23,business,GB,AS8220 
212.123.197.24,212.123.197.31,isp,GB,AS8220 
212.123.197.32,212.123.197.47,isp,NL,AS8220 
212.123.197.48,212.123.197.51,isp,FR,AS8220 
212.123.197.52,212.123.197.57,isp,GB,AS8220 
212.123.197.58,212.123.197.255,isp,NL,AS8220 
212.123.198.0,212.123.198.31,business,NL,AS8220 
212.123.198.32,212.123.198.47,isp,NL,AS8220 
212.123.198.48,212.123.198.55,business,NL,AS8220 
212.123.198.56,212.123.198.63,isp,NL,AS8220 
212.123.198.64,212.123.198.127,business,NL,AS8220 
212.123.198.128,212.123.198.255,isp,NL,AS8220 
212.123.199.0,212.123.199.15,education,NL,AS8220 
212.123.199.16,212.123.199.47,isp,NL,AS8220 
212.123.199.48,212.123.199.55,business,NL,AS8220 
212.123.199.56,212.123.199.87,isp,NL,AS8220 
