212.114.0.0,212.114.15.255,education,FR,AS50583 
212.114.16.0,212.114.31.255,hosting,FR,AS199636 
212.114.32.0,212.114.39.255,hosting,DE,AS12843 
212.114.40.0,212.114.51.255,isp,DE,AS12843 
212.114.52.0,212.114.52.255,business,DE,AS30823 
212.114.53.0,212.114.63.255,isp,DE,AS12843 
212.114.64.0,212.114.65.255,hosting,DE,AS8859 
212.114.66.0,212.114.67.31,business,DE,AS8859 
212.114.67.32,212.114.67.63,hosting,DE,AS8859 
212.114.67.64,212.114.67.79,business,DE,AS8859 
212.114.67.80,212.114.67.95,hosting,DE,AS8859 
212.114.67.96,212.114.67.127,business,DE,AS8859 
212.114.67.128,212.114.68.63,hosting,DE,AS8859 
212.114.68.64,212.114.68.127,business,DE,AS8859 
212.114.68.128,212.114.70.199,hosting,DE,AS8859 
212.114.70.200,212.114.70.207,business,DE,AS8859 
212.114.70.208,212.114.71.255,hosting,DE,AS8859 
212.114.72.0,212.114.72.255,business,DE,AS8859 
212.114.73.0,212.114.80.255,hosting,DE,AS8859 
212.114.81.0,212.114.81.255,business,DE,AS8859 
212.114.82.0,212.114.85.7,hosting,DE,AS8859 
212.114.85.8,212.114.85.15,business,DE,AS8859 
212.114.85.16,212.114.85.79,hosting,DE,AS8859 
212.114.85.80,212.114.85.103,business,DE,AS8859 
212.114.85.104,212.114.85.135,hosting,DE,AS8859 
212.114.85.136,212.114.85.159,business,DE,AS8859 
212.114.85.160,212.114.87.255,hosting,DE,AS8859 
212.114.88.0,212.114.88.255,business,DE,AS8859 
212.114.89.0,212.114.89.255,hosting,DE,AS8859 
212.114.90.0,212.114.90.255,hosting,DE,AS64427 
212.114.91.0,212.114.92.127,hosting,DE,AS8859 
212.114.92.128,212.114.92.255,business,DE,AS8859 
212.114.93.0,212.114.95.255,hosting,DE,AS8859 
212.114.96.0,212.114.98.255,hosting,NL,AS12859 
212.114.99.0,212.114.99.255,business,NL,AS12859 
212.114.100.0,212.114.100.31,hosting,NL,AS12859 
212.114.100.32,212.114.100.63,business,NL,AS12859 
212.114.100.64,212.114.100.255,hosting,NL,AS12859 
212.114.101.0,212.114.101.127,business,NL,AS12859 
212.114.101.128,212.114.101.191,hosting,NL,AS12859 
212.114.101.192,212.114.101.223,business,NL,AS12859 
212.114.101.224,212.114.105.255,hosting,NL,AS12859 
212.114.106.0,212.114.106.63,isp,NL,AS12859 
212.114.106.64,212.114.107.255,hosting,NL,AS12859 
