83.148.0.0,83.148.8.39,isp,CZ,AS29208 
83.148.8.40,83.148.8.43,business,CZ,AS29208 
83.148.8.44,83.148.8.55,isp,CZ,AS29208 
83.148.8.56,83.148.8.95,business,CZ,AS29208 
83.148.8.96,83.148.8.127,isp,CZ,AS29208 
83.148.8.128,83.148.8.159,business,CZ,AS29208 
83.148.8.160,83.148.8.223,isp,CZ,AS29208 
83.148.8.224,83.148.8.239,business,CZ,AS29208 
83.148.8.240,83.148.59.255,isp,CZ,AS29208 
83.148.60.0,83.148.60.255,business,CZ,AS29208 
83.148.61.0,83.148.63.255,isp,CZ,AS29208 
83.148.64.0,83.148.127.255,isp,BG,AS8866 
83.148.128.0,83.148.128.191,isp,GB,AS3257 
83.148.128.192,83.148.128.223,business,GB,AS3257 
83.148.128.224,83.148.131.95,isp,GB,AS3257 
83.148.131.96,83.148.131.127,business,GB,AS3257 
83.148.131.128,83.148.131.255,isp,GB,AS3257 
83.148.132.0,83.148.135.255,business,GB,AS3257 
83.148.136.0,83.148.136.191,isp,GB,AS3257 
83.148.136.192,83.148.136.255,business,GB,AS3257 
83.148.137.0,83.148.138.223,isp,GB,AS3257 
83.148.138.224,83.148.138.255,business,GB,AS3257 
83.148.139.0,83.148.140.95,isp,GB,AS3257 
83.148.140.96,83.148.140.127,business,GB,AS3257 
83.148.140.128,83.148.140.191,isp,GB,AS3257 
83.148.140.192,83.148.140.223,business,GB,AS3257 
83.148.140.224,83.148.140.255,isp,GB,AS3257 
83.148.141.0,83.148.144.255,business,GB,AS3257 
83.148.145.0,83.148.145.95,isp,GB,AS3257 
83.148.145.96,83.148.145.127,business,GB,AS3257 
83.148.145.128,83.148.147.127,isp,GB,AS3257 
83.148.147.128,83.148.147.159,business,GB,AS3257 
83.148.147.160,83.148.148.127,isp,GB,AS3257 
83.148.148.128,83.148.148.159,business,GB,AS3257 
83.148.148.160,83.148.149.63,isp,GB,AS3257 
83.148.149.64,83.148.149.95,business,GB,AS3257 
83.148.149.96,83.148.149.191,isp,GB,AS3257 
83.148.149.192,83.148.149.223,business,GB,AS3257 
83.148.149.224,83.148.152.159,isp,GB,AS3257 
83.148.152.160,83.148.152.223,business,GB,AS3257 
83.148.152.224,83.148.152.255,isp,GB,AS3257 
83.148.153.0,83.148.156.255,business,GB,AS3257 
83.148.157.0,83.148.157.255,isp,GB,AS3257 
83.148.158.0,83.148.158.127,business,GB,AS3257 
83.148.158.128,83.148.159.31,isp,GB,AS3257 
83.148.159.32,83.148.159.63,business,GB,AS3257 
83.148.159.64,83.148.159.159,isp,GB,AS3257 
83.148.159.160,83.148.159.191,business,GB,AS3257 
83.148.159.192,83.148.160.255,isp,GB,AS3257 
83.148.161.0,83.148.161.63,business,GB,AS3257 
83.148.161.64,83.148.161.191,isp,GB,AS3257 
83.148.161.192,83.148.161.255,business,GB,AS3257 
83.148.162.0,83.148.162.191,isp,GB,AS3257 
83.148.162.192,83.148.162.255,business,GB,AS3257 
83.148.163.0,83.148.163.127,isp,GB,AS3257 
83.148.163.128,83.148.163.159,business,GB,AS3257 
83.148.163.160,83.148.165.255,isp,GB,AS3257 
83.148.166.0,83.148.166.31,business,GB,AS3257 
83.148.166.32,83.148.166.255,isp,GB,AS3257 
83.148.167.0,83.148.170.255,business,GB,AS3257 
83.148.171.0,83.148.175.127,isp,GB,AS3257 
83.148.175.128,83.148.175.191,business,GB,AS3257 
83.148.175.192,83.148.175.255,isp,GB,AS3257 
83.148.176.0,83.148.176.31,business,GB,AS3257 
83.148.176.32,83.148.177.31,isp,GB,AS3257 
83.148.177.32,83.148.177.63,business,GB,AS3257 
83.148.177.64,83.148.177.127,isp,GB,AS3257 
83.148.177.128,83.148.177.191,business,GB,AS3257 
83.148.177.192,83.148.178.31,isp,GB,AS3257 
83.148.178.32,83.148.178.63,business,GB,AS3257 
83.148.178.64,83.148.178.159,isp,GB,AS3257 
83.148.178.160,83.148.178.255,business,GB,AS3257 
