83.144.0.0,83.144.17.159,isp,FR 
83.144.17.160,83.144.17.167,business,FR 
83.144.17.168,83.144.20.255,isp,FR 
83.144.21.0,83.144.21.15,business,FR 
83.144.21.16,83.144.63.255,isp,FR 
83.144.64.0,83.144.76.255,business,PL 
83.144.77.0,83.144.77.255,isp,PL 
83.144.78.0,83.144.124.255,business,PL 
83.144.125.0,83.144.125.255,isp,PL 
83.144.126.0,83.144.127.255,business,PL 
83.144.128.0,83.144.191.255,isp,PT 
83.144.192.0,83.144.195.255,isp,CH 
83.144.196.0,83.144.196.7,business,CH 
83.144.196.8,83.144.225.15,isp,CH 
83.144.225.16,83.144.225.31,business,CH 
83.144.225.32,83.144.225.87,isp,CH 
83.144.225.88,83.144.225.95,business,CH 
83.144.225.96,83.144.227.255,isp,CH 
83.144.228.0,83.144.228.15,business,CH 
83.144.228.16,83.144.228.31,isp,CH 
83.144.228.32,83.144.228.63,business,CH 
83.144.228.64,83.144.231.255,isp,CH 
83.144.232.0,83.144.232.63,business,CH 
83.144.232.64,83.144.233.255,isp,CH 
83.144.234.0,83.144.234.31,business,CH 
83.144.234.32,83.144.236.111,isp,CH 
83.144.236.112,83.144.236.127,business,CH 
83.144.236.128,83.144.237.15,isp,CH 
83.144.237.16,83.144.237.23,business,CH 
83.144.237.24,83.144.237.79,isp,CH 
83.144.237.80,83.144.237.95,business,CH 
83.144.237.96,83.144.238.87,isp,CH 
83.144.238.88,83.144.238.95,business,CH 
83.144.238.96,83.144.238.159,isp,CH 
83.144.238.160,83.144.238.167,business,CH 
83.144.238.168,83.144.238.191,isp,CH 
83.144.238.192,83.144.238.207,business,CH 
83.144.238.208,83.144.239.31,isp,CH 
83.144.239.32,83.144.239.39,business,CH 
83.144.239.40,83.144.239.47,isp,CH 
83.144.239.48,83.144.239.63,business,CH 
83.144.239.64,83.144.240.31,isp,CH 
83.144.240.32,83.144.240.63,business,CH 
83.144.240.64,83.144.241.31,isp,CH 
83.144.241.32,83.144.241.127,business,CH 
83.144.241.128,83.144.241.255,isp,CH 
83.144.242.0,83.144.242.47,business,CH 
83.144.242.48,83.144.242.63,isp,CH 
83.144.242.64,83.144.242.103,business,CH 
83.144.242.104,83.144.242.119,isp,CH 
83.144.242.120,83.144.242.127,business,CH 
83.144.242.128,83.144.242.135,isp,CH 
83.144.242.136,83.144.242.183,business,CH 
83.144.242.184,83.144.243.39,isp,CH 
83.144.243.40,83.144.243.47,business,CH 
83.144.243.48,83.144.243.79,isp,CH 
83.144.243.80,83.144.243.87,business,CH 
83.144.243.88,83.144.243.143,isp,CH 
83.144.243.144,83.144.243.159,business,CH 
83.144.243.160,83.144.243.255,isp,CH 
83.144.244.0,83.144.244.7,business,CH 
83.144.244.8,83.144.246.55,isp,CH 
83.144.246.56,83.144.246.63,business,CH 
83.144.246.64,83.144.255.255,isp,CH 
