83.174.0.0,83.174.47.255,isp,PT,AS12353 
83.174.48.0,83.174.48.15,business,PT,AS12353 
83.174.48.16,83.174.63.255,isp,PT,AS12353 
83.174.64.0,83.174.127.255,business,SE,AS29217 
83.174.128.0,83.174.130.255,isp,NL,AS57795 
83.174.131.0,83.174.131.15,isp,BE,AS57795 
83.174.131.16,83.174.143.255,isp,NL,AS57795 
83.174.144.0,83.174.147.255,isp,IT,AS48544 
83.174.148.0,83.174.152.23,hosting,GR,AS197580 
83.174.152.24,83.174.152.31,business,GR,AS197580 
83.174.152.32,83.174.152.55,hosting,GR,AS197580 
83.174.152.56,83.174.152.63,business,GR,AS197580 
83.174.152.64,83.174.152.103,hosting,GR,AS197580 
83.174.152.104,83.174.152.111,business,GR,AS197580 
83.174.152.112,83.174.152.159,hosting,GR,AS197580 
83.174.152.160,83.174.152.167,business,GR,AS197580 
83.174.152.168,83.174.152.247,hosting,GR,AS197580 
83.174.152.248,83.174.152.255,business,GR,AS197580 
83.174.153.0,83.174.153.23,hosting,GR,AS197580 
83.174.153.24,83.174.153.31,business,GR,AS197580 
83.174.153.32,83.174.153.47,hosting,GR,AS197580 
83.174.153.48,83.174.153.63,business,GR,AS197580 
83.174.153.64,83.174.154.47,hosting,GR,AS197580 
83.174.154.48,83.174.154.63,business,GR,AS197580 
83.174.154.64,83.174.154.159,hosting,GR,AS197580 
83.174.154.160,83.174.154.175,business,GR,AS197580 
83.174.154.176,83.174.156.31,hosting,GR,AS197580 
83.174.156.32,83.174.156.63,business,GR,AS197580 
83.174.156.64,83.174.159.255,hosting,GR,AS197580 
83.174.160.0,83.174.191.255,isp,IE,AS5466 
83.174.192.0,83.174.195.239,isp,RU,AS28812 
83.174.195.240,83.174.195.255,business,RU,AS28812 
83.174.196.0,83.174.200.55,isp,RU,AS28812 
83.174.200.56,83.174.200.63,business,RU,AS28812 
83.174.200.64,83.174.204.183,isp,RU,AS28812 
83.174.204.184,83.174.204.191,business,RU,AS28812 
83.174.204.192,83.174.205.119,isp,RU,AS28812 
83.174.205.120,83.174.205.127,business,RU,AS28812 
83.174.205.128,83.174.205.199,isp,RU,AS28812 
83.174.205.200,83.174.205.215,business,RU,AS28812 
83.174.205.216,83.174.205.223,isp,RU,AS28812 
83.174.205.224,83.174.205.231,business,RU,AS28812 
83.174.205.232,83.174.205.255,isp,RU,AS28812 
83.174.206.0,83.174.206.63,business,RU,AS28812 
83.174.206.64,83.174.206.127,isp,RU,AS28812 
83.174.206.128,83.174.206.143,business,RU,AS28812 
83.174.206.144,83.174.232.15,isp,RU,AS28812 
83.174.232.16,83.174.232.23,business,RU,AS28812 
83.174.232.24,83.174.255.255,isp,RU,AS28812 
