83.244.0.0,83.244.91.7,isp,PS,AS12975 
83.244.91.8,83.244.91.15,business,PS,AS12975 
83.244.91.16,83.244.92.111,isp,PS,AS12975 
83.244.92.112,83.244.92.127,business,PS,AS12975 
83.244.92.128,83.244.127.255,isp,PS,AS12975 
83.244.128.0,83.244.142.127,hosting,GB,AS25180 
83.244.142.128,83.244.142.159,isp,GB,AS25180 
83.244.142.160,83.244.163.199,hosting,GB,AS25180 
83.244.163.200,83.244.163.207,isp,GB,AS25180 
83.244.163.208,83.244.165.63,hosting,GB,AS25180 
83.244.165.64,83.244.165.127,isp,GB,AS25180 
83.244.165.128,83.244.169.247,hosting,GB,AS25180 
83.244.169.248,83.244.169.251,business,GB,AS25180 
83.244.169.252,83.244.184.127,hosting,GB,AS25180 
83.244.184.128,83.244.184.191,isp,GB,AS25180 
83.244.184.192,83.244.184.207,hosting,GB,AS25180 
83.244.184.208,83.244.184.223,isp,GB,AS25180 
83.244.184.224,83.244.191.127,hosting,GB,AS25180 
83.244.191.128,83.244.191.159,isp,GB,AS25180 
83.244.191.160,83.244.201.255,hosting,GB,AS25180 
83.244.202.0,83.244.202.63,business,GB,AS25180 
83.244.202.64,83.244.214.255,hosting,GB,AS25180 
83.244.215.0,83.244.215.31,isp,GB,AS25180 
83.244.215.32,83.244.222.191,hosting,GB,AS25180 
83.244.222.192,83.244.222.255,isp,GB,AS25180 
83.244.223.0,83.244.225.191,hosting,GB,AS25180 
83.244.225.192,83.244.225.207,isp,GB,AS25180 
83.244.225.208,83.244.225.239,hosting,GB,AS25180 
83.244.225.240,83.244.225.255,isp,GB,AS25180 
83.244.226.0,83.244.227.15,hosting,GB,AS25180 
83.244.227.16,83.244.227.31,isp,GB,AS25180 
83.244.227.32,83.244.232.143,hosting,GB,AS25180 
83.244.232.144,83.244.232.159,isp,GB,AS25180 
83.244.232.160,83.244.235.47,hosting,GB,AS25180 
83.244.235.48,83.244.235.63,isp,GB,AS25180 
83.244.235.64,83.244.237.63,hosting,GB,AS25180 
83.244.237.64,83.244.237.79,isp,GB,AS25180 
83.244.237.80,83.244.238.159,hosting,GB,AS25180 
83.244.238.160,83.244.238.175,isp,GB,AS25180 
83.244.238.176,83.244.255.255,hosting,GB,AS25180 
