83.187.96.0,83.187.127.255,isp,LT 
83.187.128.0,83.187.143.255,isp,EE 
83.187.144.0,83.187.147.255,isp,SE 
83.187.148.0,83.187.159.255,isp,EE 
83.187.160.0,83.187.199.255,isp,SE 
83.187.200.0,83.187.201.255,isp,EE 
83.187.202.0,83.187.203.255,isp,LT 
83.187.204.0,83.187.207.255,isp,SE 
83.187.208.0,83.187.223.255,isp,EE 
83.187.224.0,83.188.63.255,isp,SE 
