83.216.0.0,83.216.31.255,isp,FI 
83.216.32.0,83.216.47.255,hosting,AT 
83.216.48.0,83.216.55.255,hosting,GB 
83.216.56.0,83.216.63.255,hosting,IT 
83.216.64.0,83.216.95.255,isp,GB 
83.216.96.0,83.216.127.255,isp,SE 
83.216.128.0,83.216.129.191,business,GB 
83.216.129.192,83.216.129.255,isp,GB 
83.216.130.0,83.216.142.7,business,GB 
83.216.142.8,83.216.142.15,isp,GB 
83.216.142.16,83.216.142.39,business,GB 
83.216.142.40,83.216.142.47,isp,GB 
83.216.142.48,83.216.142.111,business,GB 
83.216.142.112,83.216.142.127,isp,GB 
83.216.142.128,83.216.142.175,business,GB 
83.216.142.176,83.216.142.199,isp,GB 
83.216.142.200,83.216.142.207,business,GB 
83.216.142.208,83.216.142.215,isp,GB 
83.216.142.216,83.216.142.231,business,GB 
83.216.142.232,83.216.142.239,isp,GB 
83.216.142.240,83.216.142.247,business,GB 
83.216.142.248,83.216.142.255,isp,GB 
83.216.143.0,83.216.153.47,business,GB 
83.216.153.48,83.216.153.95,isp,GB 
83.216.153.96,83.216.153.111,business,GB 
83.216.153.112,83.216.153.143,isp,GB 
83.216.153.144,83.216.159.255,business,GB 
83.216.160.0,83.216.164.143,business,IT 
83.216.164.144,83.216.164.159,hosting,IT 
83.216.164.160,83.216.164.183,business,IT 
83.216.164.184,83.216.164.191,hosting,IT 
83.216.164.192,83.216.164.199,business,IT 
83.216.164.200,83.216.164.207,hosting,IT 
83.216.164.208,83.216.164.239,business,IT 
83.216.164.240,83.216.165.15,hosting,IT 
83.216.165.16,83.216.165.31,business,IT 
83.216.165.32,83.216.165.39,hosting,IT 
83.216.165.40,83.216.165.55,business,IT 
83.216.165.56,83.216.165.127,hosting,IT 
83.216.165.128,83.216.166.15,business,IT 
83.216.166.16,83.216.166.31,hosting,IT 
83.216.166.32,83.216.166.47,business,IT 
83.216.166.48,83.216.166.79,hosting,IT 
83.216.166.80,83.216.166.86,business,IT 
83.216.166.87,83.216.166.167,hosting,IT 
83.216.166.168,83.216.166.175,business,IT 
83.216.166.176,83.216.166.231,hosting,IT 
83.216.166.232,83.216.166.235,business,IT 
83.216.166.236,83.216.166.247,hosting,IT 
83.216.166.248,83.216.167.15,business,IT 
83.216.167.16,83.216.167.23,hosting,IT 
83.216.167.24,83.216.167.87,business,IT 
83.216.167.88,83.216.167.151,hosting,IT 
83.216.167.152,83.216.167.159,business,IT 
83.216.167.160,83.216.167.179,hosting,IT 
83.216.167.180,83.216.167.191,business,IT 
83.216.167.192,83.216.167.207,hosting,IT 
83.216.167.208,83.216.167.215,business,IT 
83.216.167.216,83.216.168.191,hosting,IT 
83.216.168.192,83.216.171.255,business,IT 
83.216.172.0,83.216.174.51,hosting,IT 
83.216.174.52,83.216.174.55,business,IT 
83.216.174.56,83.216.174.95,hosting,IT 
83.216.174.96,83.216.174.103,business,IT 
83.216.174.104,83.216.174.119,hosting,IT 
83.216.174.120,83.216.174.143,business,IT 
83.216.174.144,83.216.175.255,hosting,IT 
83.216.176.0,83.216.176.255,business,IT 
83.216.177.0,83.216.177.63,hosting,IT 
83.216.177.64,83.216.177.71,business,IT 
83.216.177.72,83.216.177.87,hosting,IT 
83.216.177.88,83.216.177.95,business,IT 
83.216.177.96,83.216.177.191,hosting,IT 
83.216.177.192,83.216.177.223,business,IT 
83.216.177.224,83.216.177.247,hosting,IT 
83.216.177.248,83.216.179.255,business,IT 
83.216.180.0,83.216.180.255,hosting,IT 
83.216.181.0,83.216.181.31,business,IT 
83.216.181.32,83.216.181.47,hosting,IT 
83.216.181.48,83.216.181.55,business,IT 
83.216.181.56,83.216.181.63,hosting,IT 
83.216.181.64,83.216.181.71,business,IT 
83.216.181.72,83.216.181.99,hosting,IT 
83.216.181.100,83.216.181.111,business,IT 
83.216.181.112,83.216.181.119,hosting,IT 
83.216.181.120,83.216.181.127,business,IT 
83.216.181.128,83.216.181.207,hosting,IT 
83.216.181.208,83.216.181.223,business,IT 
83.216.181.224,83.216.181.239,hosting,IT 
83.216.181.240,83.216.181.247,business,IT 
83.216.181.248,83.216.182.15,hosting,IT 
83.216.182.16,83.216.182.23,business,IT 
83.216.182.24,83.216.182.47,hosting,IT 
83.216.182.48,83.216.182.51,business,IT 
83.216.182.52,83.216.182.63,hosting,IT 
83.216.182.64,83.216.182.71,business,IT 
83.216.182.72,83.216.182.127,hosting,IT 
83.216.182.128,83.216.182.151,business,IT 
83.216.182.152,83.216.182.251,hosting,IT 
83.216.182.252,83.216.182.255,business,IT 
83.216.183.0,83.216.183.39,hosting,IT 
83.216.183.40,83.216.183.47,business,IT 
83.216.183.48,83.216.183.63,hosting,IT 
83.216.183.64,83.216.183.71,business,IT 
83.216.183.72,83.216.183.95,hosting,IT 
83.216.183.96,83.216.183.103,business,IT 
83.216.183.104,83.216.183.159,hosting,IT 
83.216.183.160,83.216.183.167,business,IT 
83.216.183.168,83.216.184.55,hosting,IT 
83.216.184.56,83.216.184.63,business,IT 
83.216.184.64,83.216.184.127,hosting,IT 
83.216.184.128,83.216.184.255,business,IT 
83.216.185.0,83.216.185.255,hosting,IT 
83.216.186.0,83.216.186.255,business,IT 
83.216.187.0,83.216.187.255,hosting,IT 
83.216.188.0,83.216.189.255,business,IT 
