83.231.32.0,83.231.32.255,business,ES 
83.231.33.0,83.231.127.255,isp,ES 
83.231.128.0,83.231.128.31,business,FR 
83.231.128.32,83.231.128.47,isp,FR 
83.231.128.48,83.231.128.95,business,FR 
83.231.128.96,83.231.128.111,isp,FR 
83.231.128.112,83.231.128.175,business,FR 
83.231.128.176,83.231.128.223,isp,FR 
83.231.128.224,83.231.129.15,business,FR 
83.231.129.16,83.231.129.255,isp,FR 
83.231.130.0,83.231.130.16,isp,ES 
83.231.130.17,83.231.130.30,business,ES 
83.231.130.31,83.231.130.72,isp,ES 
83.231.130.73,83.231.130.78,business,ES 
83.231.130.79,83.231.130.80,isp,ES 
83.231.130.81,83.231.130.94,business,ES 
83.231.130.95,83.231.130.127,isp,ES 
83.231.130.128,83.231.131.7,business,ES 
83.231.131.8,83.231.131.15,isp,ES 
83.231.131.16,83.231.131.23,business,ES 
83.231.131.24,83.231.131.32,isp,ES 
83.231.131.33,83.231.131.62,business,ES 
83.231.131.63,83.231.131.63,isp,ES 
83.231.131.64,83.231.131.127,business,ES 
83.231.131.128,83.231.131.255,isp,ES 
83.231.132.0,83.231.132.103,isp,GB 
83.231.132.104,83.231.132.127,business,GB 
83.231.132.128,83.231.132.167,isp,GB 
83.231.132.168,83.231.132.175,business,GB 
83.231.132.176,83.231.132.199,isp,GB 
83.231.132.200,83.231.132.223,business,GB 
83.231.132.224,83.231.132.247,isp,GB 
83.231.132.248,83.231.133.7,business,GB 
83.231.133.8,83.231.133.23,isp,GB 
83.231.133.24,83.231.133.31,business,GB 
83.231.133.32,83.231.133.63,isp,GB 
83.231.133.64,83.231.133.79,business,GB 
83.231.133.80,83.231.133.95,isp,GB 
83.231.133.96,83.231.133.103,business,GB 
83.231.133.104,83.231.133.144,isp,GB 
83.231.133.145,83.231.133.151,business,GB 
83.231.133.152,83.231.133.159,isp,GB 
83.231.133.160,83.231.133.183,business,GB 
83.231.133.184,83.231.133.247,isp,GB 
83.231.133.248,83.231.133.255,business,GB 
83.231.134.0,83.231.134.255,isp,JP 
83.231.135.0,83.231.135.255,isp,FR 
83.231.136.0,83.231.137.7,business,GB 
83.231.137.8,83.231.137.31,isp,ES 
83.231.137.32,83.231.137.39,business,GB 
83.231.137.40,83.231.137.63,isp,ES 
83.231.137.64,83.231.137.95,business,FI 
83.231.137.96,83.231.137.159,isp,ES 
83.231.137.160,83.231.137.167,business,GB 
83.231.137.168,83.231.138.39,isp,ES 
83.231.138.40,83.231.138.47,business,GB 
