83.241.0.0,83.241.36.255,business,LV 
83.241.37.0,83.241.39.255,hosting,LV 
83.241.40.0,83.241.47.255,business,LV 
83.241.48.0,83.241.63.255,hosting,LV 
83.241.64.0,83.241.95.255,business,LV 
83.241.96.0,83.241.123.255,hosting,LV 
83.241.124.0,83.241.127.255,business,LV 
83.241.128.0,83.241.128.7,business,SE 
83.241.128.8,83.241.128.15,isp,SE 
83.241.128.16,83.241.128.71,business,SE 
83.241.128.72,83.241.128.87,isp,SE 
83.241.128.88,83.241.128.151,business,SE 
83.241.128.152,83.241.128.191,isp,SE 
83.241.128.192,83.241.129.7,business,SE 
83.241.129.8,83.241.129.95,isp,SE 
83.241.129.96,83.241.129.167,business,SE 
83.241.129.168,83.241.129.171,isp,SE 
83.241.129.172,83.241.129.223,business,SE 
83.241.129.224,83.241.130.23,isp,SE 
83.241.130.24,83.241.130.83,business,SE 
83.241.130.84,83.241.130.95,isp,SE 
83.241.130.96,83.241.130.143,business,SE 
83.241.130.144,83.241.130.167,isp,SE 
83.241.130.168,83.241.130.207,business,SE 
83.241.130.208,83.241.130.223,isp,SE 
83.241.130.224,83.241.130.231,business,SE 
83.241.130.232,83.241.130.235,isp,SE 
83.241.130.236,83.241.131.7,business,SE 
83.241.131.8,83.241.131.15,isp,SE 
83.241.131.16,83.241.131.47,business,SE 
83.241.131.48,83.241.131.59,isp,SE 
83.241.131.60,83.241.131.63,business,SE 
83.241.131.64,83.241.131.71,isp,SE 
83.241.131.72,83.241.131.79,business,SE 
83.241.131.80,83.241.131.87,isp,SE 
83.241.131.88,83.241.131.131,business,SE 
83.241.131.132,83.241.131.159,isp,SE 
83.241.131.160,83.241.131.175,business,SE 
83.241.131.176,83.241.131.179,isp,SE 
83.241.131.180,83.241.131.183,business,SE 
83.241.131.184,83.241.131.199,isp,SE 
83.241.131.200,83.241.131.207,business,SE 
83.241.131.208,83.241.131.215,isp,SE 
83.241.131.216,83.241.131.231,business,SE 
83.241.131.232,83.241.131.239,isp,SE 
83.241.131.240,83.241.131.247,isp,FI 
83.241.131.248,83.241.132.23,isp,SE 
83.241.132.24,83.241.132.27,business,SE 
83.241.132.28,83.241.132.35,isp,SE 
83.241.132.36,83.241.132.39,business,SE 
83.241.132.40,83.241.132.47,isp,SE 
83.241.132.48,83.241.132.55,business,SE 
83.241.132.56,83.241.132.71,isp,SE 
83.241.132.72,83.241.132.75,business,SE 
83.241.132.76,83.241.132.87,isp,SE 
83.241.132.88,83.241.132.95,business,SE 
83.241.132.96,83.241.132.99,isp,SE 
83.241.132.100,83.241.132.119,business,SE 
83.241.132.120,83.241.132.127,isp,SE 
83.241.132.128,83.241.132.143,business,SE 
83.241.132.144,83.241.132.159,isp,SE 
83.241.132.160,83.241.132.167,business,SE 
83.241.132.168,83.241.132.171,isp,SE 
83.241.132.172,83.241.132.191,business,SE 
83.241.132.192,83.241.132.199,isp,SE 
83.241.132.200,83.241.132.207,business,SE 
83.241.132.208,83.241.132.211,isp,SE 
83.241.132.212,83.241.132.215,business,SE 
83.241.132.216,83.241.132.223,isp,SE 
83.241.132.224,83.241.132.239,business,SE 
83.241.132.240,83.241.132.247,isp,SE 
83.241.132.248,83.241.132.255,business,SE 
83.241.133.0,83.241.133.47,isp,SE 
83.241.133.48,83.241.133.63,business,SE 
83.241.133.64,83.241.133.87,isp,SE 
83.241.133.88,83.241.133.95,business,SE 
83.241.133.96,83.241.133.127,isp,SE 
83.241.133.128,83.241.133.191,business,SE 
83.241.133.192,83.241.133.223,isp,SE 
83.241.133.224,83.241.134.3,business,SE 
83.241.134.4,83.241.134.15,isp,SE 
83.241.134.16,83.241.134.31,business,SE 
83.241.134.32,83.241.134.43,isp,SE 
83.241.134.44,83.241.134.47,business,SE 
83.241.134.48,83.241.134.71,isp,SE 
83.241.134.72,83.241.134.79,business,SE 
83.241.134.80,83.241.134.83,isp,SE 
83.241.134.84,83.241.134.87,business,SE 
83.241.134.88,83.241.134.95,isp,SE 
83.241.134.96,83.241.134.127,business,SE 
83.241.134.128,83.241.134.135,isp,SE 
83.241.134.136,83.241.134.143,business,SE 
83.241.134.144,83.241.134.151,isp,SE 
83.241.134.152,83.241.134.159,business,SE 
83.241.134.160,83.241.134.171,isp,SE 
83.241.134.172,83.241.134.175,business,SE 
83.241.134.176,83.241.134.199,isp,SE 
83.241.134.200,83.241.134.215,business,SE 
83.241.134.216,83.241.134.223,isp,SE 
83.241.134.224,83.241.134.251,business,SE 
83.241.134.252,83.241.135.31,isp,SE 
83.241.135.32,83.241.135.39,isp,DK 
83.241.135.40,83.241.135.47,business,SE 
83.241.135.48,83.241.135.95,isp,SE 
83.241.135.96,83.241.135.143,business,SE 
83.241.135.144,83.241.135.171,isp,SE 
83.241.135.172,83.241.135.175,business,SE 
83.241.135.176,83.241.135.223,isp,SE 
83.241.135.224,83.241.135.239,business,SE 
83.241.135.240,83.241.135.255,isp,SE 
83.241.136.0,83.241.136.63,business,SE 
83.241.136.64,83.241.136.127,isp,SE 
83.241.136.128,83.241.137.143,business,SE 
83.241.137.144,83.241.137.191,isp,SE 
83.241.137.192,83.241.137.199,business,SE 
83.241.137.200,83.241.137.207,isp,SE 
83.241.137.208,83.241.137.211,business,SE 
83.241.137.212,83.241.137.215,isp,FI 
83.241.137.216,83.241.137.223,isp,SE 
83.241.137.224,83.241.137.227,business,SE 
83.241.137.228,83.241.137.239,isp,SE 
83.241.137.240,83.241.137.255,business,SE 
83.241.138.0,83.241.138.23,isp,SE 
83.241.138.24,83.241.138.47,business,SE 
83.241.138.48,83.241.138.123,isp,SE 
83.241.138.124,83.241.138.143,business,SE 
83.241.138.144,83.241.138.155,isp,SE 
83.241.138.156,83.241.138.167,business,SE 
83.241.138.168,83.241.138.199,isp,SE 
83.241.138.200,83.241.138.207,business,SE 
83.241.138.208,83.241.138.215,isp,SE 
83.241.138.216,83.241.138.223,business,SE 
83.241.138.224,83.241.138.239,isp,SE 
83.241.138.240,83.241.138.247,business,SE 
83.241.138.248,83.241.138.255,isp,SE 
83.241.139.0,83.241.139.15,business,SE 
83.241.139.16,83.241.139.63,isp,SE 
83.241.139.64,83.241.139.79,business,SE 
83.241.139.80,83.241.139.95,isp,SE 
83.241.139.96,83.241.139.119,business,SE 
83.241.139.120,83.241.139.159,isp,SE 
83.241.139.160,83.241.139.191,business,SE 
83.241.139.192,83.241.139.199,education,SE 
83.241.139.200,83.241.139.207,isp,SE 
83.241.139.208,83.241.140.63,business,SE 
83.241.140.64,83.241.140.95,isp,SE 
83.241.140.96,83.241.140.127,business,SE 
83.241.140.128,83.241.140.191,isp,SE 
83.241.140.192,83.241.140.195,education,SE 
83.241.140.196,83.241.140.223,business,SE 
83.241.140.224,83.241.141.7,isp,SE 
83.241.141.8,83.241.141.23,business,SE 
83.241.141.24,83.241.141.47,isp,SE 
83.241.141.48,83.241.141.71,business,SE 
83.241.141.72,83.241.141.79,isp,SE 
83.241.141.80,83.241.141.83,business,SE 
83.241.141.84,83.241.141.95,isp,SE 
83.241.141.96,83.241.141.103,business,SE 
83.241.141.104,83.241.141.111,isp,SE 
83.241.141.112,83.241.141.143,business,SE 
83.241.141.144,83.241.141.183,isp,SE 
83.241.141.184,83.241.141.203,business,SE 
83.241.141.204,83.241.141.207,isp,SE 
83.241.141.208,83.241.141.223,business,SE 
83.241.141.224,83.241.141.227,isp,SE 
83.241.141.228,83.241.141.243,business,SE 
83.241.141.244,83.241.141.247,isp,SE 
83.241.141.248,83.241.141.255,business,SE 
83.241.142.0,83.241.142.23,isp,SE 
83.241.142.24,83.241.142.67,business,SE 
83.241.142.68,83.241.142.79,isp,SE 
83.241.142.80,83.241.142.87,business,SE 
83.241.142.88,83.241.142.95,isp,SE 
83.241.142.96,83.241.142.99,business,SE 
83.241.142.100,83.241.142.127,isp,SE 
83.241.142.128,83.241.142.147,business,SE 
83.241.142.148,83.241.142.151,isp,SE 
83.241.142.152,83.241.142.159,business,SE 
83.241.142.160,83.241.142.167,isp,SE 
83.241.142.168,83.241.142.191,business,SE 
83.241.142.192,83.241.142.231,isp,SE 
83.241.142.232,83.241.142.235,business,SE 
83.241.142.236,83.241.142.243,isp,SE 
83.241.142.244,83.241.142.255,business,SE 
83.241.143.0,83.241.143.31,isp,SE 
83.241.143.32,83.241.143.63,business,SE 
83.241.143.64,83.241.143.79,isp,SE 
83.241.143.80,83.241.143.95,business,SE 
83.241.143.96,83.241.143.103,isp,SE 
83.241.143.104,83.241.143.127,business,SE 
83.241.143.128,83.241.143.159,isp,SE 
83.241.143.160,83.241.143.179,business,SE 
83.241.143.180,83.241.143.191,isp,SE 
83.241.143.192,83.241.143.227,business,SE 
83.241.143.228,83.241.143.231,isp,SE 
83.241.143.232,83.241.143.239,business,SE 
