83.101.0.0,83.101.7.255,hosting,IE,AS136907 
83.101.8.0,83.101.15.255,hosting,EG,AS136907 
83.101.16.0,83.101.23.255,hosting,SG,AS136907 
83.101.24.0,83.101.39.255,isp,TH, 
83.101.40.0,83.101.47.255,isp,SG, 
83.101.48.0,83.101.63.255,hosting,NG,AS136907 
83.101.64.0,83.101.71.255,isp,ZA, 
83.101.72.0,83.101.87.255,hosting,PH,AS136907 
83.101.88.0,83.101.95.255,isp,ID, 
83.101.96.0,83.101.103.255,hosting,PH,AS136907 
83.101.104.0,83.101.111.255,isp,ID, 
83.101.112.0,83.101.127.255,hosting,SG,AS136907 
83.101.128.0,83.101.159.255,isp,SA,AS29690 
83.101.160.0,83.101.161.255,business,SA, 
83.101.162.0,83.101.163.255,isp,SA,AS29690 
83.101.164.0,83.101.167.255,isp,SA,AS216292 
83.101.168.0,83.101.255.255,business,SA, 
