132.255.29.82,132.255.31.255,isp,BR,AS264461 
132.255.32.0,132.255.35.255,isp,BR,AS264451 
132.255.36.0,132.255.39.255,isp,BR,AS264455 
132.255.40.0,132.255.43.255,isp,BR,AS61908 
132.255.44.0,132.255.47.255,isp,BR,AS267388 
132.255.48.0,132.255.51.255,isp,BR,AS264452 
132.255.52.0,132.255.55.255,isp,BR,AS264462 
132.255.56.0,132.255.59.255,isp,BR,AS264453 
132.255.60.0,132.255.61.255,isp,BR,AS52840 
132.255.62.0,132.255.62.63,business,BR,AS52840 
132.255.62.64,132.255.63.255,isp,BR,AS52840 
132.255.64.0,132.255.67.255,isp,BR,AS28667 
132.255.68.0,132.255.71.255,hosting,CL,AS263700 
132.255.72.0,132.255.75.255,isp,BR,AS264463 
132.255.76.0,132.255.76.255,isp,BR,AS264456 
132.255.77.0,132.255.79.255,business,BR,AS264456 
132.255.80.0,132.255.80.47,isp,BR,AS264464 
132.255.80.48,132.255.80.55,business,BR,AS264464 
132.255.80.56,132.255.80.63,isp,BR,AS264464 
132.255.80.64,132.255.80.71,business,BR,AS264464 
132.255.80.72,132.255.80.115,isp,BR,AS264464 
132.255.80.116,132.255.80.119,business,BR,AS264464 
132.255.80.120,132.255.80.191,isp,BR,AS264464 
132.255.80.192,132.255.80.199,business,BR,AS264464 
132.255.80.200,132.255.81.79,isp,BR,AS264464 
132.255.81.80,132.255.81.95,business,BR,AS264464 
132.255.81.96,132.255.83.255,isp,BR,AS264464 
132.255.84.0,132.255.87.255,isp,BR,AS264458 
132.255.88.0,132.255.91.255,isp,BR,AS264472 
132.255.92.0,132.255.92.63,isp,BR,AS270308 
132.255.92.64,132.255.92.71,isp,BR,AS264459 
132.255.92.72,132.255.94.63,isp,BR,AS270308 
132.255.94.64,132.255.94.79,business,BR,AS264459 
132.255.94.80,132.255.94.127,isp,BR,AS270308 
132.255.94.128,132.255.94.135,isp,BR,AS264459 
132.255.94.136,132.255.95.255,isp,BR,AS270308 
132.255.96.0,132.255.99.255,education,BR,AS1916 
132.255.100.0,132.255.103.255,isp,BR,AS264460 
132.255.104.0,132.255.107.255,isp,BR,AS263355 
132.255.108.0,132.255.111.23,isp,BR,AS264477 
132.255.111.24,132.255.111.31,business,BR,AS264477 
132.255.111.32,132.255.111.255,isp,BR,AS264477 
132.255.112.0,132.255.115.255,isp,AR,AS52436 
132.255.116.0,132.255.119.255,isp,BR,AS264473 
132.255.120.0,132.255.123.255,isp,BR,AS264465 
132.255.124.0,132.255.127.255,hosting,MX,AS14178 
132.255.128.0,132.255.128.63,isp,BR,AS270857 
132.255.128.64,132.255.128.71,business,BR,AS270857 
132.255.128.72,132.255.128.255,isp,BR,AS270857 
132.255.129.0,132.255.129.255,business,BR,AS270857 
132.255.130.0,132.255.130.239,isp,BR,AS270857 
132.255.130.240,132.255.130.247,business,BR,AS270857 
132.255.130.248,132.255.131.255,isp,BR,AS270857 
132.255.132.0,132.255.133.255,isp,US,AS52485 
132.255.134.0,132.255.134.255,isp,ID,AS52485 
132.255.135.0,132.255.135.255,isp,US,AS52485 
132.255.136.0,132.255.139.255,isp,BR,AS263472 
132.255.140.0,132.255.143.255,isp,BR,AS53223 
132.255.144.0,132.255.147.255,isp,BR,AS262459 
132.255.148.0,132.255.151.223,isp,BR,AS53085 
132.255.151.224,132.255.151.239,business,BR,AS53085 
132.255.151.240,132.255.151.247,isp,BR,AS53085 
132.255.151.248,132.255.151.255,business,BR,AS53085 
132.255.152.0,132.255.155.255,isp,BR,AS264508 
132.255.156.0,132.255.159.255,isp,BR,AS262404 
132.255.160.0,132.255.163.255,isp,BR,AS264516 
132.255.164.0,132.255.167.255,isp,PY,AS263717 
132.255.168.0,132.255.168.31,isp,BR,AS264509 
132.255.168.32,132.255.168.35,business,BR,AS264509 
132.255.168.36,132.255.171.255,isp,BR,AS264509 
132.255.172.0,132.255.173.255,isp,BR,AS264517 
132.255.174.0,132.255.174.255,business,BR,AS264517 
132.255.175.0,132.255.175.255,isp,BR,AS264517 
132.255.176.0,132.255.177.255,isp,BR,AS53048 
132.255.178.0,132.255.178.3,business,BR,AS53048 
132.255.178.4,132.255.178.15,isp,BR,AS53048 
132.255.178.16,132.255.178.19,business,BR,AS53048 
132.255.178.20,132.255.178.151,isp,BR,AS53048 
132.255.178.152,132.255.178.155,business,BR,AS53048 
132.255.178.156,132.255.178.191,isp,BR,AS53048 
132.255.178.192,132.255.178.207,business,BR,AS53048 
132.255.178.208,132.255.179.255,isp,BR,AS53048 
132.255.180.0,132.255.183.255,isp,BR,AS263040 
132.255.184.0,132.255.187.255,isp,BR,AS264510 
132.255.188.0,132.255.191.255,isp,BR,AS268546 
132.255.192.0,132.255.195.255,isp,BR,AS264511 
132.255.196.0,132.255.199.255,isp,BR,AS264513 
132.255.200.0,132.255.203.255,isp,AR,AS263720 
132.255.204.0,132.255.207.255,isp,BR,AS264526 
132.255.208.0,132.255.211.255,isp,SV,AS264635 
132.255.212.0,132.255.215.255,isp,BR,AS264521 
132.255.216.0,132.255.216.159,isp,BR,AS264514 
132.255.216.160,132.255.216.167,business,BR,AS264514 
132.255.216.168,132.255.219.255,isp,BR,AS264514 
132.255.220.0,132.255.223.255,isp,BR,AS271421 
132.255.224.0,132.255.227.255,isp,AR,AS263716 
132.255.228.0,132.255.229.39,isp,BR,AS264512 
132.255.229.40,132.255.229.43,business,BR,AS264512 
132.255.229.44,132.255.231.255,isp,BR,AS264512 
132.255.232.0,132.255.235.255,isp,BR,AS264533 
132.255.236.0,132.255.239.255,isp,CL, 
132.255.240.0,132.255.243.255,isp,BR,AS61588 
132.255.244.0,132.255.247.255,isp,BR,AS264519 
132.255.248.0,132.255.251.255,isp,BR,AS264520 
132.255.252.0,132.255.255.255,isp,BR,AS262605 
