143.92.0.0,143.92.31.255,education,AU,AS7575 
143.92.32.0,143.92.40.255,hosting,HK,AS152194 
143.92.41.0,143.92.41.255,hosting,KH,AS64050 
143.92.42.0,143.92.43.255,hosting,HK,AS152194 
143.92.44.0,143.92.47.255,hosting,JP,AS152194 
143.92.48.0,143.92.63.255,hosting,HK,AS152194 
143.92.64.0,143.92.70.255,hosting,SG,AS138341 
143.92.71.0,143.92.71.255,hosting,SG,AS137831 
143.92.72.0,143.92.95.255,hosting,SG,AS138341 
143.92.96.0,143.92.96.255,hosting,SG,AS137831 
143.92.97.0,143.92.101.255,hosting,SG,AS138341 
143.92.102.0,143.92.103.255,hosting,SG,AS142066 
143.92.104.0,143.92.107.255,hosting,SG,AS142110 
143.92.108.0,143.92.108.255,business,SG,AS137831 
143.92.109.0,143.92.109.255,hosting,SG,AS138341 
143.92.110.0,143.92.111.255,business,TH,AS134592 
143.92.112.0,143.92.127.255,hosting,SG,AS58521 
143.92.128.0,143.92.255.255,isp,SA,AS25019 
