123.100.0.0,123.100.31.255,business,CN, 
123.100.32.0,123.100.63.255,isp,AU,AS24033 
123.100.64.0,123.100.127.255,isp,NZ,AS9889 
123.100.128.0,123.100.135.255,isp,AU,AS135027 
123.100.136.0,123.100.139.255,business,JP, 
123.100.140.0,123.100.141.255,isp,AU,AS135060 
123.100.142.0,123.100.142.255,isp,AU,AS135027 
123.100.143.0,123.100.152.255,isp,AU,AS135060 
123.100.153.0,123.100.155.255,isp,AU,AS135027 
123.100.156.0,123.100.159.255,business,JP, 
123.100.160.0,123.100.191.255,hosting,KR,AS38673 
123.100.192.0,123.100.223.255,isp,JP,AS9614 
123.100.224.0,123.100.224.255,hosting,MY,AS46015 
123.100.225.0,123.100.225.15,isp,GB,AS214294 
123.100.225.16,123.100.225.31,business,GB,AS214294 
123.100.225.32,123.100.225.255,isp,GB,AS214294 
123.100.226.0,123.100.226.255,hosting,ID,AS136170 
123.100.227.0,123.100.227.255,business,GB,AS16276 
123.100.228.0,123.100.231.255,business,AU,AS55736 
123.100.232.0,123.100.232.255,business,US,AS394880 
123.100.233.0,123.100.233.127,isp,AU,AS136735 
123.100.233.128,123.100.233.191,business,AU,AS136735 
123.100.233.192,123.100.233.255,isp,AU,AS136735 
123.100.234.0,123.100.234.255,business,GB, 
123.100.235.0,123.100.245.255,hosting,SG,AS9892 
123.100.246.0,123.100.246.255,business,US,AS401199 
123.100.247.0,123.100.247.255,business,US, 
123.100.248.0,123.100.255.255,hosting,SG,AS9892 
