123.231.149.72,123.231.149.79,business,ID 
123.231.149.80,123.231.149.103,isp,ID 
123.231.149.104,123.231.149.111,business,ID 
123.231.149.112,123.231.150.39,isp,ID 
123.231.150.40,123.231.150.51,business,ID 
123.231.150.52,123.231.150.59,isp,ID 
123.231.150.60,123.231.150.63,business,ID 
123.231.150.64,123.231.150.127,isp,ID 
123.231.150.128,123.231.150.131,business,ID 
123.231.150.132,123.231.151.47,isp,ID 
123.231.151.48,123.231.151.55,business,ID 
123.231.151.56,123.231.151.159,isp,ID 
123.231.151.160,123.231.151.175,business,ID 
123.231.151.176,123.231.152.39,isp,ID 
123.231.152.40,123.231.152.47,business,ID 
123.231.152.48,123.231.152.207,isp,ID 
123.231.152.208,123.231.152.215,business,ID 
123.231.152.216,123.231.157.151,isp,ID 
123.231.157.152,123.231.157.159,business,ID 
123.231.157.160,123.231.157.255,isp,ID 
123.231.158.0,123.231.158.119,business,ID 
123.231.158.120,123.231.158.127,isp,ID 
123.231.158.128,123.231.158.143,business,ID 
123.231.158.144,123.231.158.175,isp,ID 
123.231.158.176,123.231.158.183,business,ID 
123.231.158.184,123.231.158.239,isp,ID 
123.231.158.240,123.231.158.247,business,ID 
123.231.158.248,123.231.159.15,isp,ID 
123.231.159.16,123.231.159.23,business,ID 
123.231.159.24,123.231.159.31,isp,ID 
123.231.159.32,123.231.159.47,business,ID 
123.231.159.48,123.231.159.103,isp,ID 
123.231.159.104,123.231.159.119,business,ID 
123.231.159.120,123.231.159.247,isp,ID 
123.231.159.248,123.231.159.255,business,ID 
123.231.160.0,123.231.160.15,isp,ID 
123.231.160.16,123.231.160.31,education,ID 
123.231.160.32,123.231.160.47,business,ID 
123.231.160.48,123.231.160.95,isp,ID 
123.231.160.96,123.231.160.111,business,ID 
123.231.160.112,123.231.160.127,isp,ID 
123.231.160.128,123.231.160.131,business,ID 
123.231.160.132,123.231.160.167,isp,ID 
123.231.160.168,123.231.160.171,business,ID 
123.231.160.172,123.231.160.175,isp,ID 
123.231.160.176,123.231.160.179,business,ID 
123.231.160.180,123.231.160.183,isp,ID 
123.231.160.184,123.231.160.187,business,ID 
123.231.160.188,123.231.160.203,isp,ID 
123.231.160.204,123.231.160.207,business,ID 
123.231.160.208,123.231.160.251,isp,ID 
123.231.160.252,123.231.160.255,business,ID 
123.231.161.0,123.231.161.7,isp,ID 
123.231.161.8,123.231.161.11,business,ID 
123.231.161.12,123.231.161.23,isp,ID 
123.231.161.24,123.231.161.31,business,ID 
123.231.161.32,123.231.161.39,isp,ID 
123.231.161.40,123.231.161.43,business,ID 
123.231.161.44,123.231.161.47,isp,ID 
123.231.161.48,123.231.161.55,business,ID 
123.231.161.56,123.231.161.63,isp,ID 
123.231.161.64,123.231.161.71,business,ID 
123.231.161.72,123.231.161.87,isp,ID 
123.231.161.88,123.231.161.111,business,ID 
123.231.161.112,123.231.161.119,isp,ID 
123.231.161.120,123.231.161.135,business,ID 
123.231.161.136,123.231.161.175,isp,ID 
123.231.161.176,123.231.161.183,business,ID 
123.231.161.184,123.231.161.215,isp,ID 
123.231.161.216,123.231.161.223,business,ID 
123.231.161.224,123.231.162.39,isp,ID 
123.231.162.40,123.231.162.107,business,ID 
123.231.162.108,123.231.162.111,isp,ID 
123.231.162.112,123.231.162.119,business,ID 
