219.165.0.0,219.165.96.207,isp,JP,AS4713 
219.165.96.208,219.165.96.223,business,JP,AS4713 
219.165.96.224,219.165.98.143,isp,JP,AS4713 
219.165.98.144,219.165.98.151,business,JP,AS4713 
219.165.98.152,219.165.109.7,isp,JP,AS4713 
219.165.109.8,219.165.109.15,education,JP,AS4713 
219.165.109.16,219.165.109.247,isp,JP,AS4713 
219.165.109.248,219.165.109.255,business,JP,AS4713 
219.165.110.0,219.165.111.47,isp,JP,AS4713 
219.165.111.48,219.165.111.55,business,JP,AS4713 
219.165.111.56,219.165.112.79,isp,JP,AS4713 
219.165.112.80,219.165.112.87,business,JP,AS4713 
219.165.112.88,219.165.114.247,isp,JP,AS4713 
219.165.114.248,219.165.114.255,business,JP,AS4713 
219.165.115.0,219.165.116.23,isp,JP,AS4713 
219.165.116.24,219.165.116.31,business,JP,AS4713 
219.165.116.32,219.165.118.55,isp,JP,AS4713 
219.165.118.56,219.165.118.63,business,JP,AS4713 
219.165.118.64,219.165.118.71,isp,JP,AS4713 
219.165.118.72,219.165.118.79,business,JP,AS4713 
219.165.118.80,219.165.120.55,isp,JP,AS4713 
219.165.120.56,219.165.120.63,business,JP,AS4713 
219.165.120.64,219.165.120.135,isp,JP,AS4713 
219.165.120.136,219.165.120.143,business,JP,AS4713 
219.165.120.144,219.165.120.207,isp,JP,AS4713 
219.165.120.208,219.165.120.215,business,JP,AS4713 
219.165.120.216,219.165.121.143,isp,JP,AS4713 
219.165.121.144,219.165.121.151,business,JP,AS4713 
219.165.121.152,219.165.122.79,isp,JP,AS4713 
219.165.122.80,219.165.122.87,business,JP,AS4713 
219.165.122.88,219.165.122.95,isp,JP,AS4713 
219.165.122.96,219.165.122.103,business,JP,AS4713 
219.165.122.104,219.165.122.247,isp,JP,AS4713 
219.165.122.248,219.165.122.255,business,JP,AS4713 
219.165.123.0,219.165.123.63,isp,JP,AS4713 
219.165.123.64,219.165.123.71,business,JP,AS4713 
219.165.123.72,219.165.123.143,isp,JP,AS4713 
219.165.123.144,219.165.123.159,business,JP,AS4713 
219.165.123.160,219.165.125.63,isp,JP,AS4713 
219.165.125.64,219.165.125.71,business,JP,AS4713 
219.165.125.72,219.165.126.135,isp,JP,AS4713 
219.165.126.136,219.165.126.143,business,JP,AS4713 
219.165.126.144,219.165.126.159,isp,JP,AS4713 
219.165.126.160,219.165.126.167,business,JP,AS4713 
219.165.126.168,219.165.127.7,isp,JP,AS4713 
219.165.127.8,219.165.127.15,business,JP,AS4713 
219.165.127.16,219.165.127.103,isp,JP,AS4713 
219.165.127.104,219.165.127.111,business,JP,AS4713 
219.165.127.112,219.166.0.95,isp,JP,AS4713 
