219.117.0.0,219.117.15.255,isp,JP,AS4721 
219.117.16.0,219.117.31.255,isp,JP,AS10003 
219.117.32.0,219.117.47.255,business,JP,AS18126 
219.117.48.0,219.117.48.79,isp,JP,AS18092 
219.117.48.80,219.117.48.95,business,JP,AS18092 
219.117.48.96,219.117.63.255,isp,JP,AS18092 
219.117.64.0,219.117.127.255,business,JP,AS10010 
219.117.128.0,219.117.143.255,isp,JP,AS17691 
219.117.144.0,219.117.159.255,business,JP,AS23784 
219.117.160.0,219.117.191.255,isp,JP,AS4721 
219.117.192.0,219.117.198.135,business,JP,AS2514 
219.117.198.136,219.117.198.151,isp,JP,AS2514 
219.117.198.152,219.117.198.159,business,JP,AS2514 
219.117.198.160,219.117.198.175,isp,JP,AS2514 
219.117.198.176,219.117.198.199,business,JP,AS2514 
219.117.198.200,219.117.198.207,isp,JP,AS2514 
219.117.198.208,219.117.198.223,business,JP,AS2514 
219.117.198.224,219.117.198.239,isp,JP,AS2514 
219.117.198.240,219.117.199.15,business,JP,AS2514 
219.117.199.16,219.117.199.23,isp,JP,AS2514 
219.117.199.24,219.117.199.31,business,JP,AS2514 
219.117.199.32,219.117.199.39,isp,JP,AS2514 
219.117.199.40,219.117.199.47,business,JP,AS2514 
219.117.199.48,219.117.199.79,isp,JP,AS2514 
219.117.199.80,219.117.199.111,business,JP,AS2514 
219.117.199.112,219.117.199.127,isp,JP,AS2514 
219.117.199.128,219.117.199.167,business,JP,AS2514 
219.117.199.168,219.117.199.183,isp,JP,AS2514 
219.117.199.184,219.117.199.223,business,JP,AS2514 
219.117.199.224,219.117.199.255,isp,JP,AS2514 
219.117.200.0,219.117.203.127,business,JP,AS2514 
219.117.203.128,219.117.203.143,isp,JP,AS2514 
219.117.203.144,219.117.203.151,education,JP,AS2514 
219.117.203.152,219.117.203.159,business,JP,AS2514 
219.117.203.160,219.117.203.167,isp,JP,AS2514 
219.117.203.168,219.117.203.199,business,JP,AS2514 
219.117.203.200,219.117.203.247,isp,JP,AS2514 
219.117.203.248,219.117.206.255,business,JP,AS2514 
219.117.207.0,219.117.207.15,isp,JP,AS2514 
219.117.207.16,219.117.207.31,business,JP,AS2514 
219.117.207.32,219.117.207.55,isp,JP,AS2514 
219.117.207.56,219.117.207.63,business,JP,AS2514 
219.117.207.64,219.117.207.71,isp,JP,AS2514 
219.117.207.72,219.117.207.87,business,JP,AS2514 
219.117.207.88,219.117.207.95,isp,JP,AS2514 
219.117.207.96,219.117.207.103,business,JP,AS2514 
219.117.207.104,219.117.207.127,isp,JP,AS2514 
219.117.207.128,219.117.207.143,business,JP,AS2514 
219.117.207.144,219.117.207.159,isp,JP,AS2514 
219.117.207.160,219.117.207.191,business,JP,AS2514 
219.117.207.192,219.117.207.255,isp,JP,AS2514 
219.117.208.0,219.117.209.39,business,JP,AS2514 
219.117.209.40,219.117.209.47,isp,JP,AS2514 
219.117.209.48,219.117.209.55,business,JP,AS2514 
219.117.209.56,219.117.209.63,isp,JP,AS2514 
219.117.209.64,219.117.209.103,business,JP,AS2514 
219.117.209.104,219.117.209.119,isp,JP,AS2514 
219.117.209.120,219.117.209.143,business,JP,AS2514 
219.117.209.144,219.117.209.151,isp,JP,AS2514 
219.117.209.152,219.117.209.159,business,JP,AS2514 
219.117.209.160,219.117.209.199,isp,JP,AS2514 
219.117.209.200,219.117.209.223,business,JP,AS2514 
219.117.209.224,219.117.209.231,isp,JP,AS2514 
219.117.209.232,219.117.210.15,business,JP,AS2514 
219.117.210.16,219.117.210.23,isp,JP,AS2514 
219.117.210.24,219.117.210.39,business,JP,AS2514 
219.117.210.40,219.117.210.79,isp,JP,AS2514 
219.117.210.80,219.117.210.103,business,JP,AS2514 
219.117.210.104,219.117.210.111,isp,JP,AS2514 
219.117.210.112,219.117.210.127,business,JP,AS2514 
219.117.210.128,219.117.210.151,isp,JP,AS2514 
219.117.210.152,219.117.210.159,business,JP,AS2514 
219.117.210.160,219.117.210.167,isp,JP,AS2514 
219.117.210.168,219.117.210.175,business,JP,AS2514 
219.117.210.176,219.117.210.183,isp,JP,AS2514 
219.117.210.184,219.117.210.191,business,JP,AS2514 
219.117.210.192,219.117.210.199,isp,JP,AS2514 
219.117.210.200,219.117.210.207,business,JP,AS2514 
219.117.210.208,219.117.210.231,isp,JP,AS2514 
219.117.210.232,219.117.210.239,business,JP,AS2514 
219.117.210.240,219.117.210.255,isp,JP,AS2514 
219.117.211.0,219.117.211.7,business,JP,AS2514 
219.117.211.8,219.117.211.47,isp,JP,AS2514 
219.117.211.48,219.117.211.55,business,JP,AS2514 
219.117.211.56,219.117.211.71,isp,JP,AS2514 
219.117.211.72,219.117.211.103,business,JP,AS2514 
219.117.211.104,219.117.211.111,isp,JP,AS2514 
219.117.211.112,219.117.211.159,business,JP,AS2514 
219.117.211.160,219.117.211.167,isp,JP,AS2514 
219.117.211.168,219.117.211.175,business,JP,AS2514 
219.117.211.176,219.117.211.191,isp,JP,AS2514 
219.117.211.192,219.117.211.231,business,JP,AS2514 
219.117.211.232,219.117.211.239,isp,JP,AS2514 
219.117.211.240,219.117.212.255,business,JP,AS2514 
219.117.213.0,219.117.213.7,isp,JP,AS2514 
219.117.213.8,219.117.213.23,business,JP,AS2514 
219.117.213.24,219.117.213.31,isp,JP,AS2514 
219.117.213.32,219.117.213.63,business,JP,AS2514 
219.117.213.64,219.117.213.71,isp,JP,AS2514 
219.117.213.72,219.117.213.79,business,JP,AS2514 
219.117.213.80,219.117.213.111,isp,JP,AS2514 
219.117.213.112,219.117.213.135,business,JP,AS2514 
219.117.213.136,219.117.213.175,isp,JP,AS2514 
219.117.213.176,219.117.213.191,business,JP,AS2514 
219.117.213.192,219.117.213.255,isp,JP,AS2514 
219.117.214.0,219.117.214.47,business,JP,AS2514 
219.117.214.48,219.117.214.55,isp,JP,AS2514 
219.117.214.56,219.117.214.63,business,JP,AS2514 
219.117.214.64,219.117.214.71,education,JP,AS2514 
219.117.214.72,219.117.214.79,isp,JP,AS2514 
219.117.214.80,219.117.214.103,business,JP,AS2514 
219.117.214.104,219.117.214.119,isp,JP,AS2514 
219.117.214.120,219.117.214.143,business,JP,AS2514 
219.117.214.144,219.117.214.151,isp,JP,AS2514 
219.117.214.152,219.117.214.207,business,JP,AS2514 
219.117.214.208,219.117.214.215,isp,JP,AS2514 
219.117.214.216,219.117.214.223,business,JP,AS2514 
219.117.214.224,219.117.214.231,isp,JP,AS2514 
219.117.214.232,219.117.215.47,business,JP,AS2514 
219.117.215.48,219.117.215.55,isp,JP,AS2514 
219.117.215.56,219.117.215.71,business,JP,AS2514 
219.117.215.72,219.117.215.79,education,JP,AS2514 
219.117.215.80,219.117.215.111,business,JP,AS2514 
219.117.215.112,219.117.215.127,isp,JP,AS2514 
219.117.215.128,219.117.215.159,business,JP,AS2514 
219.117.215.160,219.117.215.175,isp,JP,AS2514 
219.117.215.176,219.117.215.183,business,JP,AS2514 
219.117.215.184,219.117.215.199,isp,JP,AS2514 
219.117.215.200,219.117.215.215,business,JP,AS2514 
219.117.215.216,219.117.215.223,isp,JP,AS2514 
219.117.215.224,219.117.215.231,business,JP,AS2514 
219.117.215.232,219.117.215.247,isp,JP,AS2514 
219.117.215.248,219.117.217.127,business,JP,AS2514 
219.117.217.128,219.117.217.143,isp,JP,AS2514 
219.117.217.144,219.117.217.167,business,JP,AS2514 
219.117.217.168,219.117.217.207,isp,JP,AS2514 
219.117.217.208,219.117.217.215,business,JP,AS2514 
219.117.217.216,219.117.217.247,isp,JP,AS2514 
219.117.217.248,219.117.218.167,business,JP,AS2514 
219.117.218.168,219.117.218.223,isp,JP,AS2514 
219.117.218.224,219.117.218.255,business,JP,AS2514 
219.117.219.0,219.117.219.15,isp,JP,AS2514 
219.117.219.16,219.117.219.47,business,JP,AS2514 
219.117.219.48,219.117.219.55,isp,JP,AS2514 
219.117.219.56,219.117.219.71,business,JP,AS2514 
219.117.219.72,219.117.219.87,isp,JP,AS2514 
219.117.219.88,219.117.219.111,business,JP,AS2514 
219.117.219.112,219.117.219.127,isp,JP,AS2514 
219.117.219.128,219.117.219.135,business,JP,AS2514 
219.117.219.136,219.117.219.143,isp,JP,AS2514 
219.117.219.144,219.117.219.151,business,JP,AS2514 
219.117.219.152,219.117.219.159,isp,JP,AS2514 
219.117.219.160,219.117.219.167,business,JP,AS2514 
219.117.219.168,219.117.219.175,isp,JP,AS2514 
219.117.219.176,219.117.219.199,business,JP,AS2514 
219.117.219.200,219.117.219.207,isp,JP,AS2514 
219.117.219.208,219.117.219.231,business,JP,AS2514 
219.117.219.232,219.117.219.255,isp,JP,AS2514 
219.117.220.0,219.117.220.159,business,JP,AS2514 
219.117.220.160,219.117.220.167,isp,JP,AS2514 
219.117.220.168,219.117.220.191,business,JP,AS2514 
219.117.220.192,219.117.220.199,isp,JP,AS2514 
219.117.220.200,219.117.220.207,business,JP,AS2514 
219.117.220.208,219.117.220.215,isp,JP,AS2514 
219.117.220.216,219.117.220.239,business,JP,AS2514 
219.117.220.240,219.117.220.255,isp,JP,AS2514 
219.117.221.0,219.117.221.15,business,JP,AS2514 
219.117.221.16,219.117.221.23,isp,JP,AS2514 
219.117.221.24,219.117.221.39,business,JP,AS2514 
219.117.221.40,219.117.221.63,isp,JP,AS2514 
219.117.221.64,219.117.221.71,business,JP,AS2514 
219.117.221.72,219.117.221.127,isp,JP,AS2514 
219.117.221.128,219.117.221.135,business,JP,AS2514 
219.117.221.136,219.117.221.175,isp,JP,AS2514 
219.117.221.176,219.117.221.183,business,JP,AS2514 
219.117.221.184,219.117.221.199,isp,JP,AS2514 
219.117.221.200,219.117.221.207,business,JP,AS2514 
219.117.221.208,219.117.221.255,isp,JP,AS2514 
219.117.222.0,219.117.222.159,business,JP,AS2514 
219.117.222.160,219.117.222.183,isp,JP,AS2514 
219.117.222.184,219.117.222.191,business,JP,AS2514 
219.117.222.192,219.117.222.207,isp,JP,AS2514 
219.117.222.208,219.117.222.231,business,JP,AS2514 
219.117.222.232,219.117.222.247,isp,JP,AS2514 
219.117.222.248,219.117.223.95,business,JP,AS2514 
219.117.223.96,219.117.223.111,isp,JP,AS2514 
219.117.223.112,219.117.223.119,business,JP,AS2514 
219.117.223.120,219.117.223.127,isp,JP,AS2514 
219.117.223.128,219.117.223.143,business,JP,AS2514 
219.117.223.144,219.117.223.151,education,JP,AS2514 
219.117.223.152,219.117.223.159,isp,JP,AS2514 
219.117.223.160,219.117.223.167,business,JP,AS2514 
219.117.223.168,219.117.223.207,isp,JP,AS2514 
219.117.223.208,219.117.223.215,business,JP,AS2514 
219.117.223.216,219.117.223.255,isp,JP,AS2514 
219.117.224.0,219.117.225.47,business,JP,AS2514 
219.117.225.48,219.117.225.63,isp,JP,AS2514 
219.117.225.64,219.117.225.87,business,JP,AS2514 
219.117.225.88,219.117.225.103,isp,JP,AS2514 
219.117.225.104,219.117.225.135,business,JP,AS2514 
219.117.225.136,219.117.225.143,isp,JP,AS2514 
219.117.225.144,219.117.225.159,business,JP,AS2514 
219.117.225.160,219.117.225.167,isp,JP,AS2514 
219.117.225.168,219.117.225.199,business,JP,AS2514 
219.117.225.200,219.117.225.207,isp,JP,AS2514 
219.117.225.208,219.117.225.215,business,JP,AS2514 
219.117.225.216,219.117.225.223,isp,JP,AS2514 
219.117.225.224,219.117.225.231,business,JP,AS2514 
219.117.225.232,219.117.225.239,isp,JP,AS2514 
219.117.225.240,219.117.225.247,business,JP,AS2514 
219.117.225.248,219.117.225.255,isp,JP,AS2514 
219.117.226.0,219.117.226.71,business,JP,AS2514 
219.117.226.72,219.117.226.87,isp,JP,AS2514 
219.117.226.88,219.117.226.95,business,JP,AS2514 
219.117.226.96,219.117.226.111,isp,JP,AS2514 
219.117.226.112,219.117.226.143,business,JP,AS2514 
219.117.226.144,219.117.226.159,isp,JP,AS2514 
219.117.226.160,219.117.226.183,business,JP,AS2514 
219.117.226.184,219.117.226.191,isp,JP,AS2514 
219.117.226.192,219.117.226.199,business,JP,AS2514 
219.117.226.200,219.117.226.215,isp,JP,AS2514 
219.117.226.216,219.117.226.239,business,JP,AS2514 
219.117.226.240,219.117.226.255,isp,JP,AS2514 
219.117.227.0,219.117.227.95,business,JP,AS2514 
219.117.227.96,219.117.227.159,isp,JP,AS2514 
219.117.227.160,219.117.227.167,business,JP,AS2514 
219.117.227.168,219.117.227.183,isp,JP,AS2514 
219.117.227.184,219.117.227.191,business,JP,AS2514 
219.117.227.192,219.117.227.255,isp,JP,AS2514 
219.117.228.0,219.117.228.63,business,JP,AS2514 
219.117.228.64,219.117.228.151,isp,JP,AS2514 
219.117.228.152,219.117.228.167,business,JP,AS2514 
219.117.228.168,219.117.228.175,isp,JP,AS2514 
219.117.228.176,219.117.228.183,business,JP,AS2514 
219.117.228.184,219.117.228.191,isp,JP,AS2514 
219.117.228.192,219.117.228.223,business,JP,AS2514 
219.117.228.224,219.117.228.255,isp,JP,AS2514 
219.117.229.0,219.117.229.39,business,JP,AS2514 
219.117.229.40,219.117.229.63,isp,JP,AS2514 
219.117.229.64,219.117.229.79,business,JP,AS2514 
219.117.229.80,219.117.229.87,isp,JP,AS2514 
219.117.229.88,219.117.229.127,business,JP,AS2514 
219.117.229.128,219.117.229.151,isp,JP,AS2514 
219.117.229.152,219.117.229.167,business,JP,AS2514 
219.117.229.168,219.117.229.175,isp,JP,AS2514 
219.117.229.176,219.117.229.183,business,JP,AS2514 
219.117.229.184,219.117.229.207,isp,JP,AS2514 
219.117.229.208,219.117.229.223,business,JP,AS2514 
219.117.229.224,219.117.229.231,isp,JP,AS2514 
219.117.229.232,219.117.229.239,business,JP,AS2514 
219.117.229.240,219.117.229.255,isp,JP,AS2514 
219.117.230.0,219.117.230.111,business,JP,AS2514 
219.117.230.112,219.117.230.135,isp,JP,AS2514 
219.117.230.136,219.117.230.143,business,JP,AS2514 
219.117.230.144,219.117.230.167,isp,JP,AS2514 
219.117.230.168,219.117.230.175,business,JP,AS2514 
219.117.230.176,219.117.230.215,isp,JP,AS2514 
219.117.230.216,219.117.230.231,business,JP,AS2514 
219.117.230.232,219.117.230.255,isp,JP,AS2514 
219.117.231.0,219.117.231.55,business,JP,AS2514 
219.117.231.56,219.117.231.71,isp,JP,AS2514 
219.117.231.72,219.117.231.79,business,JP,AS2514 
219.117.231.80,219.117.231.87,isp,JP,AS2514 
219.117.231.88,219.117.231.95,business,JP,AS2514 
219.117.231.96,219.117.231.111,isp,JP,AS2514 
219.117.231.112,219.117.231.119,business,JP,AS2514 
219.117.231.120,219.117.231.127,isp,JP,AS2514 
219.117.231.128,219.117.231.143,business,JP,AS2514 
219.117.231.144,219.117.231.151,isp,JP,AS2514 
219.117.231.152,219.117.231.159,business,JP,AS2514 
219.117.231.160,219.117.231.167,isp,JP,AS2514 
219.117.231.168,219.117.231.207,business,JP,AS2514 
219.117.231.208,219.117.231.231,isp,JP,AS2514 
219.117.231.232,219.117.232.103,business,JP,AS2514 
219.117.232.104,219.117.232.111,isp,JP,AS2514 
219.117.232.112,219.117.232.119,business,JP,AS2514 
219.117.232.120,219.117.232.143,isp,JP,AS2514 
219.117.232.144,219.117.232.151,business,JP,AS2514 
219.117.232.152,219.117.232.175,isp,JP,AS2514 
219.117.232.176,219.117.232.207,business,JP,AS2514 
