219.150.32.0,219.150.83.27,business,CN 
219.150.83.28,219.150.83.31,isp,CN 
219.150.83.32,219.150.83.111,business,CN 
219.150.83.112,219.150.83.119,education,CN 
219.150.83.120,219.150.88.71,business,CN 
219.150.88.72,219.150.88.79,education,CN 
219.150.88.80,219.150.88.167,business,CN 
219.150.88.168,219.150.88.175,isp,CN 
219.150.88.176,219.150.124.127,business,CN 
219.150.124.128,219.150.124.159,isp,CN 
219.150.124.160,219.150.125.127,business,CN 
219.150.125.128,219.150.125.159,isp,CN 
219.150.125.160,219.150.133.255,business,CN 
219.150.134.0,219.150.134.255,education,CN 
219.150.135.0,219.150.136.15,business,CN 
219.150.136.16,219.150.136.31,isp,CN 
219.150.136.32,219.150.136.63,education,CN 
219.150.136.64,219.150.136.95,business,CN 
219.150.136.96,219.150.136.103,isp,CN 
219.150.136.104,219.150.136.191,business,CN 
219.150.136.192,219.150.136.255,education,CN 
219.150.137.0,219.150.138.111,business,CN 
219.150.138.112,219.150.138.119,isp,CN 
219.150.138.120,219.150.138.191,business,CN 
219.150.138.192,219.150.138.207,isp,CN 
219.150.138.208,219.150.153.35,business,CN 
219.150.153.36,219.150.153.39,isp,CN 
219.150.153.40,219.150.153.55,business,CN 
219.150.153.56,219.150.153.83,isp,CN 
219.150.153.84,219.150.153.87,business,CN 
219.150.153.88,219.150.153.95,isp,CN 
219.150.153.96,219.150.153.135,business,CN 
219.150.153.136,219.150.153.151,isp,CN 
219.150.153.152,219.150.153.159,education,CN 
219.150.153.160,219.150.153.179,business,CN 
219.150.153.180,219.150.153.183,isp,CN 
219.150.153.184,219.150.154.255,business,CN 
219.150.155.0,219.150.155.7,education,CN 
219.150.155.8,219.150.155.15,business,CN 
219.150.155.16,219.150.155.31,isp,CN 
219.150.155.32,219.150.155.39,business,CN 
219.150.155.40,219.150.155.51,isp,CN 
219.150.155.52,219.150.155.63,business,CN 
219.150.155.64,219.150.155.91,isp,CN 
219.150.155.92,219.150.155.111,business,CN 
219.150.155.112,219.150.155.127,isp,CN 
219.150.155.128,219.150.155.195,business,CN 
219.150.155.196,219.150.155.199,isp,CN 
219.150.155.200,219.150.156.127,business,CN 
219.150.156.128,219.150.156.147,isp,CN 
219.150.156.148,219.150.156.151,business,CN 
219.150.156.152,219.150.156.175,isp,CN 
219.150.156.176,219.150.156.179,business,CN 
219.150.156.180,219.150.156.191,isp,CN 
219.150.156.192,219.150.156.231,business,CN 
219.150.156.232,219.150.156.239,education,CN 
219.150.156.240,219.150.158.255,business,CN 
219.150.159.0,219.150.159.19,isp,CN 
219.150.159.20,219.150.159.23,business,CN 
219.150.159.24,219.150.159.31,isp,CN 
219.150.159.32,219.150.159.191,business,CN 
219.150.159.192,219.150.159.223,isp,CN 
219.150.159.224,219.150.159.255,business,CN 
219.150.160.0,219.150.160.7,isp,CN 
219.150.160.8,219.150.160.75,business,CN 
219.150.160.76,219.150.160.83,isp,CN 
219.150.160.84,219.150.160.127,business,CN 
219.150.160.128,219.150.160.139,isp,CN 
219.150.160.140,219.150.160.155,business,CN 
219.150.160.156,219.150.160.159,isp,CN 
219.150.160.160,219.150.171.255,business,CN 
219.150.172.0,219.150.172.15,education,CN 
219.150.172.16,219.150.189.159,business,CN 
219.150.189.160,219.150.189.191,education,CN 
219.150.189.192,219.150.196.15,business,CN 
219.150.196.16,219.150.196.39,isp,CN 
219.150.196.40,219.150.228.63,business,CN 
219.150.228.64,219.150.228.79,isp,CN 
219.150.228.80,219.150.228.87,business,CN 
219.150.228.88,219.150.228.159,isp,CN 
219.150.228.160,219.150.231.223,business,CN 
219.150.231.224,219.150.231.239,isp,CN 
219.150.231.240,219.150.231.243,business,CN 
219.150.231.244,219.150.231.255,isp,CN 
219.150.232.0,219.150.233.71,business,CN 
219.150.233.72,219.150.233.79,education,CN 
219.150.233.80,219.150.233.127,isp,CN 
219.150.233.128,219.150.233.191,business,CN 
219.150.233.192,219.150.233.223,education,CN 
219.150.233.224,219.150.233.231,isp,CN 
219.150.233.232,219.150.239.63,business,CN 
219.150.239.64,219.150.239.67,isp,CN 
219.150.239.68,219.150.239.127,business,CN 
219.150.239.128,219.150.239.191,education,CN 
219.150.239.192,219.150.240.255,business,CN 
219.150.241.0,219.150.241.3,isp,CN 
219.150.241.4,219.150.241.7,business,CN 
219.150.241.8,219.150.241.23,isp,CN 
219.150.241.24,219.150.241.27,business,CN 
219.150.241.28,219.150.241.31,isp,CN 
219.150.241.32,219.150.241.35,business,CN 
219.150.241.36,219.150.241.63,isp,CN 
219.150.241.64,219.150.241.127,business,CN 
219.150.241.128,219.150.241.135,education,CN 
219.150.241.136,219.150.241.183,business,CN 
219.150.241.184,219.150.241.191,isp,CN 
219.150.241.192,219.150.241.215,business,CN 
219.150.241.216,219.150.241.223,isp,CN 
219.150.241.224,219.150.241.227,business,CN 
219.150.241.228,219.150.241.231,education,CN 
219.150.241.232,219.150.241.243,business,CN 
219.150.241.244,219.150.241.247,isp,CN 
219.150.241.248,219.150.255.255,business,CN 
