159.135.0.0,159.135.47.255,hosting,US,AS53824 
159.135.48.0,159.135.63.255,hosting,US,AS32244 
159.135.64.0,159.135.127.255,business,US, 
159.135.128.0,159.135.159.255,hosting,DE,AS39921 
159.135.160.0,159.135.166.139,business,US,AS22205 
159.135.166.140,159.135.166.143,hosting,IT,AS39921 
159.135.166.144,159.135.192.19,business,US,AS22205 
159.135.192.20,159.135.192.23,hosting,US,AS22205 
159.135.192.24,159.135.192.69,business,US,AS22205 
159.135.192.70,159.135.192.71,hosting,US,AS22205 
159.135.192.72,159.135.193.239,business,US,AS22205 
159.135.193.240,159.135.193.247,hosting,US,AS22205 
159.135.193.248,159.135.194.55,business,US,AS22205 
159.135.194.56,159.135.194.63,hosting,US,AS22205 
159.135.194.64,159.135.194.87,business,US,AS22205 
159.135.194.88,159.135.194.95,hosting,US,AS22205 
159.135.194.96,159.135.194.239,business,US,AS22205 
159.135.194.240,159.135.194.241,hosting,US,AS22205 
159.135.194.242,159.135.196.63,business,US,AS22205 
159.135.196.64,159.135.196.127,hosting,US,AS22205 
159.135.196.128,159.135.196.139,business,US,AS22205 
159.135.196.140,159.135.196.141,hosting,US,AS22205 
159.135.196.142,159.135.223.255,business,US,AS22205 
159.135.224.0,159.135.239.255,hosting,US,AS396479 
159.135.240.0,159.135.255.255,hosting,US,AS27357 
