131.164.0.0,131.164.93.255,isp,DK 
131.164.94.0,131.164.95.255,business,DK 
131.164.96.0,131.164.109.255,isp,DK 
131.164.110.0,131.164.111.255,business,DK 
131.164.112.0,131.164.216.7,isp,DK 
131.164.216.8,131.164.216.15,business,DK 
131.164.216.16,131.164.227.247,isp,DK 
131.164.227.248,131.164.227.255,business,DK 
131.164.228.0,131.164.244.231,isp,DK 
131.164.244.232,131.164.245.127,business,DK 
131.164.245.128,131.164.245.159,isp,DK 
131.164.245.160,131.164.245.167,business,DK 
131.164.245.168,131.164.245.191,isp,DK 
131.164.245.192,131.164.245.199,business,DK 
131.164.245.200,131.164.245.207,isp,DK 
131.164.245.208,131.164.245.215,business,DK 
131.164.245.216,131.164.246.7,isp,DK 
131.164.246.8,131.164.246.15,business,DK 
131.164.246.16,131.164.246.39,isp,DK 
131.164.246.40,131.164.246.95,business,DK 
131.164.246.96,131.164.246.127,education,DK 
131.164.246.128,131.164.246.255,business,DK 
131.164.247.0,131.164.247.63,isp,DK 
131.164.247.64,131.164.247.71,business,DK 
131.164.247.72,131.164.247.79,isp,DK 
131.164.247.80,131.164.247.87,business,DK 
131.164.247.88,131.164.249.7,isp,DK 
131.164.249.8,131.164.249.15,business,DK 
131.164.249.16,131.164.249.55,isp,DK 
131.164.249.56,131.164.249.59,business,DK 
131.164.249.60,131.164.253.127,isp,DK 
131.164.253.128,131.164.253.191,business,DK 
131.164.253.192,131.164.253.231,isp,DK 
131.164.253.232,131.164.253.239,business,DK 
131.164.253.240,131.164.255.47,isp,DK 
131.164.255.48,131.164.255.63,business,DK 
131.164.255.64,131.164.255.255,isp,DK 
