85.113.0.0,85.113.31.255,isp,KG,AS12997 
85.113.32.0,85.113.63.255,isp,RU,AS34533 
85.113.64.0,85.113.67.255,business,PL,AS47544 
85.113.68.0,85.113.69.255,hosting,GB,AS13005 
85.113.70.0,85.113.70.255,hosting,JP,AS3258 
85.113.71.0,85.113.71.255,hosting,HK,AS133752 
85.113.72.0,85.113.79.255,isp,NO,AS207464 
85.113.80.0,85.113.83.255,hosting,GB,AS21233 
85.113.84.0,85.113.84.255,hosting,US,AS16509 
85.113.85.0,85.113.85.255,hosting,GB,AS21233 
85.113.86.0,85.113.87.255,business,TW,AS142005 
85.113.88.0,85.113.88.255,hosting,US,AS16509 
85.113.89.0,85.113.89.255,hosting,GB,AS21233 
85.113.90.0,85.113.91.255,isp,IQ,AS50597 
85.113.92.0,85.113.95.255,isp,BR,AS271689 
85.113.96.0,85.113.127.255,isp,PS,AS12975 
85.113.128.0,85.113.159.255,isp,RU,AS34550 
85.113.160.0,85.113.160.255,business,NO,AS206557 
85.113.161.0,85.113.162.255,isp,NO,AS206557 
85.113.163.0,85.113.166.255,business,NO,AS206557 
85.113.167.0,85.113.169.255,isp,NO,AS206557 
85.113.170.0,85.113.171.255,business,NO,AS206557 
85.113.172.0,85.113.172.255,isp,NO,AS206557 
85.113.173.0,85.113.173.255,business,NO,AS206557 
85.113.174.0,85.113.175.255,isp,NO,AS206557 
85.113.176.0,85.113.177.255,business,NO,AS206557 
85.113.178.0,85.113.178.255,isp,NO,AS206557 
85.113.179.0,85.113.179.255,business,NO,AS206557 
85.113.180.0,85.113.180.255,isp,NO,AS206557 
85.113.181.0,85.113.184.255,business,NO,AS206557 
85.113.185.0,85.113.191.255,isp,NO,AS206557 
85.113.192.0,85.113.192.15,isp,RU,AS13118 
85.113.192.16,85.113.192.47,business,RU,AS13118 
85.113.192.48,85.113.192.55,isp,RU,AS13118 
85.113.192.56,85.113.192.95,business,RU,AS13118 
85.113.192.96,85.113.192.111,isp,RU,AS13118 
85.113.192.112,85.113.192.183,business,RU,AS13118 
85.113.192.184,85.113.192.191,isp,RU,AS13118 
85.113.192.192,85.113.192.215,business,RU,AS13118 
85.113.192.216,85.113.192.255,isp,RU,AS13118 
85.113.193.0,85.113.193.31,isp,RU,AS12389 
85.113.193.32,85.113.193.127,isp,RU,AS13118 
85.113.193.128,85.113.193.255,business,RU,AS12389 
85.113.194.0,85.113.194.31,isp,RU,AS12389 
85.113.194.32,85.113.194.127,isp,,AS12389 
85.113.194.128,85.113.194.223,isp,RU,AS12389 
85.113.194.224,85.113.194.255,isp,,AS12389 
85.113.195.0,85.113.195.63,isp,,AS13118 
85.113.195.64,85.113.195.95,isp,RU,AS13118 
85.113.195.96,85.113.195.255,isp,,AS13118 
85.113.196.0,85.113.196.127,isp,RU,AS12389 
85.113.196.128,85.113.196.159,isp,,AS12389 
85.113.196.160,85.113.196.191,isp,RU,AS12389 
85.113.196.192,85.113.196.255,business,RU,AS12389 
85.113.197.0,85.113.197.31,isp,RU,AS13118 
85.113.197.32,85.113.197.63,isp,,AS13118 
85.113.197.64,85.113.197.95,isp,RU,AS13118 
85.113.197.96,85.113.197.127,isp,,AS13118 
85.113.197.128,85.113.197.255,isp,RU,AS13118 
85.113.198.0,85.113.198.255,isp,RU,AS12389 
85.113.199.0,85.113.199.255,isp,,AS12389 
85.113.200.0,85.113.200.255,isp,RU,AS13118 
85.113.201.0,85.113.201.127,isp,RU,AS12389 
85.113.201.128,85.113.201.255,business,RU,AS12389 
85.113.202.0,85.113.202.255,isp,RU,AS12389 
85.113.203.0,85.113.203.15,isp,RU,AS13118 
85.113.203.16,85.113.203.47,business,RU,AS13118 
85.113.203.48,85.113.203.71,isp,RU,AS13118 
85.113.203.72,85.113.203.87,business,RU,AS13118 
85.113.203.88,85.113.203.111,isp,RU,AS13118 
85.113.203.112,85.113.203.119,business,RU,AS13118 
85.113.203.120,85.113.203.191,isp,RU,AS13118 
85.113.203.192,85.113.203.207,business,RU,AS13118 
85.113.203.208,85.113.203.239,isp,RU,AS13118 
85.113.203.240,85.113.203.255,business,RU,AS13118 
85.113.204.0,85.113.204.95,isp,RU,AS13118 
85.113.204.96,85.113.204.127,isp,,AS13118 
85.113.204.128,85.113.204.191,isp,RU,AS13118 
85.113.204.192,85.113.204.223,isp,,AS13118 
85.113.204.224,85.113.204.255,isp,RU,AS13118 
85.113.205.0,85.113.205.255,isp,RU,AS12389 
85.113.206.0,85.113.207.255,isp,RU,AS13118 
85.113.208.0,85.113.221.255,business,RU,AS12389 
85.113.222.0,85.113.223.255,isp,RU,AS12389 
85.113.224.0,85.113.224.255,isp,GB,AS1136 
85.113.225.0,85.113.225.255,isp,DE,AS1136 
85.113.226.0,85.113.226.255,isp,NO,AS1136 
85.113.227.0,85.113.227.255,isp,GB,AS1136 
85.113.228.0,85.113.228.255,isp,DE,AS1136 
85.113.229.0,85.113.229.255,isp,NO,AS1136 
85.113.230.0,85.113.233.255,isp,GB,AS1136 
85.113.234.0,85.113.237.255,isp,DE,AS1136 
85.113.238.0,85.113.241.255,isp,NO,AS1136 
85.113.242.0,85.113.255.255,isp,NL,AS1136 
