85.222.0.0,85.222.59.255,business,PL,AS6830 
85.222.60.0,85.222.63.255,isp,PL,AS6830 
85.222.64.0,85.222.111.255,business,PL,AS6830 
85.222.112.0,85.222.119.255,isp,PL,AS6830 
85.222.120.0,85.222.127.255,business,PL,AS6830 
85.222.128.0,85.222.131.255,hosting,DE,AS14340 
85.222.132.0,85.222.133.255,hosting,GB,AS14340 
85.222.134.0,85.222.135.255,hosting,DE,AS14340 
85.222.136.0,85.222.139.255,hosting,FR,AS14340 
85.222.140.0,85.222.141.255,business,DE,AS14340 
85.222.142.0,85.222.143.255,business,FR,AS14340 
85.222.144.0,85.222.151.255,hosting,FR,AS14340 
85.222.152.0,85.222.159.255,hosting,DE,AS14340 
85.222.160.0,85.222.161.255,isp,RS,AS6700 
85.222.162.0,85.222.163.255,hosting,HR,AS214724 
85.222.164.0,85.222.167.255,hosting,HR,AS62294 
85.222.168.0,85.222.171.255,hosting,HR,AS207348 
85.222.172.0,85.222.175.255,hosting,HR,AS62294 
85.222.176.0,85.222.191.255,isp,RS,AS41897 
85.222.192.0,85.222.192.15,business,NL,AS8315 
85.222.192.16,85.222.193.255,hosting,NL,AS8315 
85.222.194.0,85.222.195.15,business,NL,AS8315 
85.222.195.16,85.222.199.255,hosting,NL,AS8315 
85.222.200.0,85.222.207.255,isp,FR,AS203585 
85.222.208.0,85.222.223.255,isp,DE,AS208988 
85.222.224.0,85.222.231.255,isp,NL,AS35470 
85.222.232.0,85.222.235.255,hosting,NL,AS49604 
85.222.236.0,85.222.239.255,business,NL,AS8455 
85.222.240.0,85.222.250.23,isp,NL,AS198089 
85.222.250.24,85.222.250.31,isp,BE,AS198089 
85.222.250.32,85.222.250.59,isp,NL,AS198089 
85.222.250.60,85.222.250.63,isp,BE,AS198089 
85.222.250.64,85.222.251.127,isp,NL,AS198089 
85.222.251.128,85.222.251.131,business,NL,AS198089 
85.222.251.132,85.222.252.143,isp,NL,AS198089 
85.222.252.144,85.222.252.147,business,NL,AS198089 
85.222.252.148,85.222.255.255,isp,NL,AS198089 
