85.157.67.0,85.157.67.255,business,FI,AS719 
85.157.68.0,85.157.157.255,isp,FI,AS719 
85.157.158.0,85.157.158.255,business,FI,AS719 
85.157.159.0,85.157.206.15,isp,FI,AS719 
85.157.206.16,85.157.206.31,business,FI,AS719 
85.157.206.32,85.157.206.103,isp,FI,AS719 
85.157.206.104,85.157.206.111,business,FI,AS719 
85.157.206.112,85.157.206.207,isp,FI,AS719 
85.157.206.208,85.157.206.215,business,FI,AS719 
85.157.206.216,85.157.207.75,isp,FI,AS719 
85.157.207.76,85.157.207.79,business,FI,AS719 
85.157.207.80,85.157.207.87,isp,FI,AS719 
85.157.207.88,85.157.207.95,business,FI,AS719 
85.157.207.96,85.157.207.207,isp,FI,AS719 
85.157.207.208,85.157.207.215,business,FI,AS719 
85.157.207.216,85.157.208.19,isp,FI,AS719 
85.157.208.20,85.157.208.23,business,FI,AS719 
85.157.208.24,85.157.208.135,isp,FI,AS719 
85.157.208.136,85.157.208.139,business,FI,AS719 
85.157.208.140,85.157.208.205,isp,FI,AS719 
85.157.208.206,85.157.208.207,business,FI,AS719 
85.157.208.208,85.157.222.255,isp,FI,AS719 
85.157.223.0,85.157.223.255,business,FI,AS719 
85.157.224.0,85.157.242.47,isp,FI,AS719 
85.157.242.48,85.157.242.63,business,FI,AS719 
85.157.242.64,85.157.242.127,isp,FI,AS719 
85.157.242.128,85.157.242.135,business,FI,AS719 
85.157.242.136,85.157.242.175,isp,FI,AS719 
85.157.242.176,85.157.242.207,business,FI,AS719 
85.157.242.208,85.157.244.191,isp,FI,AS719 
85.157.244.192,85.157.244.223,business,FI,AS719 
85.157.244.224,85.157.245.255,isp,FI,AS719 
85.157.246.0,85.157.246.31,business,FI,AS719 
85.157.246.32,85.157.252.255,isp,FI,AS719 
85.157.253.0,85.157.253.31,business,FI,AS719 
85.157.253.32,85.157.255.255,isp,FI,AS719 
