85.116.0.0,85.116.31.255,business,GB 
85.116.32.0,85.116.63.255,business,FR 
85.116.64.0,85.116.95.255,business,IS 
85.116.96.0,85.116.96.255,business,RU 
85.116.97.0,85.116.101.255,isp,RU 
85.116.102.0,85.116.109.143,business,RU 
85.116.109.144,85.116.109.151,education,RU 
85.116.109.152,85.116.109.159,business,RU 
85.116.109.160,85.116.117.255,isp,RU 
85.116.118.0,85.116.121.255,business,RU 
85.116.122.0,85.116.127.255,isp,RU 
85.116.128.0,85.116.131.255,business,IT 
85.116.132.0,85.116.159.255,isp,IT 
85.116.160.0,85.116.162.255,hosting,GB 
85.116.163.0,85.116.164.255,business,GB 
85.116.165.0,85.116.165.255,hosting,GB 
85.116.166.0,85.116.168.255,business,GB 
85.116.169.0,85.116.170.255,hosting,GB 
85.116.171.0,85.116.171.255,business,GB 
85.116.172.0,85.116.172.255,hosting,GB 
85.116.173.0,85.116.173.255,business,GB 
85.116.174.0,85.116.174.255,hosting,GB 
85.116.175.0,85.116.175.255,business,GB 
85.116.176.0,85.116.178.255,hosting,GB 
85.116.179.0,85.116.180.255,business,GB 
85.116.181.0,85.116.183.255,hosting,GB 
85.116.184.0,85.116.186.3,business,GB 
85.116.186.4,85.116.186.11,hosting,GB 
85.116.186.12,85.116.186.15,business,GB 
85.116.186.16,85.116.186.23,hosting,GB 
85.116.186.24,85.116.186.31,business,GB 
85.116.186.32,85.116.186.39,hosting,GB 
85.116.186.40,85.116.186.47,business,GB 
85.116.186.48,85.116.186.55,hosting,GB 
85.116.186.56,85.116.186.63,business,GB 
85.116.186.64,85.116.186.99,hosting,GB 
85.116.186.100,85.116.186.107,business,GB 
85.116.186.108,85.116.186.115,hosting,GB 
85.116.186.116,85.116.186.123,business,GB 
85.116.186.124,85.116.186.127,hosting,GB 
85.116.186.128,85.116.186.139,business,GB 
85.116.186.140,85.116.186.171,hosting,GB 
85.116.186.172,85.116.186.175,business,GB 
85.116.186.176,85.116.186.199,hosting,GB 
85.116.186.200,85.116.186.215,business,GB 
85.116.186.216,85.116.186.255,hosting,GB 
85.116.187.0,85.116.187.255,business,GB 
85.116.188.0,85.116.188.255,hosting,GB 
85.116.189.0,85.116.189.255,business,GB 
85.116.190.0,85.116.190.255,education,GB 
85.116.191.0,85.116.191.255,hosting,GB 
85.116.192.0,85.116.195.255,business,US 
85.116.196.0,85.116.199.255,business,GB 
85.116.200.0,85.116.219.255,business,US 
85.116.220.0,85.116.223.255,business,GB 
85.116.224.0,85.116.255.255,business,IT 
