85.194.0.0,85.194.63.255,isp,SE,AS1257 
85.194.64.0,85.194.127.255,isp,SA,AS29255 
85.194.128.0,85.194.130.255,isp,SE,AS25176 
85.194.131.0,85.194.131.127,business,SE,AS25176 
85.194.131.128,85.194.135.255,isp,SE,AS25176 
85.194.136.0,85.194.136.255,business,SE,AS25176 
85.194.137.0,85.194.137.255,business,SE,AS215273 
85.194.138.0,85.194.138.255,business,SE,AS25176 
85.194.139.0,85.194.139.255,isp,SE,AS25176 
85.194.140.0,85.194.142.255,business,SE,AS25176 
85.194.143.0,85.194.143.255,isp,SE,AS25176 
85.194.144.0,85.194.147.255,business,SE,AS25176 
85.194.148.0,85.194.149.255,isp,SE,AS25176 
85.194.150.0,85.194.151.255,business,SE,AS25176 
85.194.152.0,85.194.155.255,isp,SE,AS25176 
85.194.156.0,85.194.156.255,business,SE,AS25176 
85.194.157.0,85.194.157.255,isp,SE,AS25176 
85.194.158.0,85.194.158.255,business,SE,AS25176 
85.194.159.0,85.194.159.255,isp,SE,AS25176 
85.194.160.0,85.194.160.255,business,SE,AS25176 
85.194.161.0,85.194.164.255,isp,SE,AS25176 
85.194.165.0,85.194.165.255,business,SE,AS25176 
85.194.166.0,85.194.173.255,isp,SE,AS25176 
85.194.174.0,85.194.175.255,business,SE,AS25176 
85.194.176.0,85.194.176.255,isp,SE,AS25176 
85.194.177.0,85.194.177.255,business,SE,AS25176 
85.194.178.0,85.194.183.255,isp,SE,AS25176 
85.194.184.0,85.194.184.255,business,SE,AS25176 
85.194.185.0,85.194.191.255,isp,SE,AS25176 
85.194.192.0,85.194.193.255,business,FI, 
85.194.194.0,85.194.195.255,isp,FI,AS47605 
85.194.196.0,85.194.199.255,isp,IQ,AS50597 
85.194.200.0,85.194.200.31,business,EE,AS61189 
85.194.200.32,85.194.200.191,hosting,EE,AS61189 
85.194.200.192,85.194.201.255,business,EE,AS61189 
85.194.202.0,85.194.203.255,hosting,EE,AS61189 
85.194.204.0,85.194.204.63,hosting,FI,AS49282 
85.194.204.64,85.194.204.95,business,FI,AS49282 
85.194.204.96,85.194.206.255,hosting,FI,AS49282 
85.194.207.0,85.194.207.255,business,FI,AS49282 
85.194.208.0,85.194.219.255,business,FI,AS35175 
85.194.220.0,85.194.223.255,isp,FI,AS47605 
85.194.224.0,85.194.231.255,isp,FI,AS201587 
85.194.232.0,85.194.232.255,business,FI, 
85.194.233.0,85.194.233.255,business,DK,AS201078 
85.194.234.0,85.194.235.255,isp,FI,AS47605 
85.194.236.0,85.194.237.255,hosting,FI,AS199508 
85.194.238.0,85.194.238.7,business,FI,AS60414 
85.194.238.8,85.194.238.127,hosting,FI,AS60414 
85.194.238.128,85.194.238.191,business,FI,AS60414 
85.194.238.192,85.194.238.255,isp,FI,AS60414 
85.194.239.0,85.194.239.255,hosting,FI,AS60414 
85.194.240.0,85.194.247.255,hosting,PL,AS57367 
85.194.248.0,85.194.251.255,business,IQ,AS50597 
85.194.252.0,85.194.253.255,business,DE,AS3209 
85.194.254.0,85.194.255.255,business,DK,AS16509 
