85.249.0.0,85.249.7.255,isp,RU,AS3216 
85.249.8.0,85.249.15.255,isp,RU,AS20597 
85.249.16.0,85.249.175.255,isp,RU,AS3216 
85.249.176.0,85.249.191.255,business,RU, 
85.249.192.0,85.249.223.255,isp,RU,AS3216 
85.249.224.0,85.249.224.15,business,RU,AS20597 
85.249.224.16,85.249.224.23,isp,RU,AS20597 
85.249.224.24,85.249.224.31,business,RU,AS20597 
85.249.224.32,85.249.224.43,isp,RU,AS20597 
85.249.224.44,85.249.224.51,business,RU,AS20597 
85.249.224.52,85.249.224.63,isp,RU,AS20597 
85.249.224.64,85.249.224.79,business,RU,AS20597 
85.249.224.80,85.249.224.87,isp,RU,AS20597 
85.249.224.88,85.249.224.127,business,RU,AS20597 
85.249.224.128,85.249.224.159,isp,RU,AS20597 
85.249.224.160,85.249.224.171,business,RU,AS20597 
85.249.224.172,85.249.224.179,isp,RU,AS20597 
85.249.224.180,85.249.224.223,business,RU,AS20597 
85.249.224.224,85.249.224.231,isp,RU,AS20597 
85.249.224.232,85.249.225.31,business,RU,AS20597 
85.249.225.32,85.249.225.63,isp,RU,AS20597 
85.249.225.64,85.249.225.79,business,RU,AS20597 
85.249.225.80,85.249.225.95,isp,RU,AS20597 
85.249.225.96,85.249.225.103,business,RU,AS20597 
85.249.225.104,85.249.225.111,isp,RU,AS20597 
85.249.225.112,85.249.225.199,business,RU,AS20597 
85.249.225.200,85.249.225.211,isp,RU,AS20597 
85.249.225.212,85.249.225.239,business,RU,AS20597 
85.249.225.240,85.249.225.247,isp,RU,AS20597 
85.249.225.248,85.249.227.55,business,RU,AS20597 
85.249.227.56,85.249.227.63,isp,RU,AS20597 
85.249.227.64,85.249.227.87,business,RU,AS20597 
85.249.227.88,85.249.227.95,isp,RU,AS20597 
85.249.227.96,85.249.227.103,business,RU,AS20597 
85.249.227.104,85.249.227.111,isp,RU,AS20597 
85.249.227.112,85.249.227.167,business,RU,AS20597 
85.249.227.168,85.249.227.183,isp,RU,AS20597 
85.249.227.184,85.249.227.207,business,RU,AS20597 
85.249.227.208,85.249.227.215,isp,RU,AS20597 
85.249.227.216,85.249.227.247,business,RU,AS20597 
85.249.227.248,85.249.227.255,isp,RU,AS20597 
85.249.228.0,85.249.229.63,business,RU,AS20597 
85.249.229.64,85.249.229.79,isp,RU,AS20597 
85.249.229.80,85.249.229.139,business,RU,AS20597 
85.249.229.140,85.249.229.143,isp,RU,AS20597 
85.249.229.144,85.249.229.167,business,RU,AS20597 
85.249.229.168,85.249.229.183,isp,RU,AS20597 
85.249.229.184,85.249.229.239,business,RU,AS20597 
85.249.229.240,85.249.229.255,isp,RU,AS20597 
85.249.230.0,85.249.230.255,isp,RU,AS16345 
85.249.231.0,85.249.231.127,business,RU,AS20597 
85.249.231.128,85.249.231.255,isp,RU,AS20597 
85.249.232.0,85.249.232.15,business,RU,AS20597 
85.249.232.16,85.249.232.19,isp,RU,AS20597 
85.249.232.20,85.249.232.31,business,RU,AS20597 
85.249.232.32,85.249.232.39,isp,RU,AS20597 
85.249.232.40,85.249.232.55,business,RU,AS20597 
85.249.232.56,85.249.232.63,isp,RU,AS20597 
85.249.232.64,85.249.233.255,business,RU,AS20597 
85.249.234.0,85.249.234.7,isp,RU,AS20597 
85.249.234.8,85.249.234.63,business,RU,AS20597 
85.249.234.64,85.249.234.71,isp,RU,AS20597 
85.249.234.72,85.249.234.87,business,RU,AS20597 
85.249.234.88,85.249.234.91,isp,RU,AS20597 
85.249.234.92,85.249.234.111,business,RU,AS20597 
85.249.234.112,85.249.234.115,isp,RU,AS20597 
85.249.234.116,85.249.234.159,business,RU,AS20597 
85.249.234.160,85.249.234.163,isp,RU,AS20597 
85.249.234.164,85.249.235.31,business,RU,AS20597 
85.249.235.32,85.249.235.63,isp,RU,AS20597 
85.249.235.64,85.249.243.255,business,RU,AS20597 
85.249.244.0,85.249.245.255,business,RU,AS3216 
85.249.246.0,85.249.246.255,isp,RU,AS20597 
85.249.247.0,85.249.249.255,business,RU,AS20597 
85.249.250.0,85.249.250.255,isp,RU,AS20597 
85.249.251.0,85.249.251.255,business,RU,AS20597 
85.249.252.0,85.249.253.255,business,RU,AS3216 
85.249.254.0,85.249.255.7,business,RU,AS20597 
85.249.255.8,85.249.255.15,isp,RU,AS20597 
85.249.255.16,85.249.255.23,business,RU,AS20597 
85.249.255.24,85.249.255.39,isp,RU,AS20597 
85.249.255.40,85.249.255.159,business,RU,AS20597 
85.249.255.160,85.249.255.207,isp,RU,AS20597 
85.249.255.208,85.249.255.255,business,RU,AS20597 
