85.132.0.0,85.132.31.255,hosting,AZ,AS29049 
85.132.32.0,85.132.47.255,isp,AZ,AS207251 
85.132.48.0,85.132.127.255,hosting,AZ,AS29049 
85.132.128.0,85.132.135.255,isp,CZ,AS203018 
85.132.136.0,85.132.139.255,hosting,CZ,AS205400 
85.132.140.0,85.132.143.255,business,CZ,AS9080 
85.132.144.0,85.132.159.255,hosting,CZ,AS24641 
85.132.160.0,85.132.176.79,business,CZ,AS9080 
85.132.176.80,85.132.176.87,isp,CZ,AS9080 
85.132.176.88,85.132.177.15,business,CZ,AS9080 
85.132.177.16,85.132.177.55,hosting,CZ,AS9080 
85.132.177.56,85.132.177.63,business,CZ,AS9080 
85.132.177.64,85.132.177.95,hosting,CZ,AS9080 
85.132.177.96,85.132.177.111,business,CZ,AS9080 
85.132.177.112,85.132.177.119,hosting,CZ,AS9080 
85.132.177.120,85.132.179.255,business,CZ,AS9080 
85.132.180.0,85.132.191.255,isp,CZ,AS215704 
85.132.192.0,85.132.219.255,isp,DE,AS12897 
85.132.220.0,85.132.220.7,business,DE,AS12897 
85.132.220.8,85.132.220.11,isp,DE,AS12897 
85.132.220.12,85.132.220.23,business,DE,AS12897 
85.132.220.24,85.132.220.27,isp,DE,AS12897 
85.132.220.28,85.132.220.159,business,DE,AS12897 
85.132.220.160,85.132.220.163,isp,DE,AS12897 
85.132.220.164,85.132.220.167,business,DE,AS12897 
85.132.220.168,85.132.220.175,education,DE,AS12897 
85.132.220.176,85.132.223.19,business,DE,AS12897 
85.132.223.20,85.132.223.23,isp,DE,AS12897 
85.132.223.24,85.132.223.131,business,DE,AS12897 
85.132.223.132,85.132.223.135,isp,DE,AS12897 
85.132.223.136,85.132.223.223,business,DE,AS12897 
85.132.223.224,85.132.223.255,isp,DE,AS12897 
85.132.224.0,85.132.239.255,isp,CY,AS35432 
85.132.240.0,85.132.240.255,isp,CY,AS41697 
85.132.241.0,85.132.249.255,isp,CY,AS35432 
85.132.250.0,85.132.250.255,isp,CY,AS41697 
85.132.251.0,85.132.255.255,isp,CY,AS35432 
