66.235.0.0,66.235.63.255,isp,US,AS11404 
66.235.64.0,66.235.79.255,isp,US,AS3853 
66.235.80.0,66.235.81.255,isp,US,AS11492 
66.235.82.0,66.235.82.255,business,US, 
66.235.83.0,66.235.93.255,isp,US,AS11492 
66.235.94.0,66.235.94.255,business,US, 
66.235.95.0,66.235.95.255,isp,US,AS11492 
66.235.96.0,66.235.111.255,business,US, 
66.235.112.0,66.235.113.255,business,US,AS46940 
66.235.114.0,66.235.127.255,business,US, 
66.235.128.0,66.235.159.255,hosting,US,AS15224 
66.235.160.0,66.235.161.255,hosting,US,AS14361 
66.235.162.0,66.235.163.255,business,US, 
66.235.164.0,66.235.167.255,hosting,US,AS14361 
66.235.168.0,66.235.168.255,hosting,US,AS397423 
66.235.169.0,66.235.169.255,hosting,US,AS40244 
66.235.170.0,66.235.171.255,hosting,US,AS397373 
66.235.172.0,66.235.175.255,hosting,US,AS397423 
66.235.176.0,66.235.177.255,hosting,US,AS14361 
66.235.178.0,66.235.179.255,education,CN,AS14361 
66.235.180.0,66.235.191.255,hosting,US,AS14361 
66.235.192.0,66.235.193.255,business,US, 
66.235.194.0,66.235.194.255,hosting,US,AS22458 
66.235.195.0,66.235.200.255,hosting,US,AS13335 
66.235.201.0,66.235.201.255,hosting,US,AS22458 
66.235.202.0,66.235.206.255,business,US, 
66.235.207.0,66.235.207.255,hosting,US,AS22458 
66.235.208.0,66.235.208.255,business,US, 
66.235.209.0,66.235.209.255,hosting,US,AS22458 
66.235.210.0,66.235.213.255,business,US, 
66.235.214.0,66.235.214.255,hosting,US,AS22458 
66.235.215.0,66.235.223.255,business,US, 
66.235.224.0,66.235.224.111,hosting,US,AS26978 
66.235.224.112,66.235.224.159,business,US,AS26978 
66.235.224.160,66.235.224.207,hosting,US,AS26978 
66.235.224.208,66.235.224.255,business,US,AS26978 
66.235.225.0,66.235.225.255,hosting,US,AS26978 
66.235.226.0,66.235.226.15,business,US,AS26978 
66.235.226.16,66.235.226.47,hosting,US,AS26978 
66.235.226.48,66.235.226.63,isp,US,AS26978 
66.235.226.64,66.235.226.95,business,US,AS26978 
66.235.226.96,66.235.226.127,hosting,US,AS26978 
66.235.226.128,66.235.226.255,business,US,AS26978 
66.235.227.0,66.235.227.63,hosting,US,AS26978 
66.235.227.64,66.235.227.79,business,US,AS26978 
66.235.227.80,66.235.227.95,hosting,US,AS26978 
66.235.227.96,66.235.227.255,business,US,AS26978 
66.235.228.0,66.235.228.127,hosting,US,AS26978 
66.235.228.128,66.235.228.143,business,US,AS26978 
66.235.228.144,66.235.229.255,hosting,US,AS26978 
66.235.230.0,66.235.231.255,business,US,AS26978 
66.235.232.0,66.235.232.255,hosting,US,AS26978 
66.235.233.0,66.235.233.255,business,US,AS26978 
66.235.234.0,66.235.234.15,hosting,US,AS26978 
66.235.234.16,66.235.234.31,business,US,AS26978 
66.235.234.32,66.235.234.47,hosting,US,AS26978 
66.235.234.48,66.235.234.63,isp,US,AS26978 
66.235.234.64,66.235.234.79,hosting,US,AS26978 
66.235.234.80,66.235.234.207,business,US,AS26978 
66.235.234.208,66.235.234.223,isp,US,AS26978 
66.235.234.224,66.235.234.239,business,US,AS26978 
66.235.234.240,66.235.236.255,hosting,US,AS26978 
66.235.237.0,66.235.238.127,business,US,AS26978 
66.235.238.128,66.235.238.255,hosting,US,AS26978 
66.235.239.0,66.235.239.127,isp,US,AS26978 
66.235.239.128,66.235.239.255,hosting,US,AS26978 
66.235.240.0,66.235.240.15,business,US,AS26978 
66.235.240.16,66.235.240.127,hosting,US,AS26978 
66.235.240.128,66.235.240.159,business,US,AS26978 
66.235.240.160,66.235.241.79,hosting,US,AS26978 
66.235.241.80,66.235.241.95,business,US,AS26978 
66.235.241.96,66.235.241.111,hosting,US,AS26978 
66.235.241.112,66.235.241.255,business,US,AS26978 
66.235.242.0,66.235.242.63,hosting,US,AS26978 
66.235.242.64,66.235.242.79,business,US,AS26978 
66.235.242.80,66.235.242.95,business,CA,AS26978 
66.235.242.96,66.235.242.127,business,US,AS26978 
66.235.242.128,66.235.242.143,hosting,US,AS26978 
66.235.242.144,66.235.242.175,business,US,AS26978 
66.235.242.176,66.235.244.63,hosting,US,AS26978 
66.235.244.64,66.235.244.79,education,US,AS26978 
66.235.244.80,66.235.244.239,business,US,AS26978 
66.235.244.240,66.235.246.255,hosting,US,AS26978 
66.235.247.0,66.235.250.255,business,US,AS26978 
66.235.251.0,66.235.255.255,hosting,US,AS26978 
