66.175.0.0,66.175.63.255,hosting,CA,AS30447 
66.175.64.0,66.175.66.255,business,US,AS21686 
66.175.67.0,66.175.67.255,hosting,US,AS21686 
66.175.68.0,66.175.70.255,business,US,AS21686 
66.175.71.0,66.175.76.255,hosting,US,AS21686 
66.175.77.0,66.175.77.255,business,US,AS21686 
66.175.78.0,66.175.82.255,hosting,US,AS21686 
66.175.83.0,66.175.85.255,business,US,AS21686 
66.175.86.0,66.175.92.255,hosting,US,AS21686 
66.175.93.0,66.175.93.127,business,US,AS21686 
66.175.93.128,66.175.93.255,hosting,US,AS21686 
66.175.94.0,66.175.95.255,business,US,AS21686 
66.175.96.0,66.175.96.127,isp,US,AS701 
66.175.96.128,66.175.96.143,business,US,AS701 
66.175.96.144,66.175.96.151,isp,US,AS701 
66.175.96.152,66.175.96.159,isp,BB,AS701 
66.175.96.160,66.175.96.175,business,US,AS701 
66.175.96.176,66.175.97.63,isp,US,AS701 
66.175.97.64,66.175.97.111,business,US,AS701 
66.175.97.112,66.175.98.15,isp,US,AS701 
66.175.98.16,66.175.98.23,education,US,AS701 
66.175.98.24,66.175.98.31,isp,US,AS701 
66.175.98.32,66.175.98.95,business,US,AS701 
66.175.98.96,66.175.98.207,isp,US,AS701 
66.175.98.208,66.175.98.223,business,GB,AS701 
66.175.98.224,66.175.99.15,isp,US,AS701 
66.175.99.16,66.175.99.31,business,US,AS701 
66.175.99.32,66.175.99.111,isp,US,AS701 
66.175.99.112,66.175.99.127,business,US,AS701 
66.175.99.128,66.175.99.143,isp,US,AS701 
66.175.99.144,66.175.99.151,business,US,AS701 
66.175.99.152,66.175.99.255,isp,US,AS701 
66.175.100.0,66.175.101.255,business,IL,AS701 
66.175.102.0,66.175.102.255,isp,US,AS701 
66.175.103.0,66.175.103.31,business,US,AS701 
66.175.103.32,66.175.103.47,isp,US,AS701 
66.175.103.48,66.175.103.63,business,US,AS701 
66.175.103.64,66.175.103.111,isp,US,AS701 
66.175.103.112,66.175.103.143,business,US,AS701 
66.175.103.144,66.175.103.159,isp,US,AS701 
66.175.103.160,66.175.103.175,business,US,AS701 
66.175.103.176,66.175.103.191,isp,US,AS701 
66.175.103.192,66.175.103.239,business,US,AS701 
66.175.103.240,66.175.105.31,isp,US,AS701 
66.175.105.32,66.175.105.47,isp,DO,AS701 
66.175.105.48,66.175.105.63,business,US,AS701 
66.175.105.64,66.175.105.95,business,PR,AS701 
66.175.105.96,66.175.105.127,isp,DO,AS701 
66.175.105.128,66.175.105.191,business,US,AS701 
66.175.105.192,66.175.105.207,isp,US,AS701 
66.175.105.208,66.175.105.239,business,US,AS701 
66.175.105.240,66.175.105.255,isp,US,AS701 
66.175.106.0,66.175.106.15,business,US,AS701 
