66.132.0.0,66.132.3.255,isp,US 
66.132.4.0,66.132.5.255,business,US 
66.132.6.0,66.132.127.255,isp,US 
66.132.128.0,66.132.132.255,hosting,CA 
66.132.133.0,66.132.133.255,business,IM 
66.132.134.0,66.132.134.255,business,KG 
66.132.135.0,66.132.139.255,hosting,CA 
66.132.140.0,66.132.140.255,isp,US 
66.132.141.0,66.132.144.255,hosting,CA 
66.132.145.0,66.132.145.255,isp,US 
66.132.146.0,66.132.147.255,business,CA 
66.132.148.0,66.132.148.255,business,US 
66.132.149.0,66.132.152.255,hosting,CA 
66.132.153.0,66.132.153.255,business,US 
66.132.154.0,66.132.158.255,hosting,CA 
66.132.159.0,66.132.159.255,business,US 
66.132.160.0,66.132.167.255,isp,US 
66.132.168.0,66.132.171.255,business,CA 
66.132.172.0,66.132.172.255,business,US 
66.132.173.0,66.132.174.255,hosting,CA 
66.132.175.0,66.132.175.255,business,US 
66.132.176.0,66.132.179.255,business,CA 
66.132.180.0,66.132.180.255,business,US 
66.132.181.0,66.132.181.255,hosting,CA 
66.132.182.0,66.132.183.255,isp,US 
66.132.184.0,66.132.185.255,business,CA 
66.132.186.0,66.132.186.255,business,US 
66.132.187.0,66.132.194.255,hosting,CA 
66.132.195.0,66.132.195.255,business,US 
66.132.196.0,66.132.197.255,business,CA 
66.132.198.0,66.132.198.255,business,US 
66.132.199.0,66.132.203.255,hosting,CA 
66.132.204.0,66.132.207.255,hosting,US 
66.132.208.0,66.132.208.255,hosting,CA 
66.132.209.0,66.132.209.255,business,US 
66.132.210.0,66.132.211.255,business,CA 
66.132.212.0,66.132.215.255,business,US 
66.132.216.0,66.132.223.255,hosting,CA 
66.132.224.0,66.132.224.255,business,US 
66.132.225.0,66.132.225.255,hosting,CA 
66.132.226.0,66.132.226.255,business,US 
66.132.227.0,66.132.227.255,hosting,CA 
66.132.228.0,66.132.228.255,business,US 
66.132.229.0,66.132.230.255,hosting,CA 
66.132.231.0,66.132.231.255,business,US 
66.132.232.0,66.132.232.255,hosting,CA 
66.132.233.0,66.132.233.255,business,US 
66.132.234.0,66.132.236.255,business,CA 
66.132.237.0,66.132.237.255,business,US 
66.132.238.0,66.132.244.255,hosting,CA 
66.132.245.0,66.132.245.255,business,US 
66.132.246.0,66.132.254.255,hosting,CA 
66.132.255.0,66.133.5.255,business,US 
